Layer,Start Depth,End Depth,Thickness,qc (Geometric Mean),fs (Geometric Mean),u (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.0,2.28,2.28,0.414401429006436,0.003064469788306038,0.0016438353426724314,2.972963001292897
2,2.29,3.28,0.9899999999999998,0.4698251344321958,0.01964497323527251,0.0003705617766996624,3.2260016238228486
3,3.29,4.91,1.62,0.5430488612530708,0.01609175876684267,0.0002213363839400643,3.111309645134175
4,4.92,6.54,1.62,0.581807790910325,0.013444282302842003,0.005133330775362934,3.044834617802258
5,6.55,7.81,1.2599999999999998,0.6054540627978903,0.020030908486559362,0.013390538055133325,3.145875774922767
6,7.82,8.85,1.0299999999999994,0.8145274575587613,0.013095158766108008,0.030023803792724787,2.877544745758432
7,8.86,9.85,0.9900000000000002,0.6869579369914147,0.013988872162538248,0.0441300290056409,3.0583704271665373
8,9.86,10.92,1.0600000000000005,0.9203178342321878,0.023139741149929952,0.05018889463256579,3.007809684048925
9,10.93,12.98,2.0500000000000007,0.8452464384610016,0.017754462730916833,0.06753319756574382,3.074738013982279
10,12.99,14.25,1.2599999999999998,1.17219366929972,0.022876148698779776,0.11040761312635612,2.9460046846128445
11,14.26,15.5,1.2400000000000002,1.4288519420573338,0.036828997529421724,0.16459430486767704,2.956040871963761
