Layer,Start Depth,End Depth,Thickness,qc (Geometric Mean),fs (Geometric Mean),u (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.0,1.019999,1.019999,4.232174911859024,0.017200049627658264,,1.7645570937109196
2,1.029999,2.189998,1.159999,3.5332383066777027,0.045818912640375506,0.0037057261495613133,2.1357100652598007
3,2.199998,3.189997,0.9899990000000001,5.496446070000202,0.052420495264628865,0.003012988665294186,1.9246376971516619
4,3.199997,4.190001,0.9900039999999994,9.338884008193617,0.04526383148291122,0.0008061780649278894,1.593450468025716
5,4.200001,5.190024,0.9900229999999999,6.178860467404623,0.048272501621572955,0.0010377426010818264,1.8597197857348498
6,5.200024,6.800061,1.6000370000000004,9.144450073385753,0.050062852352752825,,1.6925257594159928
7,6.810061,7.800084,0.9900229999999999,0.791653311029122,0.008723525810271806,0.0025608389186484682,2.977446331648544
8,7.810084,9.940132,2.1300480000000004,8.47857394705579,0.11963354809601016,0.000360020574367851,2.0289949325765932
9,9.950132,11.55017,1.6000379999999996,10.337663223154507,0.1163290179290418,,1.9430102565195366
10,11.56017,12.55019,0.9900200000000012,5.212631286767143,0.08400028250738088,0.0023372632186972326,2.3225604622992404
11,12.56019,13.56021,1.0000199999999992,13.866765932548121,0.06994552849894956,,1.664098647826149
12,13.57022,16.07027,2.50005,16.667633078742654,0.09723124712086098,,1.6594216664977668
13,16.08027,17.4503,1.3700299999999999,12.32120938991854,0.03806845161310359,,1.6637216325603041
14,17.4603,18.50033,1.0400300000000016,16.54244906140484,0.08841856203982891,,1.6942345622306765
15,18.51033,19.50035,0.9900200000000012,9.387307577535477,0.18832643346768307,0.0007000000000000001,2.294325805566872
