Layer,Start Depth,End Depth,Thickness,qc (Geometric Mean),fs (Geometric Mean),u (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.0,1.329999,1.329999,1.011031150138079,0.029017143803242853,0.015658645816600494,2.798075535520214
2,1.339999,5.400029,4.06003,0.20582469218555807,0.0018654509263082177,0.07695335201132583,3.2680643304037695
3,5.410029,6.660058,1.2500290000000005,0.41436133353937765,0.003139163252601537,0.1042161523929728,2.9450198378274397
4,6.670058,7.66008,0.9900219999999997,3.5849181516353124,0.01558132264788136,0.04390645973470069,1.9260487796409704
5,7.670081,9.620125,1.950044,6.115407949415143,0.023055502264263596,0.0733760766769494,1.7530369726829207
6,9.630125,10.80015,1.1700250000000008,3.5500668725603375,0.014930844572510012,0.08951314067624652,2.0237022875208655
7,10.81015,11.80017,0.9900199999999995,7.034098062380569,0.06100925929034795,0.10025149087675915,1.9466293585732477
8,11.81017,13.61022,1.8000500000000006,0.555545591191284,0.004562109517056065,0.2588745263347381,3.070463716366619
9,13.62022,14.61024,0.9900199999999995,0.9470594223539673,0.00836327343172321,0.18546417242526925,2.847220985724712
10,14.62024,16.50028,1.8800399999999993,0.6318490607627244,0.007155308690619047,0.27379685382930885,3.1673301588966476
