Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.03,0.0082,0.0213,0.0009,17.58661325809848,21.409790053337282,20.694625501761063,23.730821908903458,72.20703413122578,12.114409046431122,64.49454805809036,5.669726896156213
0.04,0.0743,0.0224,0.0015,33.72496432819972,41.05647831259097,49.083273976408776,33.226991237187555,65.05497342457662,18.100204235461195,70.96733436658108,4.319061310160066
0.05,0.1777,0.0232,0.0009,43.44263260139591,52.886683166916754,69.93425340756765,39.16738715948685,64.92309673086093,21.898883670201904,75.92071535062172,3.7960865030362796
0.06,0.1363,0.0262,0.0005,41.89500195592119,51.002611076773626,64.33975688776665,40.6974589966492,73.98742791962549,22.399085165978914,80.61325528258374,3.9924525593546267
0.07,0.0826,0.0283,0.0007,37.68926297127717,45.88258100851134,53.972854262156815,40.54341807254226,83.76989367005312,21.892657313834047,84.35045867374782,4.3230284352883865
0.08,0.1239,0.0313,0.0021,42.88297063918544,52.20535556074749,63.89456585430628,44.76180837399961,87.81112965340007,24.28898057356486,88.66475404255345,4.100103648370016
0.09,0.1487,0.0337,0.0066,45.87780237887972,55.85123767863619,69.45481202991624,47.780546050595746,92.34125052539352,25.924076948874497,92.35280668506299,4.005353916528329
0.1,0.1653,0.0361,0.0068,47.955479087872334,58.3805832374098,73.0605502102425,50.3200750472609,97.3077170676061,27.25977153523586,95.77472436386812,3.960277073397578
0.11,0.2314,0.0393,0.0241,53.239989941067975,64.81390079782189,84.26518803468765,54.50404012249033,100.79648487508081,29.58883692068339,99.44877207569658,3.769360030100782
0.12,0.3265,0.041,0.0296,58.63179375235706,71.37783587243469,96.84267679448327,58.417291514305774,102.05963357227594,31.96615848003663,102.48427841105939,3.5711336374859384
0.13,0.4299,0.0437,0.0214,63.3445948093152,77.11515889829677,108.0969930406181,62.21246892394947,105.01045710468043,34.18683896923612,105.66640436915792,3.425012506805699
0.14,0.4919,0.0451,0.0144,66.03703818125292,80.3929160467427,114.4657251443451,64.76394445641768,107.50820011845886,35.675357377814734,108.21637634413183,3.353765345470453
0.15,0.525,0.0467,0.0209,67.81439700755094,82.55665722658375,118.24775227133455,66.88675406704645,110.75829809020959,36.81522285943733,110.67542981626791,3.3224836210508393
0.16,0.5829,0.0495,0.0199,70.29334269886704,85.57450415514248,123.804681399546,69.57423285920702,114.94377605249636,38.2349875988175,113.43999087163421,3.2755334732228043
0.17,0.616,0.0455,0.0313,71.2746222013625,86.76910528861522,127.36645330787078,70.10239505040025,111.32296147608089,38.92218312463247,113.98500204389994,3.215829622453782
0.18,0.6449,0.0429,0.0575,72.28889000421638,88.00386609208951,130.72953757313883,70.85258789444664,109.18843096445147,39.61361140160628,114.80304062992089,3.1666484147301266
0.19,0.6532,0.0416,0.0691,72.85223400168827,88.68967617596834,132.23944011214445,71.60519538328846,108.90703676933563,40.18488407989962,115.93054863237711,3.148363978352378
