Profile_Name,File_Name,VsZ_15m_D0,VsZ_15m_D0_5,VsZ_15m_D1_0,VsZ_15m_D1_5,VsZ_15m_D2_0,VsZ_15m_D2_5,VsZ_15m_D3_0,VsZ_15m_D3_5,VsZ_15m_D4_0,VsZ_15m_D4_5,VsZ_15m_D5_0,VsZ_15m_D5_5,VsZ_15m_D6_0,VsZ_15m_D6_5,VsZ_15m_D7_0,VsZ_15m_D7_5,VsZ_15m_D8_0,VsZ_15m_D8_5,VsZ_15m_D9_0,VsZ_15m_D9_5,VsZ_15m_D10_0,VsZ_15m_D10_5,VsZ_15m_D11_0,VsZ_15m_D11_5,VsZ_15m_D12_0,VsZ_15m_D12_5,VsZ_15m_D13_0
SCPT_205818,SCPT_205818.csv,147.729,173.308,170.133,181.672,199.281,230.096,251.01,194.519,233.669,213.086,294.826,258.368,282.62,291.57,332.916,270.923,281.245,299.872,302.469,305.17,269.145,277.892,338.154,231.634,256.407,318.325,293.773
SCPT_57279,SCPT_57279.csv,115.774,113.641,115.279,116.39,109.079,97.098,113.826,122.594,136.543,139.088,130.504,128.861,155.073,146.858,187.754,188.101,191.373,217.168,237.931,248.339,255.16,243.708,223.564,194.398,202.911,194.557,234.733
SCPT_57280,SCPT_57280.csv,89.171,78.218,76.826,78.535,78.535,91.104,98.892,107.133,102.77,117.198,128.131,133.944,141.508,185.428,202.341,188.976,195.339,221.178,210.377,235.398,194.296,203.497,233.671,230.272,246.067,224.217,214.678
SCPT_57339,SCPT_57339.csv,104.834,113.757,117.174,118.084,116.266,108.316,104.275,105.06,111.592,136.92,137.551,159.431,175.929,131.454,143.399,157.517,170.463,169.733,196.484,192.169,189.882,183.432,175.735,171.229,210.734,244.76,254.144
SCPT_57341,SCPT_57341.csv,139.89,146.405,147.876,153.743,162.092,169.116,170.436,168.837,167.576,175.29,169.082,173.019,175.669,176.595,173.007,183.335,193.489,182.596,182.596,174.184,186.563,177.752,191.624,176.936,185.082,204.228,209.3
SCPT_57342,SCPT_57342.csv,133.353,137.7,139.429,140.092,134.594,140.065,143.585,145.698,157.989,162.817,154.247,169.371,164.295,177.115,159.546,170.57,164.138,200.093,206.336,208.701,147.368,167.248,178.786,215.624,211.128,238.896,232.242
SCPT_57343,SCPT_57343.csv,159.471,170.929,174.823,179.751,185.524,178.512,175.827,176.846,184.751,187.951,179.006,194.126,201.161,203.676,217.609,230.275,228.378,226.022,213.265,231.894,235.736,236.135,259.34,252.251,260.489,243.352,204.891
SCPT_57345,SCPT_57345.csv,125.483,120.37,124.183,120.639,126.216,133.546,138.093,131.158,130.731,126.814,128.72,142.949,135.623,133.836,133.194,126.505,154.727,146.341,147.426,171.297,165.607,160.29,177.433,153.422,150.364,134.295,144.831
SCPT_57346,SCPT_57346.csv,135.509,152.126,157.098,157.098,156.19,159.241,159.241,156.713,163.026,164.858,164.366,151.069,152.407,170.129,172.051,188.587,180.124,187.041,166.087,180.509,183.355,205.547,220.72,221.979,213.217,213.217,206.573
SCPT_57347,SCPT_57347.csv,152.539,162.354,160.257,160.852,150.715,159.996,163.802,173.573,159.401,182.476,205.867,191.017,188.669,190.071,200.319,194.704,209.32,205.915,180.845,200.234,201.359,187.407,168.827,211.396,231.636,225.758,204.025
