Profile_Name,File_Name,VsZ_15m,Max_Depth_In_File,Used_Depth_For_VsZ
SCPT_136515,SCPT_136515.csv,160.642,19.0,15
SCPT_148992,SCPT_148992.csv,117.572,24.0,15
SCPT_148995,SCPT_148995.csv,110.948,27.0,15
SCPT_148998,SCPT_148998.csv,118.153,24.0,15
SCPT_148999,SCPT_148999.csv,127.588,24.0,15
SCPT_165738,SCPT_165738.csv,79.617,29.0,15
SCPT_165739,SCPT_165739.csv,106.677,26.53,15
SCPT_205818,SCPT_205818.csv,98.628,30.5,15
SCPT_217000,SCPT_217000.csv,151.035,20.0,15
SCPT_57279,SCPT_57279.csv,99.605,20.0,15
SCPT_57280,SCPT_57280.csv,82.811,18.0,15
SCPT_57339,SCPT_57339.csv,96.222,17.6,15
SCPT_57341,SCPT_57341.csv,114.302,20.0,15
SCPT_57342,SCPT_57342.csv,114.235,20.0,15
SCPT_57343,SCPT_57343.csv,130.881,20.0,15
SCPT_57345,SCPT_57345.csv,104.524,20.0,15
SCPT_57346,SCPT_57346.csv,113.237,20.0,15
SCPT_57347,SCPT_57347.csv,123.312,20.0,15
SCPT_57348,SCPT_57348.csv,130.004,20.0,15
SCPT_57349,SCPT_57349.csv,124.865,20.0,15
SCPT_57350,SCPT_57350.csv,129.701,20.0,15
SCPT_57351,SCPT_57351.csv,99.005,19.6,15
SCPT_57353,SCPT_57353.csv,122.557,17.9,15
SCPT_57354,SCPT_57354.csv,118.032,20.0,15
SCPT_57355,SCPT_57355.csv,106.841,20.0,15
SCPT_57356,SCPT_57356.csv,109.751,20.0,15
SCPT_57357,SCPT_57357.csv,107.042,20.0,15
SCPT_57358,SCPT_57358.csv,109.087,20.0,15
SCPT_57359,SCPT_57359.csv,104.753,18.0,15
SCPT_57360,SCPT_57360.csv,111.563,20.0,15
SCPT_57362,SCPT_57362.csv,99.061,20.0,15
SCPT_57364,SCPT_57364.csv,117.5,16.7,15
SCPT_57365,SCPT_57365.csv,116.407,20.0,15
SCPT_57366,SCPT_57366.csv,122.834,20.0,15
SCPT_61758,SCPT_61758.csv,141.996,15.0,15
SDMT_122142,SDMT_122142.csv,84.641,24.5,15
SDMT_178944,SDMT_178944.csv,106.127,16.0,15
SDMT_178947,SDMT_178947.csv,87.616,19.0,15
