Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.02,3.093,0.0003,0.0002,64.3613824698212,78.35298735456493,190.13960913236815,38.93747325667335,31.0415360252202,17.853358853953345,34.94418523462056,1.9206570446976892
0.03,6.105,0.0025,-0.0002,69.09487113670298,84.1154952968558,256.63104643163325,45.5260513016632,30.104595763369662,26.279995636247936,51.2646159181861,1.4635398146040375
0.04,11.539,0.0002,-0.0002,119.0297716099567,144.90580891646903,336.74019462874804,90.80889637745841,142.88718660087594,25.30044775648324,39.89099574344929,1.9394124766449603
0.05,19.16,0.0002,-0.0002,154.0855158723298,187.58236714892325,417.84587505493755,128.86019718538986,281.67595588005724,28.958891019376374,42.36652002969203,2.0046266477556425
0.06,24.176,0.0001,-0.0004,197.91175320311433,240.9360473777044,464.97824703371276,185.68106824057497,660.8524284935288,29.74070306711293,40.61337364381125,2.326630612194946
0.07,27.078,0.0001,-0.0004,213.32734817716275,259.702858650459,493.0229127805893,207.88712938587804,809.2120419305643,31.553814366400992,42.26403158648372,2.3551575937414473
0.08,26.671,0.0006,-0.0006,155.27655806059502,189.03233155202875,496.7015633853171,135.8903169712575,231.0856081658154,37.91517390395333,55.17646531353186,1.6433626304720896
0.09,26.565,0.004,-0.0002,101.24125499720749,123.2502234748613,501.7639577699098,94.0624623153596,77.23812132740792,45.83200261589996,72.74293199252094,1.013574073158489
0.1,29.976,0.0136,-0.0002,83.99885527081156,102.25947598185756,530.9708469529262,88.53466652510342,58.50057295768423,53.15657154271591,87.66938070773878,0.772686192184344
0.11,4.314,0.0174,0.0006,85.67925024147866,104.3051742070175,255.60541882048545,66.34488821341014,54.649804117578206,42.14182287124822,91.41166514436446,1.8048368886836998
0.12,9.902,0.0221,0.0006,93.38143658595756,113.6817488872527,354.1200055584785,78.18508978204574,58.95786492145108,49.63623921229858,96.99111587008485,1.3677575722789883
0.13,16.858,0.0235,-0.0002,93.52757368598074,113.85965492206351,437.38437206992717,86.83903059200414,61.06342060569794,55.07478096891631,100.16237422578885,1.0763282198665367
0.14,12.387,0.0438,-0.0002,104.86247535751747,127.65866565262998,391.67202798430725,92.26059049525303,78.95742849166531,56.633172646222256,110.41033617681614,1.380419255427929
0.15,26.105,0.0632,0.0,107.81302878007725,131.25064373226797,524.2818695434237,108.93405369123175,89.408375892276,66.25809160313506,118.4916697550385,1.0207666719533472
