Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.11,5.5809,0.0075,-0.0008,81.73604852639787,99.50475472778871,282.0184308280005,64.76690225818676,44.362763520883945,40.7831235501277,82.09480589947509,1.5331320830113129
0.12,3.5159,0.0133,-0.0006,82.6050744891724,100.56269937812291,238.43092394941218,51.41402291218435,41.323735407159674,40.995779981308026,90.10190934534988,1.8723669708161927
0.13,2.2444,0.0233,-0.0001,82.87846165858136,100.89551854088167,202.46155362423016,53.63029007371196,53.689568345132656,41.16641556601165,98.56933695474473,2.2576823779079978
0.14,2.2444,0.0233,-0.0001,83.64510835595328,101.82882756376921,203.95241342703855,54.76329154239068,54.824621662321064,42.0233234349036,100.43487886336548,2.2577277854870657
0.15,2.204,0.0569,-0.0005,92.00464152934069,112.00565055745822,203.9274492148868,64.76955449334953,85.20232496209267,46.011668283026694,114.76651772029969,2.5025463867097786
0.16,2.1635,0.0681,0.0007,94.18111863624968,114.65527486152135,203.79423823950796,68.17504174927707,95.54333559880325,47.42168506830856,119.39644517943937,2.565505770764178
0.17,2.1773,0.0643,-0.0068,94.42591053044437,114.95328238488881,205.46550379966274,68.79285451369088,94.46853650223032,48.04236353062227,120.34591526804876,2.545440849912316
0.18,2.2563,0.0717,-0.0072,96.78509821413145,117.82533695633394,209.46285119998512,71.73694226687384,101.42369930453613,49.50861929246162,123.87290600586078,2.5552764036614977
0.19,2.3354,0.0754,-0.0073,98.54804981459382,119.97153890472293,213.37828454961027,73.92331804905656,105.5546272415191,50.71975762451431,126.43536448100973,2.5489276182648153
0.2,2.5487,0.0791,-0.0073,101.20919809246216,123.21119767778002,221.75019513472276,76.52824335556878,109.07374345000466,52.307348451963925,128.97039967028894,2.509386097390564
0.21,2.9774,0.09,-0.0073,106.03040198790782,129.08048937658344,236.4653415763072,81.02230487125614,116.88783739972766,54.80617204984024,132.93494443289143,2.4523831389394966
0.22,3.8357,0.1009,-0.0059,112.55334297999481,137.02146101912413,261.71029229268424,86.45990575112374,123.14893640851568,58.131017156859556,136.77886498139895,2.3312617084143556
0.23,5.4427,0.1213,-0.0021,121.89428699270616,148.3930450345988,300.48493621422546,94.55608018906706,133.71602947418674,62.848639527321474,142.04430578016326,2.173044232218376
0.24,6.1061,0.1213,-0.0017,124.42709126636633,151.47645893296772,315.30934464234724,97.10088007154135,134.06895482068649,64.65870438465797,143.70429771605993,2.1023790104786246
0.25,6.422,0.1615,-0.0009,130.92210870203766,159.3834366807415,322.7489352511455,104.88112986635306,159.24473367854222,67.45714996834289,150.75709709615745,2.1629061017374998
0.26,7.034,0.1612,-0.0011,133.12842392415942,162.06938564680277,335.4685626438143,107.28533233204404,159.7472029839314,69.08580974619592,152.3262549622761,2.1064859261474513
0.27,7.034,0.1626,-0.001,133.91717930694332,163.02960959106144,336.7246815233207,108.80098265473816,162.532187077795,69.8645867891764,153.96065696337538,2.1093204185531897
0.28,6.5759,0.1654,-0.0009,133.64451756557412,162.69767355809023,329.3565787494243,109.63652972188993,167.1470650325963,69.99253956916499,155.65146817466658,2.156213167023867
0.29,6.1179,0.1851,-0.0009,134.92839231629782,164.260651515493,321.5125868883227,112.58691656653335,181.80409126572678,70.6041031936332,159.26859205399583,2.237444010667353
0.3,5.2808,0.1851,-0.0009,132.5386601761093,161.35141238830698,304.96078334997924,111.93354083040914,186.31649849910985,69.77840277171583,160.46571117237502,2.3276556290016783
0.31,5.2808,0.2018,-0.0009,134.56903490348878,163.82317292598637,305.95235328800965,115.16562813571942,198.11793783643688,70.92406023532733,163.62964679007717,2.3562544019161984
0.32,5.1308,0.1991,-0.0009,134.25336618856863,163.43888057738792,303.55548370459536,115.61051888891005,199.038726629127,71.17690244268263,164.62558580312808,2.3694608442640996
0.33,4.9768,0.1965,-0.001,133.88890271816044,162.99518591776052,300.9570610634206,115.99713235923154,199.95648311279737,71.39612109130707,165.5916164886804,2.383807421016702
0.34,4.6965,0.1742,-0.001,131.14042947818476,159.64921849518146,295.2368023166585,113.4093000867819,189.01865383583302,70.68242832996783,164.18418104311812,2.3797738271523508
0.35,4.2345,0.1755,-0.0005,129.53024981377055,157.6889997732859,284.60372974390765,113.25290264662436,193.3851294773956,70.2430317976535,165.42583374012088,2.445768853625558
0.36,3.7409,0.1767,-0.0011,127.3831025231156,155.07508133248857,272.1976759953789,112.78648722206145,198.1012916938279,69.5823528887195,166.6038613167602,2.52412895432311
0.37,3.7409,0.1807,-0.0012,128.15537554299442,156.0152397914715,272.93645659143635,114.23216396283972,202.34009960521306,70.24476876640692,168.25166651706178,2.5314710363791812
0.38,3.4882,0.1807,-0.0013,127.01117062690477,154.6222946762319,266.4423702715051,114.23089188607693,205.28954713392872,70.05833116501127,169.3030630098804,2.574454212310145
0.39,3.3856,0.1929,-0.0013,127.69942462774965,155.46016911204305,264.09904101876634,116.28690267183592,215.53125051932366,70.64540052080366,171.83498699058876,2.6142126058399446
0.4,3.2868,0.1929,-0.0048,127.41053581197257,155.1084783797927,261.7617713571611,116.75963640337703,217.74829189821446,70.8416107884464,172.9012945993573,2.632563070626612
0.41,3.1644,0.1935,-0.009,126.95524486385281,154.55421113860342,258.5984181472845,117.17336870366697,220.51506788036673,70.95911882425673,174.00621221581474,2.6570922248151896
0.42,3.1644,0.2027,-0.0133,127.9977971485098,155.82340522427282,259.18915316767067,119.14235175983063,228.21954926204586,71.71201818793845,176.13066279617465,2.6725720571485083
0.43,2.9492,0.2027,-0.0088,126.69831792302497,154.24143051498692,252.92089451199024,119.01337596996048,231.3042254626145,71.4542924658783,177.09001440502323,2.7157046832456375
0.44,2.8416,0.2072,-0.0136,126.4645839981979,153.95688486737134,249.88911256065524,119.84885540160839,236.70957021792947,71.65905561539218,178.58308290733916,2.7460256820385376
0.45,2.8333,0.2072,-0.016,126.74421925139464,154.2973103930022,250.1495187168515,120.58407626034055,238.3174969342206,72.07777637706594,179.597445000402,2.747970375922709
0.46,2.8249,0.2072,-0.017,127.01796329130902,154.63056400681097,250.40313306584312,121.30463555518031,239.8957710405061,72.48853002090564,180.59493974202377,2.749882084311999
0.47,2.8249,0.2071,-0.0174,127.35152733574421,155.0366419739495,250.93411996878842,122.03962692435088,241.30990857122603,72.92029535523795,181.56885259445644,2.7497829012907946
0.48,2.738,0.2061,-0.0166,126.85653051853659,154.43403715300107,248.47604360621412,122.2181128014268,242.78397632020477,72.98973320865663,182.38156367708507,2.7674147981122217
0.49,2.6432,0.2061,-0.0158,126.32029317325309,153.78122647178637,245.65634048214028,122.44725524512424,245.02025734091035,73.03777428546148,183.2876760719841,2.789102083922514
0.5,2.6432,0.2053,-0.0158,126.58601645845367,154.1047156885523,246.14816154758006,123.04756972444814,245.86221921545456,73.42542867311991,184.133789932372,2.78786751460179
