Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.01,0.042,0.005,0.0,22.472623203205288,27.35797607346731,34.35773939654471,17.027705370424798,24.120921050590116,10.013369245689642,40.94849086728054,4.2854547104848715
0.02,0.238,0.009,0.008,39.20731616714587,47.73064576869932,71.56641866080697,27.478367472303642,32.668655861641454,16.365654254363083,53.352962594053764,3.37727845776686
0.03,0.416,0.009,0.018,46.773665488742594,56.94185363846925,92.27870893364864,32.69307343090749,34.977269658457914,19.852220930788686,59.36141568900659,3.0426762321751473
0.04,0.594,0.014,0.019,53.8936518581864,65.60966313170519,108.69051569909347,39.278971427488734,44.15204306146864,23.482502413093147,67.7959260882436,2.931999506258869
0.05,0.679,0.017,0.011,57.75585541953784,70.31147616291562,116.80254211224496,43.59974034892998,50.41162149585075,25.88498944249904,73.63992925574938,2.899884059510995
0.06,0.841,0.02,0.008,62.45996723849623,76.03822098599542,128.99346885235298,48.13459160198642,55.88885102796905,28.46426563221902,78.88772131292441,2.811286117258825
0.07,0.925,0.021,0.003,65.11429537116804,79.26957697359587,135.76310949149834,51.09172166845455,59.052681038088366,30.242917803888258,82.60522465785881,2.766619251811098
0.08,1.027,0.024,0.002,68.3100883062509,83.16010750326197,143.16398332005258,54.73534713616768,64.40357221828864,32.21814385594845,87.00708221522518,2.736867517385134
0.09,1.095,0.025,0.001,70.4149755447417,85.72257892403337,148.42253775452414,57.26737770181082,67.33045867883118,33.71334885408372,90.1585619315606,2.708508438979114
0.1,1.146,0.03,0.001,73.10673890892907,88.99950823695713,152.6092389909624,60.995419435624,75.01043109490273,35.47655758542414,94.84697508945358,2.7277959401946856
0.11,1.231,0.035,-0.005,76.00936874427117,92.53314455824317,158.2650359371709,64.72910366275077,82.2446011986751,37.280334187059864,99.18108617123308,2.7255404147917055
0.12,1.282,0.036,-0.001,77.63683832137754,94.51441186950309,162.1696717895342,66.88269998321353,85.00923952149913,38.506956344321004,101.79121709189876,2.7079703561667423
0.13,1.316,0.04,-0.001,79.56010803050816,96.8557836893143,165.1027393831167,69.78003004044723,91.16180308016519,39.86923496958873,105.32651532229129,2.7204836830370986
0.14,1.35,0.042,-0.003,81.04308277607534,98.6611442491352,167.928255912185,71.98390934793079,95.00710977664487,41.0146651915073,108.02319694498061,2.718452114225341
0.15,1.35,0.045,-0.011,82.24349705536719,100.12251815436005,169.00257027537694,74.19969153895087,100.12602129171934,42.049021530377686,110.91567859887915,2.7382473477737563
0.16,1.316,0.047,-0.026,82.7951507577724,100.79409657467946,168.28683702800794,75.82727379732808,104.35425508806874,42.807527904734336,113.35934455039528,2.7674587451549106
0.17,1.316,0.048,-0.029,83.57624699709278,101.74499634428688,169.2702972476952,77.34186876913886,107.17499112089467,43.61124589967756,115.4269411727447,2.7736963480324635
0.18,1.299,0.05,-0.033,84.26520842401696,102.58373199445543,169.34366900003837,78.97301430096059,111.20448991498584,44.376986520666364,117.72006886408643,2.7936128688533883
0.19,1.282,0.053,-0.023,85.09488091247243,103.59376806735774,169.49497963289775,80.84678638158701,116.30577342065145,45.18165102938391,120.23714372477998,2.817313917390605
0.2,1.274,0.053,-0.018,85.5478531647693,104.14521254841479,170.00065206150845,81.90026565141686,117.95852109930678,45.78924225123807,121.80201167185709,2.820773311678924
0.21,1.282,0.056,-0.013,86.62582370122968,105.45752450584483,171.2850610497086,83.8582322058576,122.80387338917498,46.669190598188365,124.20642216648758,2.8321895999045283
0.22,1.274,0.057,-0.006,87.18220502365563,106.13485828966773,171.73609414611457,85.11809526472005,125.51611478361019,47.30350690844717,125.96058781173576,2.8405143458634816
0.23,1.274,0.057,-0.003,87.67465946401748,106.73436804315173,172.52458009807492,86.12532721111452,126.99266049273393,47.89169103616306,127.38517349894138,2.8403103293770613
0.24,1.282,0.057,0.001,88.26093716467629,107.4480974178668,173.70942005148297,87.16160620250272,128.34114802632524,48.505394025235844,128.7701798272479,2.8361619200299515
0.25,1.299,0.057,0.017,88.98480115077224,108.32932314007056,175.457432195952,88.25493189848015,129.5345915346869,49.152145113100886,130.11968898738553,2.8266358971663004
0.26,1.308,0.056,0.022,89.40908236167095,108.84583939681683,176.65543781636504,88.95626592656144,129.60293181698353,49.66741247410272,131.121936104253,2.8169577658410234
0.27,1.325,0.057,0.025,90.21320884279741,109.824775982536,178.2213347129356,90.26158704981304,131.9128964553809,50.35860011449874,132.697553646845,2.8139071734185945
0.28,1.341,0.058,0.028,90.99029306304493,110.77079155501121,179.71368378484058,91.53888230425822,134.20817322486292,51.03193349857116,134.23919819132396,2.811340732213805
0.29,1.358,0.058,0.029,91.61615979955883,111.5327162777238,181.215572823478,92.51285180689561,135.28343846233273,51.625771727745445,135.44891993643338,2.8036145365649885
0.3,1.358,0.059,0.029,92.15129571795995,112.18418609142952,181.82480003365293,93.6249465680848,137.68975218484175,52.18862030096946,136.9196097589434,2.8085999276023657
0.31,1.375,0.059,0.029,92.75285352787219,112.91651733827919,183.28128342512122,94.55960631452649,138.7111744298037,52.760958827096815,138.0729059842881,2.8010572692120683
0.32,1.384,0.06,0.03,93.38837569918748,113.69019650335866,184.3252594431174,95.70831741310444,140.98988624075767,53.35310113435884,139.49761083379758,2.801882032049637
0.33,1.401,0.06,0.031,93.97218501594566,114.40092088897732,185.7582701314359,96.61091888616252,141.9605107252707,53.90615349006464,140.6005718180752,2.794391168138129
0.34,1.409,0.062,0.028,94.71076670708504,115.30006381732093,186.68173169315895,98.0072552851465,145.43601761726134,54.5482290164463,142.27768245722407,2.8006959227199513
0.35,1.418,0.063,0.028,95.3150723128526,116.035740206951,187.67235199313302,99.11004865925642,147.6684535691163,55.11316881805468,143.63016062825025,2.801496619397778
0.36,1.443,0.063,0.026,95.969681505831,116.83265574622905,189.43220014152314,100.03104799122143,148.51485319981032,55.68645037424483,144.67621236793903,2.791022403645307
0.37,1.443,0.064,0.027,96.4448585741821,117.41113217726519,189.9567524476883,101.03950010053134,150.80289813259793,56.185621839231054,145.98114276767552,2.7955770979077315
0.38,1.443,0.065,0.03,96.91662541214426,117.98545702347997,190.48906566360856,102.03775939056784,153.0759698187773,56.67660442312027,147.26593956648384,2.7999000577398077
0.39,1.452,0.065,0.031,97.35126465710783,118.51458306082694,191.4418481652562,102.80151226349281,154.0227971943487,57.13849342481852,148.2437492736585,2.796076376853253
0.4,1.452,0.067,0.032,97.94345425243444,119.23550952470279,191.93234695615996,104.06183173720007,157.50477661655702,57.68699306961218,149.78530584178299,2.8048924028294877
0.41,1.452,0.068,0.033,98.38705339256528,119.77554326051427,192.41219149112447,105.02081688922948,159.7505599506805,58.155817858594546,151.01454649292947,2.8092102756597392
0.42,1.452,0.069,0.035,98.8260306208665,120.30995032105488,192.89197222513775,105.97007229280727,161.98503532057157,58.61770258226877,152.22667471939084,2.8133884116117645
0.43,1.443,0.069,0.034,98.99492176597843,120.51555693249549,192.87521441118727,106.54380448215696,163.08103237976786,58.949602350266204,153.12857016239363,2.817365647052517
0.44,1.443,0.07,0.034,99.41552229218398,121.02759235570224,193.31469105504027,107.46810818467377,165.30180869389278,59.39845599574029,154.31018737410903,2.821659861736874
0.45,1.452,0.07,0.033,99.81341895485068,121.5119882928617,194.1936492956073,108.1696279116433,166.17539608211655,59.824245760915204,155.19717781383093,2.818003394837115
0.46,1.452,0.07,0.032,100.08560969594902,121.84335093419882,194.60646333270077,108.78573732260024,167.13097886579382,60.190899052708815,156.06258095813087,2.818164275185045
0.47,1.46,0.07,0.033,100.46524330105532,122.30551358389344,195.43939170773132,109.46193732233564,167.97768670897167,60.59977003056398,156.92042287123817,2.8147809170829894
0.48,1.469,0.07,0.033,100.8505381322677,122.77456816102156,196.30540514626816,110.13531449053293,168.79988556033916,61.00945745500385,157.7656659331717,2.811081484838509
0.49,1.452,0.07,0.032,100.88025179381033,122.8107413142039,195.82748515909117,110.57834400936436,169.89816113153196,61.257414613373626,158.57716954041786,2.818393220532489
0.5,1.46,0.072,0.033,101.51800450812873,123.58713592293931,196.64026225311892,111.81231789913421,173.24310824868482,61.79550599022531,159.98107185102103,2.8232868109455067
0.51,1.46,0.072,0.036,101.7782318207312,123.90393439045538,197.05693309394331,112.39136221847383,174.129897139976,62.1366364303534,160.78459855234308,2.823110331281464
0.52,1.477,0.072,0.037,102.25856822950723,124.48869175766099,198.31709154163005,113.10437544520549,174.81331292413716,62.57720204804507,161.59028300092012,2.815989858860613
0.53,1.477,0.072,0.037,102.50288170184292,124.78611685441749,198.69142506435057,113.66203253908407,175.679688204198,62.909452173213154,162.3708972693088,2.816065039053977
0.54,1.486,0.072,0.038,102.86701800280406,125.22941322080494,199.529832978505,114.29076300935186,176.42825044245012,63.292550093207346,163.14791966329904,2.812324376095471
