Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
8.01,0.5751,0.0236,0.0523,121.66155034746387,148.10971346647776,182.29021489319567,127.3504215795001,163.11315851702577,106.5080426852526,277.2550359756005,3.513101726045369
8.02,0.7553,0.0168,0.0517,119.03169836298873,144.90815452885585,201.9602987180944,127.15731074565636,144.79763153756298,107.7278949368299,265.8913208206749,3.0536130385537352
8.03,0.7369,0.0259,0.0523,122.25478905341627,148.83191710850676,200.1311311210876,135.44051278255301,175.1074713536849,111.31135184190943,281.3199820389402,3.1769040533243036
8.04,1.1377,0.034,0.0498,135.07489291738253,164.43900007333528,235.76771464872556,149.97170526163188,190.08218920713392,121.24385928461183,292.48015241359866,2.9429731762928593
8.05,0.8509,0.0278,0.0526,126.21663895507174,153.65503872791345,211.33456139353737,139.70349297656898,178.2544363311495,114.38980067148518,284.4022563969984,3.09274772238473
8.06,1.4246,0.0187,0.0512,134.41750994472648,163.63870775879747,256.8198792353038,140.13929254366542,142.96661490418938,119.25417747954621,271.2309577990341,2.656580825026009
8.07,2.0387,0.012,0.0578,138.18321533999472,168.22304476173272,294.3619086194409,138.04444504384372,118.01418074971438,121.07307914583973,256.79202749875213,2.345773916082614
8.08,2.3696,0.021,0.0447,147.73680054818996,179.85349631953562,311.5723050836349,151.47091527702966,143.60354320233614,129.65091577193374,276.5641817706214,2.3666228396146645
8.09,3.0095,0.0169,0.0523,150.62689510167883,183.37187229769597,341.3653522034291,151.37025353107833,130.10425313884244,131.83942327689877,269.42436078007995,2.1795888368502423
8.1,3.6494,0.0166,0.06,154.63669600849605,188.2533690538213,367.47159553599255,154.71611503860717,127.93040094857822,135.39590233357418,269.2656507072088,2.06341287777486
8.11,4.0575,0.0158,0.0428,156.2552526189665,190.2237857970027,382.52362610391026,155.87982435902882,125.24715322625018,136.96303995620832,267.8357629065584,1.9941806406527853
8.12,4.0649,0.019,0.0578,158.7328208367031,193.23995580120376,382.9491388577053,159.48497422158152,133.28207310706264,139.15990664435992,274.42417542770465,2.026262516018008
8.13,3.7964,0.0189,0.0469,157.2462328157806,191.43019647138507,373.0716476124294,158.04254286476763,133.5633278815679,137.78403133641896,274.182701085473,2.065711367017552
8.14,4.3002,0.0188,0.0601,159.84410778573846,194.59282686959466,391.35783783772257,160.41251400981264,132.40247543355738,140.2648576676557,274.33174518090317,1.99203745900424
8.15,4.5834,0.0187,0.0524,161.10373565276677,196.1262868816291,400.97703749664566,161.5933635956296,131.7443926249044,141.54467288317463,274.3562314041435,1.9546376160898626
8.16,4.5172,0.0201,0.0599,161.85655721876174,197.04276530979692,398.8614809163361,162.7744341024306,135.16856779467452,142.1458359544268,276.99943676957986,1.976416570279472
8.17,4.6422,0.0226,0.0353,164.12109917380863,199.79959899420183,402.9086173655185,165.79216218866762,140.7385177659617,144.1500472827693,281.397211359419,1.9838603677208466
8.18,4.7857,0.0211,0.0493,163.79435843736908,199.40182766288413,407.7590486644554,164.96141144471247,137.07023928958023,144.00939736063705,279.04526458353894,1.9527968366019555
8.19,4.8261,0.0196,0.0515,162.9555582054686,198.38067955448355,409.13215044226257,163.63186837549102,133.55649195351236,143.35269803680117,276.48557923926154,1.9343907464985564
8.2,5.3924,0.0182,0.0672,164.1211131092515,199.79961595908878,426.95812552472637,164.51484737793643,129.68527587656416,144.81735849568858,274.1442416512203,1.8574861593190317
8.21,5.5763,0.0149,0.0547,162.13377770261926,197.38025111623216,432.423158745315,161.67734046690015,121.95276373942869,143.17049409097405,267.254945456925,1.8065450121342321
8.22,6.0163,0.0061,0.0564,155.5915255030917,189.41577017767688,445.1904140063822,153.40294645623095,102.28813772250545,134.44913432650586,238.16735960966582,1.6706864119618798
8.23,6.4564,0.021,0.0582,169.58507185877053,206.45139182806847,457.4019728525116,171.2202211400234,134.88810366556712,150.55036071691498,279.9228499959042,1.7806078333614792
8.24,6.8965,0.0288,0.06,175.98264609615785,214.2397430735835,469.1148177699204,179.62066560783794,150.06716410743624,156.07656666441147,291.88798337840643,1.80193585665991
8.25,7.5473,0.0225,0.0555,173.34813168045008,211.03250813272186,485.5619931942692,176.1113043067587,137.10170171200238,154.9619818365669,282.94497777362454,1.7044177746165312
8.26,8.1357,0.0093,0.0468,163.93958912115284,199.57863023444693,499.6840961402497,165.12791181059376,111.3305888393434,145.61939762900224,252.46164817533918,1.5519328072390863
8.27,8.5843,0.0239,0.0546,176.36382569840586,214.70378780675497,510.1208902779759,180.3277792603698,139.12420464803017,158.76138689775783,285.62077459350513,1.6423606418802013
8.28,9.0329,0.0195,0.0625,173.81579316191653,211.60183515363752,520.2298036041072,177.68119077569642,130.78560621606616,157.304898384644,278.35501575882626,1.580751196745198
8.29,9.4816,0.0123,0.0704,168.82690896876298,205.52841091849407,530.0386132619751,172.27601543424265,117.80818512905499,152.5137717119367,262.34370048564017,1.4989439272394898
8.3,9.7427,0.0114,0.0563,168.54698624780903,205.18763543211537,535.5608098597567,172.28122652637524,116.55816268965278,152.19993215672875,259.8964638274077,1.4786969318199241
8.31,10.1105,0.015,0.0573,171.90248079118285,209.27258531100523,543.2557460103983,176.4967541265039,122.81637482145965,156.59206143164837,269.49207329615035,1.4867209326923407
8.32,10.7944,0.0109,0.0392,169.70646828808339,206.59917878549282,556.9854647424521,175.01094766547462,116.91987571799594,153.99233068424073,258.7391044594152,1.4249663372255872
8.33,11.2063,0.0146,0.0581,172.9120939098963,210.50167954248246,565.1481533821316,179.07890353934957,122.75502832702898,158.6795585759987,268.914879199964,1.4306700573145001
8.34,12.1146,0.0053,0.1114,170.8169766209546,207.95110197333602,582.4825431193201,178.23118770656808,117.44009571623334,147.57520312510002,235.93214516503082,1.3640984381726917
8.35,12.8795,0.0141,0.0337,174.14143108729647,211.9982639323609,596.022790298974,182.88673661251198,123.1968545419356,161.53152977003185,268.1378797634616,1.3573656321079537
8.36,12.9163,0.0139,0.0399,174.08001525429657,211.92349683131758,596.7660721105327,182.8629656653919,122.97958061007427,161.4601257374503,267.7270728595715,1.3548863379141327
8.37,14.1004,0.0102,0.0614,173.16554616783165,210.81023011736028,617.235955858538,183.84938597117835,120.57103384847433,159.4184715419031,257.41368466697276,1.2965087032328455
8.38,14.6079,0.029,0.0598,185.7123953267434,226.08465518038327,625.6905612749363,197.71786310715476,145.4732683129726,174.8072075992619,295.03271883486235,1.3783989118081519
8.39,14.4534,0.0057,0.0568,174.8402060564945,212.84894650355852,623.2197267090226,186.09814813742327,123.44867051300567,152.54463718291672,238.84658759920757,1.295935454958668
8.4,14.8726,0.0508,0.0582,198.9618608560189,242.21443930297954,630.1371352403341,212.79884803580643,177.07082450786103,183.7290654287803,317.57065180901736,1.4746202782422975
8.41,14.9829,0.0061,0.0332,175.30537580052493,213.41524010498688,631.9067041683015,187.41008781184175,124.06856544404951,154.30474919737438,241.17119228214804,1.2794046641199226
8.42,14.4902,0.0096,0.0382,173.5963600707825,211.3346992166048,623.9811671940976,184.85075311674018,120.96323080488436,159.50628768846317,255.8296786221884,1.2839422020850397
