Depth,qc,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.01,0.7184,0.0201,0.0,48.43999026537347,58.97042293175901,101.64248818641316,30.647361106900846,36.764957291171605,16.91608451925732,50.1086097665899,2.908382807658767
0.02,1.1028,0.0402,0.0002,60.965046123776645,74.21831702024983,128.2285701818817,43.2506284581221,58.65220781110383,23.10864374287993,65.55173745850557,2.8288763672708974
0.03,1.2873,0.0404,0.0,66.09981291240845,80.4693374585842,141.60416530760173,48.8831299825506,64.33230330447768,26.45946580554496,72.76334245843181,2.735825172398943
0.04,1.4603,0.0423,0.0,70.45071017637576,85.76608195384877,152.884750203889,53.80008906270406,70.01079618683025,29.299243786708505,78.79924427515746,2.6714020070770177
0.05,1.6948,0.0427,-0.0006,74.49398243868185,90.68832644709096,165.4449338734848,58.018214712234666,73.45858723989669,31.87498986911159,83.5699739572639,2.583078807332131
0.06,1.8678,0.0428,-0.0006,77.53747947636674,94.39345327557692,174.83098399516794,61.476579670884746,76.36647651080565,34.01146013412743,87.60473020573671,2.524390612245598
0.07,1.9601,0.0435,-0.0006,79.8262816848708,97.17982118158186,180.82092747600015,64.46806487691268,79.70435734464539,35.79626804004002,91.31371707869498,2.499390431350334
0.08,2.0101,0.0438,-0.0006,81.56774340835747,99.2998615406091,184.99883751789497,66.96398269164011,82.5450591036105,37.30633056508672,94.55336018975474,2.4859240381884846
0.09,1.9755,0.0438,-0.0004,82.52388481717654,100.4638597774323,185.93262692447578,68.85860903404878,85.18305770201289,38.45183629739906,97.40085175119694,2.4965772358255394
0.1,1.9216,0.0438,-0.0002,83.2130585290014,101.30285386139302,185.9085372329996,70.49767535428549,87.70591045480226,39.43734273518997,100.01162778690676,2.513528749697208
0.11,1.9172,0.0439,-0.0002,84.18960175910617,102.49168909804229,187.50674483661027,72.2261754965201,89.96457707924641,40.490547872275776,102.48120688417961,2.5156081692566636
0.12,1.9153,0.0438,-0.0001,85.07094007939732,103.56462270535326,189.05802243308338,73.79288960361923,91.87032059475732,41.4681500209471,104.7304084783255,2.5156423933881396
0.13,1.9175,0.0442,0.0,86.01580902031156,104.7148979377706,190.6464209291265,75.42699616304314,94.15320613733205,42.44025815564396,107.00019282199752,2.517471695545885
