Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.02,1.061,0.0003,0.0467,48.5977230151094,59.16244540969841,126.7717929408395,27.947193327030607,18.828320135839988,15.30411573187693,34.668607750736584,2.2349824207274986
0.04,2.063,0.0009,0.0029,60.04531907656853,73.09864931060517,174.47476895862653,38.04649170417806,25.045034709628435,22.37074862194107,47.891644903225234,1.930150653646317
0.06,2.307,0.0021,-0.0034,64.57891668234174,78.61781161328561,189.50278634494083,43.31147259653255,28.622630347527107,27.300268959677126,59.29349938075179,1.8853507753311833
0.08,2.319,0.0088,-0.0033,71.99560670833664,87.64682555797505,195.36507305609607,51.79266570089435,40.91515042786038,33.332831657950045,76.82940945803854,2.037971912146009
0.1,2.223,0.0088,-0.0033,73.57777182373123,89.57293961149888,196.52823985240062,54.686455777616224,43.49111207177058,35.25081541237275,81.26618169100387,2.0621879766910416
0.12,2.171,0.0149,-0.0057,78.34001482961075,95.37045283604789,198.28926838796116,61.10939816463687,54.8333787812881,38.60856714819878,91.11672640592958,2.177322344200127
0.14,2.115,0.0149,-0.0057,79.54597967369175,96.83858395058125,199.3375628574827,63.50362284002134,57.25378954615956,40.14769079895497,94.72217464347435,2.192872106255352
0.16,2.087,0.0193,-0.0048,82.6213119380048,100.58246670713628,200.97057539805127,68.1595021936727,65.7838848612598,42.48891758723676,101.31856434066262,2.2577914681601783
0.18,2.109,0.0193,-0.0048,83.97471711134772,102.23009039642331,204.14420208218968,70.44622782694816,67.85809651036314,43.969534068304974,104.3913024301551,2.2516084397482747
0.2,2.152,0.0138,-0.0056,82.80984903134066,100.81199012511037,207.8761683408441,69.32146625743482,61.16948515603722,44.161458929342636,102.65205744619979,2.166882023191219
0.22,2.152,0.0138,-0.0058,83.79726380480231,102.01406028410717,209.84541939890119,71.06198600101936,62.70723166335716,45.34721070690831,105.15744066883923,2.166982374707439
0.24,2.271,0.0131,-0.0058,84.99042207434904,103.46660078616405,216.06003835213673,72.69489139100354,62.770115403090415,46.61710859184832,106.81554846275785,2.124813320226588
0.26,2.271,0.0133,-0.0043,85.95524394055214,104.64116653632435,217.78994370060366,74.35743262041983,64.43188779144508,47.726036305005316,109.21561422319894,2.1278691756480868
0.28,2.462,0.0127,-0.0042,87.392907435116,106.39136557318471,226.27023056193119,76.14390172326081,64.3728393106922,49.10084244377825,110.68295684975193,2.0714339468871645
0.3,2.788,0.012,-0.0034,89.18636596763534,108.57470639538215,238.91296934049112,78.24954599228329,63.96274342818089,50.716787190943485,111.90774932064502,1.988209700419162
0.32,3.029,0.013,-0.0034,91.4885833049017,111.37740576248902,248.18313964289516,81.21732615838155,66.61568126824014,52.6034115152993,115.01035668633787,1.9551907471423948
0.34,3.242,0.0181,-0.0033,95.8647111198849,116.70486571116425,256.2456832700087,86.83396946678987,75.98555210096195,55.52816951188302,121.98379837024176,1.9818574990909703
0.36,3.378,0.0181,-0.0033,97.03064724160751,118.12426620717437,261.77783236988296,88.60712567818621,76.962852295957,56.75239957335702,123.7982724134034,1.957595116094949
0.38,3.554,0.0238,-0.0037,101.05460445410755,123.02299672673963,268.33754207009866,93.9777244698882,86.6728661586755,59.36860704669083,130.09940750191518,1.9876006267247535
0.4,3.661,0.0238,-0.0037,102.06181496348893,124.24916604250826,272.77769230146697,95.61579131429916,87.69101899098432,60.47902052031146,131.82766983523769,1.9698921544559806
0.42,3.922,0.0306,-0.0042,106.38403173974427,129.51099516142781,281.4034356325488,101.42188549370346,98.27757677846768,63.22096156593757,137.96774544937128,1.987748668925752
0.44,4.085,0.0306,-0.0042,107.5096498032932,130.88131280400913,287.1351872926817,103.19858596416307,99.20854247673601,64.42051645916646,139.64323115804822,1.9632046889069865
0.46,4.394,0.0361,-0.0052,111.09396496589791,135.24482691500617,296.5443450644032,108.1117061936061,107.38955662003382,66.82045761517959,144.36788280150316,1.959964009346765
0.48,4.394,0.0361,-0.0052,111.68434087779453,135.96354541644553,297.79644149015877,109.36536805618498,108.63658136654068,67.61574419266687,145.9307750678494,1.9600128812524977
0.5,4.364,0.0375,-0.0052,112.66790019523005,137.1609219768018,298.2207191175721,111.16699008131309,111.81191730169887,68.5361149456461,148.16935092457885,1.9738435895986994
0.52,4.364,0.0407,-0.0055,114.3186408375815,139.170519280534,299.37934384674844,113.86046353074919,117.33213004568945,69.7600031189431,151.24848098063217,1.9949212598287607
0.54,4.23,0.0422,-0.0058,114.92457390656804,139.90817692973502,296.93873459839415,115.30282443398303,120.87615046528492,70.39101614015472,153.3843018728351,2.023415377423589
