Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.05,1.8783,0.004,-0.0001,62.586486128471584,76.19224398248716,172.0750206641364,41.77343076496735,29.810183000007363,26.57814200649928,61.4741915571844,2.041036162359727
0.06,2.0178,0.008,-0.0007,67.61190510902037,82.31014535011175,180.06622341243482,47.17195525940121,37.37987564501859,29.92283849175716,70.48388243616911,2.1008715600640397
0.07,2.1496,0.016,-0.0009,73.6313015295495,89.63810620988636,187.3073369765927,53.99891249445433,49.391327510960274,33.385396523848,80.23513799992722,2.197916994789767
0.08,2.2659,0.0321,-0.0015,80.63887569342609,98.16906606156219,193.65524195394832,62.62306640893453,68.54534170726635,36.98890062886715,90.8899695242517,2.3308602610994598
0.09,2.2659,0.0641,-0.0015,87.83999303611667,106.93564369614204,195.92657963264503,73.01174319669144,99.31183891419971,40.4781936314213,102.44798847095159,2.51937930553714
0.1,2.3744,0.0685,-0.0019,90.34455603047138,109.98467690666082,201.54794895506586,76.5694025863645,105.46035907382665,42.19489394882558,106.16433126250706,2.5099626610826244
0.11,2.4519,0.0685,-0.0019,91.9240336020171,111.907519167673,205.97075762554843,78.94327622227337,108.01027721324621,43.52870064630896,108.78128868905289,2.490292080336172
0.12,2.4907,0.0687,-0.0026,93.19894908485077,113.45959019025311,208.99814844500037,81.07259850331425,110.67430533454845,44.70621508145108,111.25761990371993,2.4815805502389736
0.13,2.5372,0.07,-0.0029,94.61449314161699,115.18286121588157,212.1530656076463,83.35156185071335,114.06732773959781,45.905454273738926,113.82624089708696,2.4757380895483854
0.14,2.5372,0.07,-0.0028,95.48963013137245,116.24824537732299,213.71593417743804,85.06865267236839,116.41872711211136,46.86100856359806,115.98053785448427,2.4757774108894646
0.15,2.5953,0.0701,-0.0027,96.69416092915905,117.71463069636754,217.0508621281811,86.93086768895523,118.4682808470742,47.930151102128825,118.06445706061194,2.462327741734084
0.16,2.5798,0.0701,-0.0024,97.37511659898713,118.54362020746261,217.9446571059718,88.40963556949251,120.63448624210127,48.75578611770459,120.00274765840204,2.4660357887092443
0.17,2.5682,0.0701,-0.0024,98.03718914579423,119.34962156879298,218.8794572378637,89.824673608271,122.68171991201751,49.5522948095887,121.85347764762817,2.4688473105101485
0.18,2.5178,0.0692,-0.0024,98.27034567242018,119.63346429685934,218.46094560018304,90.79620091286196,123.98232346455768,50.148672627057614,123.40280984808551,2.4773025670060003
0.19,2.5178,0.0655,-0.0023,98.35298611707921,119.73407005557469,219.6340933766313,91.19053825912127,122.25733993976559,50.67647625618619,124.21193934107296,2.4614172805473946
0.2,2.4984,0.0655,-0.0017,98.8546017459865,120.34473256033141,220.1048520853693,92.36222344654324,124.02737394635466,51.34705190050396,125.82716506733951,2.4661820506154943
0.21,2.4597,0.0635,-0.002,98.86812602905768,120.36119690493979,219.85333566670428,92.87032777509413,123.83425910713288,51.797885880037214,126.86281653074448,2.46689524099243
0.22,2.4597,0.0635,-0.0019,99.44189208911544,121.05969471718403,220.86888746798962,94.01597604982966,125.36357930104391,52.47211573556797,128.36475782284282,2.4669354863453785
0.23,2.3628,0.0603,-0.0017,98.77724533166196,120.25055953419717,218.46387532017243,93.80527729337462,123.99350887972936,52.59179342580905,128.90848608120896,2.4768377738927767
0.24,2.3202,0.0564,-0.0013,98.30698476447033,119.67806840892041,217.86947399210018,93.52476212775457,121.40239181202777,52.78473853702806,129.15890998537333,2.4690405919426586
0.25,2.3202,0.0564,-0.0013,98.80760282755388,120.28751648571777,218.75174837404074,94.52128658393376,122.69791783368417,53.38717884210696,130.49977090051496,2.469088094222956
0.26,2.2039,0.0503,-0.0017,97.27440145717009,118.42101046959839,215.3274602583977,93.01842631348832,117.60553193539,53.06769054128499,129.80501462688005,2.4686209716836065
0.27,2.1419,0.0478,-0.0019,96.75715841548217,117.79132328841308,213.78844105373938,92.78519441350423,116.09843261309234,53.18198563053294,130.15723926685533,2.4720588892537045
0.28,2.1419,0.0436,-0.002,96.29332527342723,117.22665685460707,214.55878612977568,92.16585621216937,112.02790599563114,53.31387112266751,129.79916389583084,2.4469484050698265
0.29,1.9558,0.0404,-0.0019,94.52072757208076,115.06871182688093,207.9574360453967,90.83503838318724,109.83923602861667,52.80132724463181,129.57816552176357,2.4820096748477916
0.3,1.9558,0.0369,-0.0018,94.0778040571062,114.52950059125973,208.65738175258613,90.21894937435749,106.09886286971785,52.90192065884076,129.16375474693297,2.457893067274913
0.31,1.8667,0.0369,-0.0013,93.71924560857242,114.09299465391426,205.6437528021392,90.47771819343608,107.41425913366908,53.02910461883806,130.19480127768352,2.486397004685412
0.32,1.8085,0.0344,-0.0012,92.95016219856339,113.15671919825108,203.81064087138955,89.80688078273322,105.04256674983735,52.946558154574774,130.02278211347465,2.487301879170925
0.33,1.8085,0.0344,-0.0011,93.30768240433791,113.59196118788964,204.4333388582197,90.49751841952211,105.85217927219315,53.401433450163616,131.03898990384155,2.487353512166576
0.34,1.7194,0.03,-0.0003,91.6501810693362,111.57413347571364,201.1258812942541,88.62386180614602,100.5266037380291,52.85235007220255,129.65565806249717,2.4827126255817062
0.35,1.6922,0.0287,-0.0007,91.3506060553771,111.20943345871994,200.47531688019092,88.45636359383886,99.35774592834285,52.96268331919554,129.8446797945501,2.4812132525653543
0.36,1.6612,0.0281,0.0008,91.20512470610889,111.03232572917605,199.6339741080179,88.57879468774908,99.24654893516164,53.14388499476819,130.39688953005725,2.487057236833381
0.37,1.6457,0.0278,0.0002,91.27810455092754,111.12117075765093,199.4551759336307,88.92453503279897,99.5117790025336,53.43036201277585,131.11174875981612,2.4901508359030684
0.38,1.6225,0.0277,-0.0002,91.32729088031917,111.18104976734507,198.89707473497006,89.30745683486072,100.12134678602858,53.701953141554,131.92367536409012,2.497970112446723
0.39,1.6225,0.0285,-0.0003,91.86528322344411,111.8359969676711,199.40827232750178,90.29086550922207,102.07199494505845,54.219125021119645,133.28592785149715,2.505259469051232
0.4,1.5837,0.0293,-0.0003,92.00369635148927,112.00449990616086,198.06879534881946,91.00555235963937,104.2265915781138,54.537272341631535,134.60193506675242,2.527130380021531
0.41,1.5837,0.0293,-0.0002,92.28822392081707,112.35088129490775,198.5545383035519,91.56055308604634,104.86422017589145,54.9129338705233,135.44545653952832,2.527188355421766
0.42,1.5295,0.0314,-0.0002,92.58918057360349,112.71726330699555,196.3986938474475,92.77873293896482,109.23234793766004,55.32245087774231,137.4701309267899,2.566347173039858
