Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.03,0.28,7e-05,0.00151,37.19547884380669,45.2814525055038,79.09910392197843,22.889155645658054,15.454586464750422,12.531164342232806,31.480610608258598,2.8185654717513344
0.04,0.55,0.0001,0.00085,45.97006715748608,55.963560017809144,105.29726944062108,21.54776828055017,15.011606851296342,15.410003163914771,35.641799035019716,2.553025524888628
0.05,1.36,0.00017,0.00038,59.34005255828247,72.24006398399605,152.11166369599633,28.912250963036357,21.433444495764718,19.520383584237656,40.67670016521888,2.21415141239043
0.06,1.82,0.00024,9e-05,64.51419954452246,78.53902553246213,173.11282239183146,32.29185498279951,23.908760750854924,22.03696000949457,44.64614973316741,2.0866895156434864
0.07,2.29,0.0005,-0.00028,67.08398452323091,81.66745941958546,191.8938938533584,34.1083875539792,23.6698812661659,25.2688744705597,51.156219559566686,1.9308699323368412
0.08,2.43,0.00386,0.00047,68.84946012442413,83.81673406451634,198.9103011712107,35.89247149672283,24.800267170716236,31.339415264678998,69.04804047034895,1.9013621991057326
0.09,2.53,0.00843,-0.00075,73.69650137994802,89.71747994080629,204.35984449584888,40.10046852177667,30.99745781969305,34.7528386781653,78.76327879443983,1.9812531178890045
0.1,2.61,0.00726,-0.00056,74.17099667188158,90.2951263831602,208.97431333059632,41.0538857060348,30.752961353854975,35.50355124688287,79.35323855990902,1.9405103435057771
0.11,2.78,0.00746,-0.00056,75.82258044578226,92.30575010790885,216.10243292333206,42.80879329729417,31.930616745171587,36.8726849580555,81.61577028273126,1.9094384532277864
0.12,2.84,0.00837,-0.00056,77.50058881344289,94.34854290332179,219.75732443965512,44.62608544067555,33.86010503329092,38.255533544961246,84.70352338529904,1.9150266121814723
0.13,2.88,0.00998,-0.00038,79.48956913698224,96.76991025371751,222.6933746446508,46.71162532205312,36.55971057661678,39.77172502506983,88.44512464526316,1.935896676523267
0.14,2.9,0.01129,-0.00056,81.11323369903354,98.74654537273649,224.92599779006784,48.53408473326201,38.90243684370774,41.05823969864316,91.58030932235046,1.9536001328961616
0.15,2.91,0.01236,-0.00056,82.48267656961359,100.41369321518177,226.76557391922117,50.15856639089863,40.96003396567064,42.18997970926049,94.29877548839946,1.9682797435343065
0.16,2.92,0.01169,-0.00075,82.7849401875575,100.78166631528738,228.51723330058593,50.86063205620072,41.01978703178705,42.776664073870094,95.16162084555101,1.9560273464534792
0.17,2.95,0.0126,-0.00019,84.0605050911107,102.33452793700432,230.79567632843813,52.352817044888106,42.832418247185025,43.83971767922926,97.58615042395182,1.9640232602834438
0.18,2.98,0.01408,-0.00075,85.6083236766155,104.21882882370583,233.00089663504173,54.08870579076576,45.277833626033654,45.019922371419135,100.45492752889447,1.9795383483493048
0.19,3.03,0.01351,-0.00047,86.04466301508137,104.75002454009906,235.74684867820613,54.82865725614934,45.34444897025682,45.65448588414915,101.30532805921648,1.9618185377740545
0.2,3.15,0.01425,-0.00019,87.43060377917428,106.43725677464695,240.49051483292197,56.34550568538745,46.84443924154739,46.77647761927551,103.37220371554618,1.9495297573021613
0.21,3.19,0.01435,-0.00047,88.15355805513738,107.31737502364552,242.82098402102528,57.326550993624316,47.63193893405858,47.52907399945839,104.76109644593993,1.9435695072080268
0.22,3.37,0.01535,-0.00056,89.80722415505168,109.33053375397596,249.11065643235668,59.05315951620146,49.35075011656708,48.801933581726026,106.97720436713227,1.9247706289347128
0.23,3.5,0.01428,-0.00066,90.09333244227217,109.67883949494004,253.85290874162916,59.60407423315122,48.69178339365935,49.38174142045123,107.20564853756274,1.8886439001488176
0.24,3.98,0.01361,-0.00056,91.44301121854424,111.32192670083647,267.7533604355854,61.056596709975,48.316769571604816,50.700230639134276,107.79382690918125,1.8052689323816615
0.25,4.29,0.01512,-0.00066,93.52482535501917,113.85630912784943,276.651477562213,63.204809563181726,50.51506685670445,52.29037954900725,110.4741056566989,1.7813254922795436
0.26,4.99,0.01582,0.0,95.71707418581431,116.52513379142613,294.2389229534104,65.61368991878554,51.63284754698445,54.23017802007162,112.35975893801802,1.7022525654008476
0.27,5.37,0.01542,0.00066,96.50375129405597,117.48282766232902,303.7404416187994,66.82594637683593,51.68102801211179,55.266791137399146,113.12212793914894,1.6553265235171593
0.28,6.1,0.0217,0.00047,101.44593044813641,123.49939358903562,320.04463461210827,71.64352884348968,58.45266618921192,58.498052763368506,119.46534552248366,1.6464404914554214
0.29,6.34,0.02315,0.00132,102.91474023791773,125.28750985485637,325.9310671766526,73.41687655443384,60.40812512842458,59.72044733969707,121.58319137786782,1.637026105332103
0.3,6.38,0.02587,-0.00358,104.75177997925246,127.52390606169865,327.7941785399716,75.3900756188694,63.67156283456578,60.89951208173286,124.42012737313489,1.6570092638340255
0.31,6.49,0.026,-0.00141,105.36441152677122,128.26971838041715,331.02319444621554,76.39196614882395,64.39534498971908,61.63429009252527,125.55424763376445,1.6479242872846238
0.32,6.55,0.02994,0.00216,107.6900250867876,131.1009001056545,333.2485882148504,78.81437550829402,68.76888916841854,62.99660762172352,128.91861140142257,1.673814727074173
0.33,6.48,0.03679,-0.00132,110.87867541101657,134.9827352829767,332.8826235073602,82.00175249069365,75.84683415665259,64.53377514463796,133.44254299528953,1.729126641461088
0.34,6.44,0.04069,-0.00122,112.70348273205164,137.20423984771506,333.07948204353926,84.07228437563091,80.13761280444659,65.55955621768094,136.22069022960682,1.7579298916541606
0.35,6.29,0.04354,-9e-05,113.89583894864113,138.65580393747615,331.0473841139133,85.57415009411434,83.59939207393988,66.23723141896524,138.41223473900425,1.7894840731575654
0.36,6.15,0.046,-0.00188,114.8958155132983,139.8731667118414,329.12240731304934,86.92408526384949,86.7182183640162,66.84621707335832,140.37846269454693,1.8174895848975927
0.37,5.87,0.0464,-0.00179,114.92465339960266,139.90827370386413,324.19398992000646,87.35730579920526,88.2037931726394,66.95496406127579,141.46534108108446,1.848155325148912
0.38,5.78,0.047,-0.00198,115.32826931992871,140.3996322155654,323.13722871368736,88.14352554028491,89.6252676143055,67.3750955045967,142.64481591650235,1.8609767660988117
0.39,5.52,0.04754,-0.00207,115.34625361255337,140.4215261370215,318.32227727707334,88.58025084773271,91.22965871320557,67.47904423704875,143.74976494673408,1.8920822677963471
0.4,5.42,0.04858,-0.00122,115.81383128055164,140.99075112414982,316.90387537722717,89.43558014536302,93.06820500913759,67.89884257589756,145.06144667454834,1.908994550598882
0.41,5.17,0.05023,-0.00235,116.07942514499534,141.31408278521172,311.99473054470093,90.16292642648101,95.71458643107836,68.09172196842465,146.55448522526717,1.9468329481231654
0.42,5.05,0.0511,-0.00151,116.37897840541295,141.67875631963318,309.9505540603651,90.87429675719338,97.45219588960002,68.41542338318972,147.75456208984315,1.9658238483342514
