Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.06,2.2147,0.0391,0.0036,79.09204637693117,96.285969502351,186.6396208324059,61.970274642294385,72.29374129869079,34.5955219987348,86.69026499773865,2.3956642865695597
0.08,3.0572,0.0429,0.0011,86.98196820952845,105.89109173333898,217.15410365952928,70.22988377935408,78.97752705306583,39.56010441244204,94.59155536208442,2.2242312885457296
0.1,3.6121,0.0468,-0.0008,92.43596076012987,112.530734838419,236.58769315065464,76.88095768818656,85.86376497487775,43.427580599795064,101.34892314345748,2.1460346182872785
0.12,3.8821,0.0494,0.0048,96.07534961871465,116.96129518800045,247.68055542251074,81.9576468881296,91.72502552248596,46.369792620532216,106.93902193806689,2.1163402295599223
0.14,4.2568,0.0516,0.0003,99.6094903951895,121.26372743762201,260.45022581571874,86.78339004866905,96.6416479700021,49.224275139015816,111.89993278670795,2.072268438046126
0.16,4.8491,0.054,-0.0005,103.46462407609286,125.95693365785219,277.3745440927837,91.85144558843373,101.04071618218919,52.25009260118143,116.54326805971796,2.005176447605268
0.18,5.4809,0.0542,0.0002,106.4860792008439,129.63522685320126,294.0758022126809,96.04270857090093,103.15997085846577,54.96676662439938,120.23505609876278,1.9313284911768485
0.2,6.0132,0.0524,-0.0004,108.4286820801112,132.00013470622235,307.86409703091016,99.12246641854638,103.37724126045217,57.20050618935993,123.02653528222852,1.8655948203477946
0.22,6.3852,0.0499,-0.0003,109.61738777497088,133.44725468257323,317.99228602761633,101.40318134893654,102.90830030256635,59.0063569686479,125.28643623268336,1.8158886948902246
0.24,6.8635,0.0477,0.0004,110.80933832550157,134.89832491800192,329.7226333514106,103.73929913273743,102.33886954600227,60.85498301423343,127.39460206390754,1.7599723164371224
0.26,7.3328,0.0456,-0.001,111.78251969292488,136.0830674522564,340.83900597831246,105.87967901953775,101.69308348013092,62.585446167059004,129.30533352054803,1.7081181009542974
0.28,7.7027,0.0484,-0.0016,114.14184023370426,138.95528376277042,349.8606856957681,109.56977295820654,106.07868450773795,64.66160948280277,132.82560185004044,1.6937011423901407
