Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.03,0.1059,0.0003,0.0003,29.132220640543228,35.46531208413958,54.547880969760925,18.896283694535146,13.428167632270185,12.292596158118497,37.76429887454506,3.2859536175605886
0.04,0.0692,0.0006,0.0002,27.70308064815386,33.72548948470905,47.704450314181585,19.926461345272312,16.320310284276108,13.26637691421623,44.30547335397188,3.595454159676881
0.05,0.0509,0.0013,0.0001,27.149324146142753,33.051351134434654,43.36800971154482,21.81221925827913,21.635125934696084,14.39978948690066,51.71797523926869,3.8973340133934005
0.06,0.0417,0.0014,0.0001,26.464087813221184,32.21715038131275,40.921153949623545,22.40339866950195,23.363843525633648,14.810580789438605,54.60314695339503,4.030070884930909
0.07,0.0371,0.0013,-0.0001,26.086114356236898,31.757008781505792,39.721341505494905,22.70043739328279,23.787879472898062,15.107834524078266,56.18178873007983,4.088158653247355
0.08,0.0366,0.0012,-0.0002,26.348916169294125,32.0769414234885,40.033789357104666,23.192159165275648,23.96043945911928,15.54497969543086,57.504898885199026,4.0838294759845475
0.09,0.0365,0.0007,-0.0002,26.165397943640357,31.853527931388264,40.46098271311498,22.473788861642237,20.839228871480973,15.353611612920181,55.23404159978875,3.993001927773488
0.1,0.0403,0.0002,-0.0002,26.141602281726247,31.824559299492822,42.46326401211781,21.01104975235809,15.775782177468372,14.4533073910175,48.23618056265645,3.7670134829313238
0.11,0.0441,0.0002,-0.0001,27.09982974934096,32.99109708615421,44.375706197988784,21.843810848587104,16.242305978231986,15.035214765215756,49.44641957842389,3.7193451601573955
0.12,0.0441,0.0001,0.0001,27.004214267781563,32.87469563034277,44.774350829135216,21.47531799553396,14.894845971049763,14.542174988983655,46.191435192948965,3.6600190954796408
0.13,0.048,0.0002,0.0,28.31138529228568,34.46603426886953,46.60772414610832,23.091202743613987,17.02271766560321,15.94330310638305,51.61340466461509,3.676281027196816
0.14,0.0518,0.0003,0.0,29.475114645045746,35.882748263533955,48.337478961910485,24.499765280516666,18.850458883656913,17.017899965955973,55.46792910160379,3.680307011932902
0.15,0.0634,0.0005,0.0,31.819257580068108,38.736487488778565,52.574419177760575,26.824386997856337,21.669413885142248,18.633161858730688,60.41049648769589,3.6328010343268757
0.16,0.075,0.001,0.0,34.34194930604706,41.807590459535554,56.418902435600366,29.8443711136733,26.499400050187724,20.586001501497,67.2786958485442,3.640471350250481
0.17,0.0866,0.002,0.0002,36.973935215618205,45.011747219013465,59.973916586209874,33.39024508184389,33.31445137264463,22.639701123436403,74.84018706421541,3.677983031584347
0.18,0.081,0.002,0.0005,36.641220724122086,44.60670349023558,58.809984936380225,33.55842441178833,33.87903983719334,22.78195091365884,75.8927670999957,3.7184900782502943
0.19,0.0785,0.0052,0.0001,38.38267626069603,46.72673631736908,58.40100450221334,38.42389137162528,49.131417351129066,24.923029536402407,87.09372918172883,3.9387378883586974
0.2,0.0787,0.0079,0.0001,39.53693595621254,48.13192203365005,58.75539049993997,41.42431554402178,59.279536318676385,26.18349232796972,93.16270270815944,4.036074243179269
0.21,0.0789,0.0133,0.0002,40.980625660918804,49.889457326335936,59.10256915894518,45.56354486686061,75.70110070652562,27.72385135196751,100.93001089331077,4.165182673669412
0.22,0.1329,0.0147,0.0002,47.309104341964954,57.59369224239212,72.45646959843145,49.89787911869458,76.73033337334867,30.527150256572043,103.86232304101816,3.8657167289593586
0.23,0.2449,0.0161,0.0007,55.49033251135205,67.55344827468946,91.92596478209396,55.09629072298775,76.88864085160938,34.006277479496966,106.768410879423,3.5118629040525846
0.24,0.3105,0.0168,0.0007,59.12214495695765,71.97478516499193,101.07013481395899,57.71898707752806,77.76778202882723,35.733379327456504,108.71379640819555,3.3774838374295495
0.25,0.3298,0.0169,0.0035,60.29891427430619,73.40737389915537,103.90712835128878,58.85469619744151,78.46379183043466,36.4743730545932,109.9762492695343,3.3413872541288945
0.26,0.3298,0.017,0.0039,60.62544510418945,73.80488969205673,104.32053180902919,59.549190032814764,79.52951128485974,36.8923030956422,111.1581799008213,3.343023151059076
0.27,0.3163,0.017,0.0036,60.33476542552826,73.45101877890397,103.04920114137023,59.86964225885853,80.63972764912434,37.05770276344947,112.18993116071184,3.3689892083930753
0.28,0.3095,0.0187,0.0045,60.713189247337716,73.91170864893287,102.58929340571679,61.249565371457514,85.20239923893158,37.61367287116478,114.62016650913635,3.406473103857295
0.29,0.3379,0.0205,0.0054,62.62516561413402,76.23933205198924,106.46842280524301,63.42584054432429,89.07158384934753,38.760157802731776,117.10824791344199,3.376238358654223
0.3,0.3664,0.0245,0.0054,64.87618222508803,78.97970010010717,110.17251220578888,66.56320838486945,97.02957059482182,40.17611178895161,120.9584726312734,3.373341706485374
0.31,0.4299,0.0316,0.0054,68.812798202624,83.77210215971617,117.47081738712485,71.44547154254194,109.03897748838442,42.37359524330508,126.21777027271573,3.343420423980537
0.32,0.5629,0.0393,0.0054,74.60655305027419,90.82536893076858,130.59304531727446,77.22085344671225,119.4601236462284,45.2528773455325,131.1556254148224,3.2375425527528536
0.33,0.8317,0.0398,0.0048,81.52000462745916,99.24174476386334,152.01461037541443,81.62105639057484,116.99432024697934,48.331491578594544,132.78112231970312,3.001287232731123
0.34,2.2408,0.0392,0.0054,98.32195176953194,119.69628911073454,222.5818211867098,91.94113338791513,107.13077238117022,56.13965653945659,134.50675427499948,2.3904305771325665
0.35,4.1403,0.0386,0.0012,107.47759963526111,130.84229520814395,282.1768467154574,99.26382247861704,101.73698775586226,61.745891629438326,135.84115190258703,2.012602944514949
0.36,5.0592,0.0372,0.0,109.78845132324645,133.6555059587348,305.475627725216,101.8474056237469,99.22429727010051,63.857625912657895,136.35939822886886,1.8816227960371532
0.37,5.0862,0.0359,-0.0006,109.74704208715883,133.60509471480208,306.926153102255,102.15844697484893,98.41126606365695,64.20537634393911,136.6798146929322,1.8695542910694776
0.38,5.0051,0.0359,-0.0007,109.93399604404496,133.83269083622866,305.8533162674607,102.76425174098773,99.31005610387889,64.5336069147117,137.58875411791448,1.8793085074453588
0.39,4.3913,0.0338,-0.0006,107.99526557405916,131.47249722059377,291.6923293924477,101.0008169990856,98.44554193131974,63.469821570400015,137.28195682909362,1.9435719250885772
0.4,4.3835,0.0316,-0.0005,107.47626288808024,130.84066786374987,292.22631536108094,100.65830629286098,96.29753939048025,63.54578572970995,136.9587329136382,1.9281694386563073
0.41,4.3758,0.0289,-0.0003,106.69403669912872,129.88839250328715,292.7458480496349,99.97988454764267,93.34730626565165,63.49485429535271,136.22430973237718,1.907821251598218
0.42,4.2832,0.0278,0.0001,106.30281577527188,129.4121235525049,291.0591650356096,99.82449638550139,92.60536230890919,63.520145870689284,136.34610475068976,1.9115488078944363
0.43,4.1905,0.028,-0.0002,106.44520029374044,129.58546122716228,289.30822301189045,100.33081477531299,93.65035236655885,63.77382297916426,137.26587600413845,1.9264225819756153
0.44,4.4144,0.0282,-0.0001,107.43874547551691,130.79499449193364,295.79132729619863,101.72190077982376,94.18517688845732,64.70381166048907,138.24763707713274,1.8968213406786307
0.45,4.1828,0.0316,0.0,108.49613367344527,132.08224968941164,290.41017139051934,103.48441411845766,99.91616544377783,65.21930882993519,141.05247100303853,1.9565872482052717
0.46,4.0091,0.035,0.0002,109.52599958187173,133.3359994909743,286.36626934527084,105.28593733168555,105.54454806986948,65.77500653838995,143.6907724867846,2.0075969278659107
0.47,4.0515,0.0339,0.0007,109.5573656487344,133.3741842680245,288.1348160541552,105.52059959156787,104.59220035782572,66.09434208452784,143.8874219914358,1.9932404469034917
0.48,3.8788,0.0356,0.0005,109.88165463771418,133.76897086330422,283.97015586494996,106.43299622937502,107.93063105076017,66.3354470889226,145.53205063605293,2.031979845359713
0.49,3.8578,0.0373,0.0004,110.67636037514214,134.73643871756434,283.96041436406983,107.79172459926401,110.93550036033325,66.9232593802358,147.17716247961636,2.047177789709373
0.5,3.8535,0.0435,0.0005,112.91698767554375,137.46415890935762,284.4082705140518,111.18067633472907,119.8574359424712,68.15367279037746,150.91697779365128,2.0879292348496667
0.51,3.8912,0.0411,0.0005,112.59554691686556,137.07283972487983,286.0281435436294,110.87395197801037,117.25634966166369,68.30354349122697,150.57090651923673,2.0670818722291404
0.52,3.9289,0.0463,0.001,114.5818089548779,139.49089785811225,287.63863458859953,113.86119620061476,124.63312471973093,69.45203816247479,153.68508986329314,2.0927636661780395
0.53,4.1094,0.0515,0.0005,116.97889114142657,142.40908486782365,293.1661702827635,117.18618796765719,131.39955668232258,70.89744865427724,156.6312632119734,2.0941639191048194
0.54,4.7851,0.0515,0.0007,119.45734659720723,145.42633498790445,311.2958382232354,119.86530029185035,130.2867687118117,72.84631624225399,157.5511254848217,2.001039679278185
0.55,5.5649,0.0713,0.0008,127.00794194757101,154.61836411008645,330.37600950682884,129.8584164972727,151.99453535396592,76.87602904056496,165.30635097249552,1.9996823389122307
0.56,5.3178,0.0713,0.0012,126.61971028326882,154.14573425789249,325.27501357952593,129.87628354935273,153.45306503068218,76.75840353441394,166.0058458693705,2.0275874325621417
0.57,4.731,0.0765,0.0011,126.19339322153654,153.62673957404448,311.6121034608755,130.52899461477935,161.78571103756408,76.29360851430754,168.1383310528759,2.11992891827543
0.58,4.6924,0.08,0.001,127.04443592107414,154.66279155609027,311.1733110314665,132.16344527625924,166.598633903549,76.857836981157,169.85450080032388,2.138142807327949
0.59,4.3256,0.0827,0.001,126.43271472438167,153.9180874905516,302.1584170301254,132.4378195744719,171.7301572552763,76.53468778548697,171.22523606466783,2.1980532622009124
0.6,4.287,0.0845,0.001,126.87420927820163,154.45555912128896,301.6270658014177,133.488016660792,174.70140608386424,76.93130138038141,172.42543475557494,2.2099971684479387
0.61,3.9898,0.0852,0.0011,125.95678869269913,153.33869927806853,293.94293505027696,133.26037679273313,177.5362394264986,76.54255688884338,173.24168107626573,2.256692870701036
0.62,3.511,0.0853,0.0014,123.82548162514185,150.7440645871292,280.386613252537,132.01514876550172,180.69799276271547,75.49418859526695,173.8178665404734,2.33575781869707
0.63,3.2369,0.0847,0.002,122.40085199531073,149.00973286385656,272.2493976911572,131.24531695610446,182.27024332210806,74.90441827119368,174.25799567799797,2.383714646582034
0.64,2.9705,0.0841,0.0026,120.85323540068059,147.1256778790894,263.87828186052815,130.39951098755228,183.9169072059329,74.2645202069168,174.68101509497706,2.4345056962247043
0.65,2.9705,0.0837,0.0021,121.02236870596447,147.33157929421762,264.2803952608312,130.8533785470125,184.25821357617713,74.55579496877652,175.25890054530808,2.4331410113320273
0.66,2.6462,0.0836,0.0028,118.9166474428866,144.7680925391663,253.25230672191958,129.70230046896484,187.0172270395314,73.62949501450679,175.75941357823277,2.5040325507972434
0.67,2.4686,0.0835,0.0035,117.70894944290589,143.29785149571154,246.99355409427892,129.21461812708773,188.95677969312777,73.19467722644694,176.3112634742729,2.546514215509412
0.68,2.4686,0.0827,0.0081,117.81323185349757,143.42480399556226,247.3895249543366,129.5199447940715,188.76598118943255,73.43805437236568,176.75201028201374,2.543468836271378
0.69,2.3412,0.082,0.0163,116.84728331922781,142.24886664949474,242.8478358735503,129.08239188671183,189.640812266999,73.12461056560525,177.14064479738164,2.5732347780217526
0.7,2.1791,0.0779,0.022,114.96929075466048,139.9626148317606,236.67253524391592,127.33504843760991,186.56923354048553,72.35434198601513,176.51136766952038,2.6019480933189563
0.71,2.1791,0.0762,0.0233,114.91259449871391,139.89359330278216,237.01536515542628,127.30863598430695,185.13125854883396,72.50731408822033,176.63855971851223,2.5954034122318053
0.72,2.0903,0.0713,0.0225,113.48180900774382,138.15176748768815,233.60272751608335,125.63841985306314,180.19063344417907,71.95694709969278,175.68555691696804,2.60157147692686
0.73,1.8702,0.0694,0.0246,111.1152365957717,135.27072281224383,224.22686890663797,123.93182132437856,180.25210613134868,70.92613490286698,175.53718995149606,2.662125988119606
0.74,1.7351,0.0687,0.025,109.6654834695138,133.50580596288637,218.20907234381448,123.11965111075084,181.26900626665463,70.37110647519378,175.81290813599787,2.705391986256256
0.75,1.7351,0.068,0.0248,109.73939402907946,133.5957840354011,218.49741555003212,123.33419156702756,180.9649287716689,70.57417717361751,176.17627170254292,2.7024802430998855
0.76,1.683,0.0679,0.0256,109.28454762725161,133.042057981002,216.26528105542306,123.3221896903832,182.00964887008942,70.51561624723895,176.69395319403094,2.7208490851810123
0.77,1.6782,0.0676,0.0254,109.35791210962134,133.13137126388685,216.30802365782966,123.61707694635713,182.28670564160666,70.71724214689952,177.17352376867893,2.721398038179345
0.78,1.7211,0.0648,0.0258,109.59763180584235,133.4232039375472,218.68071868723783,123.4342831528328,178.51705650770344,70.98015233957415,176.81105105573428,2.693581086798712
0.79,1.7641,0.0624,0.0262,109.86590013553428,133.7497914693461,221.02824806650682,123.34601184278137,175.2608136897219,71.26196870398984,176.54591692395294,2.6675050111912055
0.8,1.9513,0.0623,0.0322,112.05940111416875,136.42014048681415,230.0235955357739,125.14485904029462,174.02093894101478,72.5480944411473,177.20393683166552,2.6046340760120557
0.81,2.8084,0.0609,0.1658,119.22386293136923,145.14209400340602,265.48821664482335,130.3994128059186,166.58853424554022,76.57340941841343,177.71550073143194,2.368783300886467
