Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
3.5,0.12,0.004,0.011,65.0855339891248,79.23456311719542,92.42986144158142,76.4516932063757,91.88218849272914,58.269570646966955,176.46667823793797,3.8972095102833553
3.51,0.12,0.008,0.013,67.59641305842396,82.29128546242919,92.59965386705217,80.04330709109914,115.48627187021171,61.769170573203766,193.24581408698003,4.053648312913876
3.52,0.13,0.007,0.015,68.10105249909509,82.90562912933316,95.5642166151289,79.70123165851379,108.07959399836832,61.84543713046173,190.16954845006575,3.94313287374601
3.53,0.14,0.008,0.015,69.53118974519388,84.64666577675777,98.26056299028119,82.4197369739385,113.48104897136592,63.255471484680285,193.7446869221578,3.90848174784451
3.54,0.14,0.01,0.011,70.35880640501236,85.65419910175419,98.02633191504736,85.19677108410495,125.1539757583403,64.48863239528237,199.59006893597677,3.9699842814218185
3.55,0.14,0.009,0.007,69.8933227389882,85.08752333442042,97.7907486790771,83.72189413701187,119.67760779845938,63.9772945117638,197.01550327888637,3.951696641546663
3.56,0.15,0.012,0.007,71.9857082568662,87.63477526922843,100.39869444527822,88.6576559089255,134.83281985471285,66.22929120188796,204.7732589945928,3.9613351428255354
3.57,0.15,0.014,0.009,72.71884918930375,88.52729466523937,100.55285239696867,90.94716101086124,144.59262097410215,67.13443764121061,209.0665410633923,3.998366041528567
3.58,0.16,0.013,0.013,73.410458030897,89.36925325500506,103.2969956677898,90.95723065435146,138.68757536740821,67.3981351536911,207.3076291101472,3.9183516586210376
3.59,0.2,0.013,0.024,76.86688604955904,93.57707866902841,112.92626933449932,94.44503195365357,135.17117324066214,69.65297928231807,207.79682554162625,3.7247530461887695
3.6,0.35,0.014,0.032,86.40103797623722,105.18387231889749,139.50848293288826,103.5316855941774,132.37548160861525,76.02288445846978,210.82739192011852,3.331643179028935
3.61,0.57,0.017,0.03,96.44146650184229,117.40700269789497,167.51335039152227,113.72943240058615,138.24155122591588,82.94268016849863,217.15053875963852,3.0542328750819596
3.62,0.64,0.02,0.026,99.85195280055093,121.55889906154027,174.94143271980616,118.41300961709888,147.18747438860737,85.54885702195305,222.13278160920314,3.0203559486906606
3.63,0.67,0.019,0.026,100.38981753351189,122.2136909103623,178.04771650638767,118.1772306330941,143.351376447687,85.81499573512619,220.8854214735385,2.9779776162740395
3.64,0.64,0.017,0.015,98.63328964792511,120.07530913660447,174.7520888842346,115.45503930983097,137.14335705539182,84.53200779088876,217.7922878420198,2.983231600002254
3.65,0.56,0.016,0.012,95.68716052854508,116.48871716518532,166.07511151133522,112.45773156666795,135.14692028200992,82.5688572044085,216.0190437522594,3.056999825156087
3.66,0.56,0.015,0.026,95.39425671103396,116.132138604737,166.51384411375176,111.47811495904756,131.41011752041456,82.19023366517963,214.3625551515253,3.03744352383961
3.67,0.47,0.013,0.045,91.48225301664534,111.36969932461174,156.49876558386728,106.79894731280497,125.34888587504557,79.25640671948601,210.28409688052034,3.1123189610753754
3.68,0.54,0.013,0.064,94.15026415126613,114.61771287980226,165.41727291950895,108.90506850610556,123.94389428255995,80.91807009617634,210.6452174155823,3.016162748927405
3.69,0.71,0.012,0.06,98.52249755273864,119.94043180333401,183.11675391892865,111.507087586606,117.59642193619409,83.67667188283284,209.0308082431603,2.8248051741356193
3.7,0.79,0.011,0.052,99.80880424568589,121.50637038605238,190.4568781135746,111.67712279288877,112.84244842019818,84.42514132712225,206.98471758684718,2.740218380803554
3.71,0.89,0.012,0.031,102.55420865039486,124.84860183526331,198.8001635868109,114.75318872236524,115.96368268202944,86.57409777126959,209.66715516422644,2.6888561039124004
3.72,0.7,0.012,0.029,98.17711238145712,119.5199628991652,181.5365060807757,111.25705229959195,117.9405348843566,83.69411501561166,209.43748143456727,2.8411917246899154
3.73,0.56,0.012,0.036,94.22299656408697,114.70625668671458,167.1072962179052,108.13547055704899,119.90176075516607,81.10805697469326,209.23399303806386,2.9831716135898434
3.74,0.48,0.011,0.046,91.06264017251084,110.85886629696972,158.05914428732717,104.72368033953788,117.03396827407128,78.81528665990776,206.78474896202445,3.0606591423275047
3.75,0.5,0.012,0.043,92.33735661872727,112.41069501410277,160.43829838085435,106.65209082914389,121.00168299485365,79.91388410786432,209.34163229627245,3.0552769599705054
3.76,0.47,0.013,0.035,91.71639575043787,111.65474265270697,156.5627732697751,107.03151727417627,125.84365516514038,79.79201521438678,211.57699281371941,3.117815671230024
3.77,0.41,0.012,0.045,88.9705094262633,108.31192451892925,149.1335627326072,103.9673596445918,122.99933692008283,77.77743868627311,209.3159290052477,3.18629942090181
3.78,0.44,0.011,0.063,89.86801599372849,109.40454120975643,153.72646170956253,103.77980972321079,117.9019532950847,78.06445312666425,207.20860153118832,3.112455035918169
3.79,0.57,0.008,0.06,92.32877244933549,112.40024472093017,169.1539621767155,102.7450884710261,102.18985680748173,78.97360651056222,199.3198941076018,2.8763968789085825
3.8,0.53,0.011,0.057,93.10059274848665,113.33985204163594,164.5951111676594,106.37488779178352,116.3935434196137,80.30248426336517,207.77136637568267,2.993910353932635
3.81,0.5,0.014,0.057,93.68400786076961,114.05009652615432,161.11037467511207,109.44256212298221,129.3510942428351,81.30088513194828,214.43851790229442,3.088328307889688
3.82,0.56,0.015,0.06,96.26556266709046,117.19285889906665,168.1747310839645,112.27472764339326,132.05186997021977,83.17371277260294,216.69567396322606,3.030470529708325
3.83,0.65,0.014,0.071,98.62238720039534,120.06203659178564,178.10763604841748,113.34518002480452,126.74505129207954,84.55420927197238,215.1400418156056,2.9157131592689662
3.84,0.63,0.014,0.067,98.05861317368266,119.37570299404845,175.99221716415255,112.91110556929848,127.11352347320857,84.23557979495914,215.23223717949335,2.936779511256354
3.85,0.59,0.015,0.078,97.47188192194925,118.66142147019909,172.0932838276429,113.24722942022987,131.5711264171375,83.98353870548772,217.20883613675562,2.9923891919871903
3.86,0.61,0.016,0.082,98.61626442994019,120.05458278427501,174.37940850243282,114.91194291871676,134.94949397904537,84.90212270331239,219.23676343667125,2.9857368379039078
3.87,0.6,0.017,0.067,98.67352344632992,120.12428941292339,172.96109904913197,115.70047218346937,138.86889732893061,85.18880218808546,221.0890881926082,3.0152451817437007
3.88,0.57,0.02,0.053,98.82045451804942,120.30316202197321,169.35351174101302,117.89115879989949,150.0651532080039,85.771797499652,225.87156207649102,3.0930271924500823
3.89,1.67,0.016,0.027,117.44893847834034,142.98131640841433,253.56847525615524,130.3132216137264,125.5602974981029,98.36417246198272,221.30982979779307,2.365043218646596
3.9,1.83,0.013,0.002,117.00671541060875,142.44295789117587,262.2771081335992,128.16017710346546,115.3499629647065,98.03565141423725,215.70185245309204,2.2666727869077894
3.91,1.76,0.01,-0.005,113.90013156615274,138.66102973270768,258.3668685254276,123.358011975968,105.2727773083956,95.45458321905585,208.54379325737779,2.2384360887980748
3.92,1.63,0.008,-0.008,110.7290833955028,134.80062326409038,250.91732790348914,118.9266461949411,98.05660929749905,92.73909075139638,202.59700316606526,2.24325671028386
3.93,1.52,0.008,-0.01,109.56938608350974,133.38881784079447,244.3314532360984,117.79715570125774,98.29171054002848,91.875750054882,202.6228462046075,2.285261807934473
3.94,1.41,0.012,-0.012,111.70212218823757,135.98519222915877,237.43559337006158,122.67726787288687,113.75610925375048,94.06441704055207,213.60827995567408,2.4109436920170046
3.95,1.42,0.014,-0.01,113.2784346678305,137.90418133475018,238.17066901302053,125.44539552351316,120.6836643609739,95.43989747906485,218.08329436459795,2.439562324300068
3.96,1.39,0.015,-0.008,113.56884105795241,138.25771954881165,236.32406688178685,126.37089383506161,124.24351617142618,95.76058498456604,220.1541166129088,2.467957949108207
3.97,1.31,0.018,-0.004,114.21999113748576,139.05042399346092,231.15035111251558,128.85308322926974,134.49557288104828,96.46200138614945,225.47946042187056,2.546443317321359
3.98,1.08,0.02,0.013,111.51229985838566,135.75410417542602,215.07906457335483,127.9161770992513,142.85360717237168,94.70738110992139,228.40805093501262,2.6913331057631313
3.99,0.65,0.025,0.023,103.27674856589508,125.7282156454375,177.59621238722752,124.54567827897289,165.14452721299216,89.73809214590361,234.39786843678354,3.073963115881283
4.0,0.38,0.028,0.035,93.69490365682603,114.06336097352735,145.47936107479057,118.69100473969671,183.56793140059756,83.90608450341824,237.08379801930127,3.4636202173471986
4.01,0.36,0.029,0.044,93.05876275522729,113.28892857158105,142.9405598222148,118.7012394080471,187.70531833516893,83.55617533165172,238.22298376162834,3.5069481183751754
4.02,0.38,0.03,0.055,94.47830258007185,115.01706401052226,146.26350890909114,120.38691230648634,189.6955576477778,84.50503147016204,239.52183410888364,3.473737040698252
4.03,0.38,0.031,0.063,94.83583558596516,115.45232158291411,146.58291185681648,121.19151435343824,192.72207985991432,84.79387534594109,240.6962648480853,3.479332273992957
4.04,0.36,0.025,0.073,92.57064165633568,112.69469419032171,144.10752562890195,116.16626832529334,174.7043087880241,82.7043634453998,234.1116794146957,3.4541763182606737
4.05,0.35,0.018,0.081,90.12896453529814,109.72221769514557,142.9705260953532,109.76689414183805,150.38333996806827,80.20911708029323,224.41785419179197,3.3844682784697784
4.06,0.35,0.015,0.089,89.14840248245687,108.52848997864315,143.30003203509892,106.74589944436809,138.57702605434687,79.05865712576515,219.29806977644253,3.3352029705516197
4.07,0.39,0.015,0.094,91.06741371230696,110.86467756280847,149.20619150518712,108.33577107554076,137.28947285798176,80.35519265837884,219.61038975560314,3.2610034662812737
4.08,0.61,0.017,0.1,99.99432484952862,121.7322215559479,175.81594993953524,116.98405609847721,139.69441079854013,86.65549453127379,224.09211587447734,2.9995014086982312
4.09,1.11,0.017,0.101,111.36726811618989,135.57754379362248,219.5578234569341,126.04324220156904,133.35390862585746,94.52151459194043,225.22650734968445,2.6237257217910517
