Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.01,0.637,0.0047,0.0013,42.69423560592683,51.975591172432665,97.09473939987483,24.099056831239412,20.62062754833583,14.736624702093792,41.44604638802277,2.6672596146966288
0.02,0.994,0.0069,0.0009,51.91384883429354,63.199468146096486,123.24759749175787,31.973140300137658,27.56053752870798,19.66764115034378,52.08964352500486,2.480790444552245
0.03,1.289,0.0076,0.0009,57.54349259728226,70.05294750973493,141.68350577758338,37.1621232248157,31.31902472140081,23.037825271351544,58.558921751680984,2.348547525810295
0.04,1.993,0.0107,0.0134,65.64696432751884,79.9180435291534,172.26345610606012,44.244967767299684,37.30919916136624,27.33747539492614,66.05674631672782,2.159459320585794
0.05,2.392,0.0134,0.0014,70.60575934414577,85.95483746243833,188.73330331469455,49.4190789001605,42.49281414445386,30.424453904778286,72.06520443695352,2.097790144874487
0.06,3.054,0.0185,0.0106,76.87961225144075,93.59257143653657,211.0188122040961,55.86015267420943,49.66245392176862,34.051814963601565,78.84104595879266,2.0205233431536103
0.07,3.209,0.0242,-0.0002,81.00832486811701,98.61883027422941,218.2926528948812,60.860147035400324,57.46642218757595,36.60403759843338,84.92052941854985,2.051631335097332
0.08,3.334,0.0296,0.0005,84.54490881787454,102.92423682176032,224.4539968248657,65.34769476160567,64.73574265713708,38.84195646595441,90.19436180923961,2.0766659117676594
0.09,3.479,0.0342,0.0021,87.63389319791935,106.68473954529311,230.81816327729018,69.36271049445396,71.01593252848298,40.86870205125109,94.71380122647025,2.0867692188140423
0.1,3.453,0.0418,0.0013,90.70337760576649,110.42150317223748,232.566716378041,73.69519014994232,80.21959943226105,42.74405910269681,99.83787454648105,2.1432213593600986
0.11,3.251,0.0467,0.0007,92.15225526791933,112.18535423920615,229.42419250695778,76.52863755027673,87.26215775614577,43.9145800679335,103.7127678706461,2.209687242090478
0.12,3.137,0.0558,-0.0005,94.5305578000384,115.08067906091631,228.2681340680784,80.50514746599073,97.85005982148469,45.42541865724813,108.47490137927188,2.280636489021462
