Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic
0.03,0.0274,0.0008,0.0917,24.152399545814003,29.40292118620835,39.26916874309116,17.89320781948974,16.423379645920924,10.976151221192676,42.47295576455444,3.8834373312187354
0.04,0.0274,0.0016,0.0457,24.341669717198105,29.63333704702378,37.19091807831195,20.20024357260419,22.228415095039217,12.594140680692055,49.9868632663722,4.137564802914171
0.05,0.0178,0.0033,0.0228,22.680642481056093,27.611216933459595,31.545635105683225,22.100404725052407,31.83894011971472,13.372993131768052,57.92407226807154,4.590436021842545
0.06,0.0159,0.0066,0.0114,22.67106138512442,27.599552990586254,29.72361396981569,25.026257270838727,45.51384713423961,14.6611218480448,66.32283347910396,4.887306913348638
0.07,0.0152,0.0064,0.0058,22.450988327384817,27.331637963772824,29.01910926868139,25.531308986095773,47.09970134241568,15.165386834028926,68.66233979178072,4.950488628978354
0.08,0.0155,0.0062,0.003,22.72606453210534,27.66651334343259,29.244710459682132,26.190789098163044,48.11076087277506,15.741753741358105,70.7393225391204,4.957450984456522
0.09,0.0158,0.0057,0.0016,23.009549519230177,28.01162550167152,29.611612516754523,26.59807605668518,47.767331230772704,16.197257038419153,72.09695188055318,4.940936922671065
0.1,0.0158,0.0029,0.0012,22.616198383539995,27.53276324952695,29.868076692798258,24.62577893033593,36.8587611506463,15.768975461472257,67.81746588289603,4.7892401126493445
0.11,0.0274,0.0016,0.0008,25.800987772224605,31.409898157490826,37.08341520108337,24.984467160797042,29.030279055814194,16.684109406850496,64.5664720077967,4.319922102514483
0.12,0.0429,0.0009,0.0008,28.626994124614534,34.85025371692204,44.357570180261455,25.37219757450064,24.089770999442752,17.38225784078061,61.45034434409649,3.9434656199404814
0.13,0.0544,0.0002,0.0004,29.256793074773704,35.61696548233321,48.91636026347201,23.61116275410761,17.176031610165854,16.23326230110062,51.66123151998953,3.607822307958343
0.14,0.0467,0.0002,0.0004,28.392896057765952,34.56526476597595,46.48992490995937,23.40465525176479,17.30767855701831,16.210952653655227,52.57956548401328,3.691989905920773
0.15,0.0474,0.0002,0.0004,28.759036745606064,35.011001255520426,47.07491030944489,23.86159636660358,17.622748180969044,16.56032149996217,53.51130015907385,3.685480385893475
0.16,0.0482,0.0001,0.0004,28.705630919455867,34.945985467163666,47.68003648122252,23.42675734231586,16.151586475714133,15.955923729918098,49.71147611349281,3.6195524477072163
0.17,0.0506,0.0001,0.0004,29.305566279149783,35.676341557225825,48.86436783524297,23.99808025299796,16.48951122213663,16.3410627455729,50.49798469180141,3.5958262544210218
0.19,0.0969,0.0001,0.0002,35.24645759513834,42.90873098538581,63.29664453128518,28.125489542558675,18.63978083474878,18.507252404361083,52.18950916552435,3.274363782085723
0.2,0.1201,0.0001,-0.0001,37.52001802770208,45.67654368589819,69.04059140696737,29.816187010858172,19.62942435649319,19.362362865291697,52.95524267160592,3.173906563672919
0.21,0.0622,0.0001,-0.0003,31.78116908721991,38.690118888789456,53.940986990657784,26.295382644098492,17.829632354582603,17.852564151307103,53.35256281819458,3.495986707223873
0.22,0.0564,0.0001,-0.0003,31.165555222198357,37.94067592267626,52.19922622135041,26.07190215822888,17.796348257536916,17.83181374513297,53.94511944247825,3.547628239209246
0.23,0.0554,0.0002,-0.0002,31.643102968712398,38.522038396693354,52.07884028371991,27.185408147897913,19.79540768693667,19.0734413030704,59.691538087696344,3.6129221323711675
0.24,0.0544,0.0002,-0.0001,31.676840260683083,38.563109882570714,51.94276828730159,27.374573307338466,19.976458787871895,19.24989120772485,60.32961180894384,3.6242312553410914
0.25,0.0544,0.0002,0.0004,31.863233611849196,38.79002352746859,52.18789787398356,27.651219587932054,20.180124936456696,19.469593164262577,60.9559225954737,3.6246906991609213
0.26,0.039,0.0002,0.0,29.413579945975286,35.80783645596991,46.111833781168876,26.268388615971837,19.929684867866165,18.762003247460488,61.41236040708903,3.817009083154118
0.27,0.0313,0.0002,0.0,27.957142949204425,34.0347827207706,42.55457935087586,25.46159205125417,19.88346209593291,18.368801612383702,61.90072209769298,3.950777927677271
0.28,0.0293,0.0002,0.0,27.635171544672282,33.64281753264452,41.64428676425107,25.36419413785824,20.000118923084845,18.37985930874603,62.44238133215317,3.9942882992706603
0.29,0.0316,0.0001,0.0002,27.85042771508198,33.9048685227085,43.0328986217238,24.781127187477082,17.815982189541913,17.714112819159542,57.60287146948918,3.878122559902771
0.3,0.0338,0.0002,0.0006,28.95911642423289,35.25457651645743,44.33871888898058,26.46556208086961,20.4819584588666,19.125245836741893,63.60910952743801,3.9096864700334746
0.31,0.0392,0.0002,0.0006,30.19949820887852,36.764606515156466,47.06577378772572,27.39990818809733,20.813698578646473,19.716737623282,64.20938056969834,3.8228347696926015
0.32,0.0506,0.0002,0.0005,32.34438843178894,39.375777221308276,52.02952712906578,28.92701710981191,21.323178201152313,20.636340306137416,64.84960172264012,3.675884398519841
0.33,0.0506,0.0012,0.0004,34.52517349399479,42.030645992689315,52.1807985979434,34.23811535214432,33.87388269330911,24.150960974171927,82.49888102119525,3.932661047216863
0.34,0.0544,0.0023,0.0004,36.32422720141644,44.22079833215915,53.800976189516675,37.7187950520162,42.553685722080964,25.97279058587014,90.50904280563613,4.013394625326462
0.35,0.0757,0.0044,0.0,40.844384307845566,49.723598287811996,61.1815837077943,43.34670352872394,53.773882245003506,28.977780481073896,99.44046078934066,3.942421694136972
