MAPNAME,DESCR,MAINROCK,SIMPLENAME,KEYGRPNAME,TEXTCODE,FlowchartGroup
OIS6 (Middle Pleistocene) river deposits,Highly weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 6
Waioeka sandstone and mudstone (Pahau Terrane),Alternating sandstone and mudstone  thick sandstone.,greywacke,Basement (Eastern Province) sedimentary rocks,Pahau Terrane,Ktw,Group 15
Glenburn Formation sandstone (Mangapurupuru Group),Well bedded alternating sandstone  mudstone and argillite.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Kb,Group 15
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,Group 15
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
Waioeka sandstone and mudstone (Pahau Terrane),Alternating sandstone and mudstone  thick sandstone.,greywacke,Basement (Eastern Province) sedimentary rocks,Pahau Terrane,Ktw,Group 15
OIS1 (Holocene) river deposits,Loose gravel sand silt and clay in modern flood plains and low terraces.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
Late Miocene Mangaoranga Formation and Kaiparoro Formation conglomerate (Tolaga Group),Alluvial conglomerate with shallow marine sandstone  mudstone and bioclastic limestone.,conglomerate,Neogene sedimentary rocks,Tolaga Group,Ms,Group 15
OIS3 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q3a,Group 6
Late Miocene Mangaoranga Formation and Kaiparoro Formation conglomerate (Tolaga Group),Alluvial conglomerate with shallow marine sandstone  mudstone and bioclastic limestone.,conglomerate,Neogene sedimentary rocks,Tolaga Group,Ms,Group 15
Undifferentiated Pleistocene to Holocene river deposits,Weathered unsorted  undifferentiated alluvial gravel.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,Group 15
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,Group 15
OIS4 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,Group 6
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
Glenburn Formation sandstone (Mangapurupuru Group),Well bedded alternating sandstone  mudstone and argillite.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Kb,Group 15
OIS6 (Middle Pleistocene) river deposits,Highly weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 6
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,Group 15
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
OIS3 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q3a,Group 6
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Wanstead Formation mudstone (Mangatu Group),Smectitic  soft to moderately hard claystone  greensand  sandstone and marl.,claystone,Paleogene sedimentary rocks,Mangatu Group,Egw,Group 15
Undifferentiated Pleistocene to Holocene river deposits,Weathered unsorted  undifferentiated alluvial gravel.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,Group 15
OIS4 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,Group 6
OIS4 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,Group 6
Early Miocene Whakataki Formation sandstone and mudstone (Tolaga Group),Well bedded alternating sandstone and mudstone with interbedded olistostrome deposits.,sandstone,Neogene sedimentary rocks,Tolaga Group,Miw,Group 15
Late Miocene mudstone (Tolaga Group and Owhanga Group),Sandy mudstone with mudstone and sandstone interbeds.,mudstone,Neogene sedimentary rocks,Palliser Group and Owhanga Group,Mi,Group 15
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
Early Miocene Takiritini Formation sandstone (Tolaga Group),Thick sandstone  algal limestone and fossiliferous mudstone.,sandstone,Neogene sedimentary rocks,Tolaga Group,Mit,Group 15
Late Pliocene Totaranui Limestone  Otope Limestone  Pori Limestone  Ngaruru Limestone  Kumeroa Limestone (Mangamaire Group)  Pukenui Limestone (Onoke Group),Limestone.,coquina,Neogene sedimentary rocks,Mangamaire Group and Onoke Group,^ep,Group 15
