mu,de,mr,sn,KEYGRPNAME,uc,finalCategory
OIS6 (Middle Pleistocene) river deposits,Highly weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,05_alluvial
Waioeka sandstone and mudstone (Pahau Terrane),Alternating sandstone and mudstone  thick sandstone.,greywacke,Basement (Eastern Province) sedimentary rocks,Pahau Terrane,Ktw,19_undifSed
Glenburn Formation sandstone (Mangapurupuru Group),Well bedded alternating sandstone  mudstone and argillite.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Kb,19_undifSed
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Waioeka sandstone and mudstone (Pahau Terrane),Alternating sandstone and mudstone  thick sandstone.,greywacke,Basement (Eastern Province) sedimentary rocks,Pahau Terrane,Ktw,19_undifSed
OIS1 (Holocene) river deposits,Loose gravel sand silt and clay in modern flood plains and low terraces.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Late Miocene Mangaoranga Formation and Kaiparoro Formation conglomerate (Tolaga Group),Alluvial conglomerate with shallow marine sandstone  mudstone and bioclastic limestone.,conglomerate,Neogene sedimentary rocks,Tolaga Group,Ms,19_undifSed
OIS3 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q3a,05_alluvial
Late Miocene Mangaoranga Formation and Kaiparoro Formation conglomerate (Tolaga Group),Alluvial conglomerate with shallow marine sandstone  mudstone and bioclastic limestone.,conglomerate,Neogene sedimentary rocks,Tolaga Group,Ms,19_undifSed
Undifferentiated Pleistocene to Holocene river deposits,Weathered unsorted  undifferentiated alluvial gravel.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
Whangai Formation (Tinui Group),Rusty weathered mudstone with minor greensand and glauconitic sandstone.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
OIS4 (Late Pleistocene) river deposits,Weathered  poorly to moderately sorted gravel with loess  sand and silt.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,05_alluvial
