File Name,File Key,d,End Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
SDMT,66983,0,1,508,8,1,3.335986596,0.073839768,114.6615706,139.587999,262.8240495,118.8054957,164.2070346,65.11420452,151.6933742,2.335762846
SDMT,66983,1,1.5,508,8,1,2.199826565,0.064090098,120.7880667,147.046342,251.1802818,141.9282839,195.3781661,83.5067239,198.7498877,2.533107953
SDMT,66983,1.5,2,198,8,1,0.229445087,0.011721912,70.02257015,85.24486801,108.5138263,84.39676106,113.7300972,57.58192109,170.8420453,3.579155785
SDMT,66983,2,2.5,254,8,1,0.190228352,0.004151416,66.57903642,81.05273999,105.9786307,72.20935433,76.65029272,55.17362602,158.9358214,3.457785486
SDMT,66983,2.5,3,134,8,1,0.277800092,0.005938754,75.45079447,91.8531411,124.6460366,81.59653749,87.49569533,63.48622653,175.7206355,3.283975329
SDMT,66983,3,3.5,96,8,1,0.331166841,0.004679242,80.16254125,97.58918065,137.7532524,82.25147967,81.20537094,66.88476736,177.9751589,3.120933931
SDMT,66983,3.5,4,78,8,1,0.378417014,0.004665109,83.63404496,101.8153591,147.0622627,85.57214505,81.9635141,70.9399664,184.6674705,3.025482663
SDMT,66983,4,4.5,181,8,1,1.888859937,0.073477398,140.0974742,170.5534469,267.7336411,165.0140351,247.0014107,116.4022871,276.0534152,2.692461727
SDMT,66983,4.5,5,122,8,1,1.031813784,0.03697086,119.4605121,145.4301887,214.6319169,139.0667105,189.8370493,103.9552777,258.5348259,2.897162707
SDMT,66983,5,5.5,72,8,1,1.288703368,0.046760249,128.8602555,156.8733545,237.1196512,152.4339521,214.106247,112.5442066,273.8500768,2.805079938
SDMT,66983,5.5,6,142,8,1,6.271239589,0.047845066,165.0627942,200.9460103,436.1913665,181.6849131,182.4146063,145.2471815,284.3836968,1.839853565
SDMT,66983,6,6.5,156,8,1,2.845315373,0.047362041,151.4324557,184.3525548,324.8456793,172.8372608,205.2953939,132.5559099,288.3809922,2.33350333
SDMT,66983,6.5,7,226,8,1,2.69103473,0.078002469,159.9770255,194.7546397,320.4287049,190.0776817,267.7843208,140.0233729,313.6335544,2.512434781
SDMT,66983,7,7.5,170,8,1,0.843789957,0.029535181,120.722099,146.9660336,206.6208313,141.9525777,191.9301532,111.5065742,279.0782241,3.029312476
SDMT,66983,7.5,8,68,8,1,0.756803413,0.022421328,117.839314,143.4565561,200.2385751,133.7250065,169.7253569,109.300782,273.6235953,3.052085167
SDMT,66983,8,8.5,149,8,1,0.638706157,0.013863789,113.0414572,137.615687,192.3067166,121.3749304,137.8823098,104.2893326,260.8212897,3.04831406
SDMT,66983,8.5,9,86,8,1,0.800399543,0.022650339,123.747074,150.6486118,211.3760043,135.0586042,166.2713124,114.0664676,282.6533947,3.0198587
SDMT,66983,9,9.5,174,8,1,1.068881796,0.023778437,132.7617271,161.6229721,238.3647026,141.0470307,163.6794625,121.2590949,289.0937653,2.842688264
SDMT,66983,9.5,10,175,8,1,1.052906606,0.026732656,135.6223822,165.1055088,238.963852,143.6455551,172.4296532,123.9808381,297.43404,2.898025806
SDMT,66983,10,10.5,230,8,1,2.156814913,0.072079142,168.074068,204.6119088,309.7947182,183.81835,255.6658989,151.354529,344.5036631,2.728467225
SDMT,66983,10.5,11,268,8,1,2.117391849,0.051763654,165.3794626,201.3315197,311.5439884,173.8838913,218.0638449,148.8201591,333.9483011,2.660472802
SDMT,66983,11,11.5,228,8,1,2.669775186,0.027178711,162.8382599,198.2378816,339.7329577,160.5858917,159.1317855,147.7161432,311.206825,2.368450573
SDMT,66983,11.5,12,278,8,1,8.725096054,0.069528002,210.6549004,256.449444,531.362145,213.1187803,214.9765817,191.6893649,358.6466193,1.889623214
SDMT,66983,12,12.5,321,8,1,14.62642074,0.103573682,234.5865543,285.5836313,650.0475718,242.7792605,248.0167594,215.9273046,383.1864502,1.690116224
SDMT,66983,12.5,13,287,8,1,16.68786667,0.131209006,247.5247766,301.3345107,686.309268,258.1882856,276.231464,226.9401089,399.5625081,1.683993485
SDMT,66983,13,13.5,295,8,1,18.17153728,0.116865229,246.3956137,299.9598776,711.589602,256.5209314,258.8731692,229.9912869,397.6957674,1.606774308
SDMT,66983,13.5,14,330,8,1,7.340368874,0.094403768,223.5308144,272.1244697,504.8921427,222.0489809,251.9879711,200.3562511,387.8459356,2.128965865
SDMT,66983,14,14.5,293,8,1,9.364676815,0.079915392,226.5082877,275.7492199,556.3020229,223.2751942,228.3086998,206.701238,383.6734266,1.933547861
SDMT,66983,14.5,15,311,8,1,10.65172485,0.085568649,233.9336559,284.7887985,586.420247,230.0538333,233.2530539,213.8089485,390.8637882,1.885374376
SDMT,66983,15,15.5,310,8,1,11.38236416,0.084397446,235.0537057,286.1523373,603.4555909,232.0257155,230.8011739,217.6229271,393.663366,1.833277465
SDMT,66983,15.5,16,372,8,1,3.754940564,0.046499556,196.8873741,239.6889772,396.8447857,182.1067977,190.7090256,178.1392031,364.2945232,2.426064197
SDMT,66983,16,16.5,297,8,1,1.492893912,0.030020701,167.2180327,203.569779,285.1942865,149.6072863,167.5055591,151.732718,344.524436,2.947672835
SDMT,66983,16.5,17,299,8,1,1.388169764,0.019717342,162.348373,197.6414976,280.1416881,139.7590911,142.1444543,146.2303626,328.5360113,2.910014646
SDMT,66983,17,17.5,230,8,1,1.374790773,0.028077687,167.3456318,203.725117,279.7827676,146.6294069,164.1015721,151.6093641,346.5306235,3.010649849
SDMT,66983,17.5,18,299,8,1,1.418803898,0.027143727,168.9459529,205.673334,283.6324341,146.0048066,160.1528619,153.0834874,347.5950697,2.993429324
SDMT,66983,18,18.5,334,8,1,2.31091297,0.040161943,188.7773714,229.8159305,338.9292852,165.8550274,182.4190929,170.9674758,369.6695069,2.76078403
SDMT,66983,18.5,19,348,8,1,4.592053593,0.057047571,216.0916971,263.068153,437.8241125,193.3456654,202.9926382,195.7821454,391.5671036,2.393516235
SDMT,66983,19,19.5,343,8,1,11.04705795,0.053299307,235.9901771,287.2923895,610.6910088,219.7445652,191.9485309,222.5359674,393.2628546,1.806560916
SCPT,196093,1.5,2,136,1,1,1.846188639,0.042174753,117.6943825,143.2801179,243.1008072,141.4746872,176.0019704,86.53841688,205.0759576,2.534275434
SCPT,196093,2,2.5,154,1,1,2.342452884,0.041365482,126.0491866,153.4511836,272.9317178,154.5073374,181.9575909,95.85597055,218.317303,2.381990701
SCPT,196093,2.5,3,178,1,1,1.984974038,0.035503638,124.2373133,151.2454249,261.4202761,155.4243709,180.8418108,97.74953114,224.9560161,2.450111924
SCPT,196093,3,3.5,194,1,1,1.243985299,0.036881576,117.4567883,142.9908727,222.517574,152.6462877,198.37698,96.0537871,235.0580315,2.754675565
SCPT,196093,3.5,4,184,1,1,1.179380731,0.036047123,118.6514355,144.4452258,221.2878749,152.7292169,199.2069497,99.01160818,242.9320424,2.793440578
SCPT,196093,4,4.5,217,1,1,1.834152504,0.043014577,133.9192029,163.032073,265.0312068,164.5816552,204.8732104,110.8722317,257.4356651,2.592194253
SCPT,196093,4.5,5,201,1,1,2.391147681,0.051281815,145.532502,177.1700025,296.4668093,174.2892658,215.5567091,120.559626,271.4523399,2.494186215
SCPT,196093,5,5.5,223,1,1,2.098734734,0.056544418,146.4467878,178.2830461,284.9205124,175.4645354,229.1637187,122.6511365,281.7130077,2.620832025
SCPT,196093,5.5,6,270,1,1,3.028837264,0.062399843,160.5109629,195.4046505,330.5990226,185.0889263,229.0117256,133.7107444,292.7930382,2.4431461
SCPT,196093,6,6.5,276,1,1,2.815611165,0.064053797,161.5723904,196.6968231,324.1838822,184.8268642,233.3433613,135.7141974,299.9009113,2.511174241
