Start Depth,End Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
0.0,1.5,171,5.344586240985917,0.030462293000984096,113.6404980402318,138.3449541359344,327.59918139754143,117.00687332598177,108.23943932015999,72.61385942625401,150.5913277097653,1.784192524640123
1.5,2.0,171,0.8269253576907457,0.012251102746303099,91.92292658163265,111.90617149068336,178.80867679302656,106.87377403347689,111.2480684445649,69.51127040234026,173.4634443482676,2.738064691930155
2.0,2.5,357,7.257687702742325,0.050437063435593864,148.2239278219465,180.44652082671755,420.11489664138145,178.76311608646574,176.4278694069459,114.68029132163659,225.9004113388959,1.744742451178871
2.5,3.0,230,14.372960853964026,0.05451993376706414,165.57954791556622,201.57510181025458,556.5150177387325,198.1106558685843,171.9743165125491,134.70573637469957,241.3663862952979,1.4253902032711392
3.0,3.5,175,12.067012229757273,0.03803237134356956,162.70271837290937,198.0728745409332,529.2700226955305,189.4988818357312,154.40314446379205,133.57310070152582,240.0004254466362,1.4742672140676816
3.5,4.0,154,13.185587874759584,0.04948414205810844,174.28069989356158,212.16780856607502,555.3369205316757,202.8507710407931,172.68190586253976,143.90725305940867,257.7096638710957,1.5002363040899456
4.0,4.5,224,14.066518293603123,0.049426066445972,179.72907505625338,218.8006131119607,576.3410171829636,207.90281139020777,174.03268595625136,150.39562766561298,266.1093434296479,1.4833573736545267
4.5,5.0,268,12.200184258620322,0.04499297228436637,180.90947462519765,220.23762128284918,551.893322762674,205.0212024718954,171.57650267971673,150.8007071251922,270.1124372791233,1.5651578373719424
5.0,5.5,243,10.473785712365279,0.024511637141756373,171.96233363032195,209.34544963691394,525.8405869785623,189.33259663712138,142.4167802039471,144.23616749443175,255.72955170468427,1.5602095652959063
5.5,6.0,228,8.635813374457536,0.03186268476792938,177.1138478278167,215.6168582251682,492.87500807225456,191.79929020783484,157.73614233655164,147.04912525417996,270.3838836451829,1.730533754456513
6.0,6.5,306,1.5579699331925527,0.022900248704313293,137.74910017740626,167.69455673771202,258.5411659284724,147.3336710482338,155.27712322787355,114.4297199605704,261.2187077763201,2.7247299913521377
6.5,7.0,282,6.563247012102953,0.05283444906214807,183.66545127129066,223.59272328678856,451.27558519889635,200.6619725065436,198.55010829474446,154.13965708219237,300.11862247515086,1.9826332635967892
7.0,7.5,203,14.162445375662676,0.04232419547261589,196.37407924589797,239.064096473267,609.248388340867,214.36088908123253,170.96200867778754,172.44686656774928,298.60881184444855,1.5155536993001475
7.5,8.0,214,15.787200671324268,0.05322672906775809,205.51300791706453,250.18974876860062,639.2904039708387,225.0249022991172,185.62720402354438,181.87354185280606,313.1319809597598,1.5060664943341666
8.0,8.5,198,15.744139099916186,0.047004412957020125,204.8228872006741,249.3496018095164,642.5949430649887,222.48332247275457,178.23759495661238,183.09351376202204,313.0227195312403,1.489563488366829
8.5,9.0,200,15.865386708049533,0.04494680701873502,206.3100638412783,251.16007771981737,648.2490557773508,222.55309325785052,176.2464549479859,185.63057424175,315.89605993235904,1.4845123763678045
9.0,9.5,207,17.149107812746276,0.031862049209073255,200.30024781531432,243.8437799490784,671.4970774387841,217.54147520421586,158.1090797242514,185.27965423599213,306.5347994757499,1.3790607912139927
9.5,10.0,180,15.093882852066065,0.02248663288447106,195.75203184416898,238.30682137551037,642.8494498985486,207.90439816104077,145.75090052793072,179.32589333154084,296.60796895404,1.411144416982584
