File Name,File Key,d,End Depth,Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT,57343,0,0.5,0.25,72,2,1,4.721934496,0.039623045,103.8868171,126.4709078,285.0787669,95.31424976,95.96309467,56.371094,123.1959192,1.935061533,-0.36663589,-0.563346185,-1.376099398,-0.280513206,-0.287297568,0.24470961,-0.537109808
SCPT,57343,0.5,1,0.75,72,2,1,9.515681225,0.071931966,138.040472,168.0492703,416.7673012,152.7138918,160.4953231,89.7652789,178.2188391,1.672588652,-0.650880799,-0.847591093,-1.755861916,-0.751900064,-0.801598684,-0.220532132,-0.906346109
SCPT,57343,1,1.5,1.25,83,2,1,13.17572544,0.086766587,154.3765356,187.9366521,497.2865746,188.0366185,196.7792187,110.6861059,209.2739695,1.528353232,-0.620554047,-0.817264341,-1.790325861,-0.817796115,-0.863241775,-0.287857713,-0.924803645
SCPT,57343,1.5,2,1.75,101,2,1,13.75251724,0.105303703,167.5437069,203.9662519,522.9298469,213.0412353,235.7294351,124.4695331,234.0887986,1.566453211,-0.506123737,-0.702834031,-1.644326802,-0.746365223,-0.847564169,-0.208940455,-0.840580008
SCPT,57343,2,2.5,2.25,116,2,1,14.52821231,0.108886488,177.5235576,216.1156354,547.6577386,222.4285421,242.7480918,135.009082,250.8134942,1.574356825,-0.425513128,-0.622223422,-1.552060336,-0.6510157,-0.738434055,-0.151751859,-0.771119421
SCPT,57343,2.5,3,2.75,129,2,1,16.17438871,0.134956273,191.5838625,233.2325282,582.1479885,238.257821,272.3155306,147.6461249,271.661745,1.589441149,-0.395513233,-0.592223527,-1.506912287,-0.613540964,-0.747149029,-0.135005958,-0.744745303
SCPT,57343,3,3.5,3.25,145,2,1,16.4859822,0.13585832,197.5897106,240.5439956,596.2664843,241.9178986,274.3604202,155.2173283,283.7438483,1.593724357,-0.30945897,-0.506169264,-1.413953946,-0.511864664,-0.637708902,-0.068092511,-0.671338146
SCPT,57343,3.5,4,3.75,164,2,1,16.27321343,0.147247805,205.0653837,249.6448149,601.8494598,248.5376515,289.3949688,162.3253888,297.3210905,1.636920461,-0.223462445,-0.420172739,-1.300140919,-0.415727921,-0.567926001,0.010263534,-0.59494624
SCPT,57343,4,4.5,4.25,144,2,1,15.37637285,0.119840142,201.9950444,245.9070106,596.3642085,239.1701941,260.5145247,163.9028737,298.690017,1.622026396,-0.338429865,-0.535140159,-1.421038269,-0.507362108,-0.592845317,-0.129460719,-0.729593004
SCPT,57343,4.5,5,4.75,138,2,1,17.11507281,0.156834473,216.9508903,264.1141274,628.2004223,257.1888091,299.6065229,175.572485,318.430878,1.649352683,-0.452417331,-0.649127625,-1.515605574,-0.622556796,-0.775216338,-0.240798292,-0.836151743
SCPT,57343,5,5.5,5.25,140,2,1,16.60572237,0.142952584,217.2714052,264.5043194,627.2254239,253.5673584,286.2190208,178.3792017,322.6367202,1.651001636,-0.439504865,-0.636215159,-1.499663581,-0.593987079,-0.715114902,-0.242269208,-0.834884562
SCPT,57343,5.5,6,5.75,155,2,1,15.86446364,0.141978036,220.0768998,267.9197042,622.0163476,253.8596768,287.3493356,181.6572815,329.7627991,1.686646555,-0.350551913,-0.547262208,-1.389541258,-0.493356544,-0.617273556,-0.158696726,-0.754948488
SCPT,57343,6,6.5,6.25,161,2,1,14.65442088,0.127271332,218.5239884,266.0292033,608.5137853,248.0165123,273.7523858,182.1541215,331.8602529,1.712371205,-0.30549143,-0.502201725,-1.329615202,-0.432090961,-0.530819631,-0.123448785,-0.72330959
SCPT,57343,6.5,7,6.75,146,2,1,12.20071548,0.118268745,216.2294537,263.2358567,571.8174561,241.3498546,269.1698241,180.154583,334.7325098,1.813027824,-0.392733508,-0.589443802,-1.365213186,-0.502640938,-0.611735875,-0.210208655,-0.829725113
SCPT,57343,7,7.5,7.25,170,2,1,12.31163184,0.11807004,219.4497545,267.1562228,577.8790739,242.5708354,268.9409189,183.9900031,340.7989928,1.817667493,-0.25532486,-0.452035154,-1.223566195,-0.355495335,-0.458693286,-0.079082988,-0.695494403
SCPT,57343,7.5,8,7.75,181.5,2,1,12.56666046,0.131052089,226.1864711,275.3574431,586.3436142,248.896604,283.5559182,189.6279519,351.3937867,1.84529012,-0.220104099,-0.416814393,-1.172650336,-0.315781912,-0.446153692,-0.043808351,-0.66065184
SCPT,57343,8,8.5,8.25,185.5,2,1,16.31894025,0.177011655,244.9698645,298.2241829,651.7839439,272.1877948,324.1547764,205.418184,371.9518028,1.783645982,-0.278080319,-0.474790613,-1.256658251,-0.383437368,-0.558166225,-0.101992941,-0.695709401
