File Name,File Key,d,End Depth,Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT,14526,0,5,2.5,245.5,2,3,3.840690356,0.019056502,124.3296187,151.3577967,323.4546133,135.636443,117.9895465,91.64222129,188.9885589,1.943974426,0.680360693,0.483650399,-0.275761858,0.593318854,0.732700916,0.985404851,0.261610469
SCPT,14526,5,7,6,245.5,2,3,7.734458766,0.100784783,202.8534927,246.952078,474.3125616,227.6631239,266.0829288,160.9135647,316.7742041,2.095627608,0.19081294,-0.005897354,-0.65856957,0.075429938,-0.080511075,0.422429592,-0.254892283
SCPT,14526,7,9,8,307.09,2,3,7.876112324,0.135865653,226.3817194,275.5951367,491.5071016,241.481868,300.0787219,179.2776645,354.4482812,2.254489891,0.304918266,0.108207971,-0.470335524,0.240346475,0.023096018,0.538205062,-0.143421579
SCPT,14526,9,11,10,366.99,2,3,8.116096422,0.192036281,249.5085999,303.7495998,508.395277,254.281892,338.0440396,197.224845,392.4955982,2.401169999,0.385841217,0.189130923,-0.32592465,0.366891137,0.082158418,0.620990177,-0.067190723
SCPT,14526,11,13,12,393.68,2,3,3.502747875,0.092066193,213.6585161,260.1060196,377.9035457,198.7442032,245.8642548,172.9834281,371.3086107,2.823123996,0.611159375,0.414449081,0.040899404,0.68351981,0.470758823,0.822342598,0.058504845
SCPT,14526,13,15,14,399.76,2,3,4.318061259,0.094218918,230.0563497,280.0685996,415.6345086,203.6782715,240.0044769,186.4606694,387.8796802,2.738353425,0.552540089,0.355829795,-0.038941922,0.674322719,0.51020679,0.762644038,0.030169178
SCPT,14526,15,17,16,411.14,2,3,2.348457958,0.035737261,196.4846102,239.1986559,331.9957614,161.8496775,167.836088,163.5726527,352.1366863,2.962312941,0.73834968,0.541639386,0.213811587,0.932265801,0.895945953,0.921676538,0.154914376
SCPT,14526,17,19,18,291.42,2,3,3.521426514,0.036501598,218.9097992,266.4988859,402.7273394,173.2719535,162.4462717,179.4955261,364.8986618,2.67164743,0.286105756,0.089395462,-0.32349423,0.51990318,0.584418214,0.484615242,-0.224854151
SCPT,14526,19,21,20,445.59,2,3,3.050908055,0.049362506,223.0099042,271.4903182,382.7954033,175.3825218,183.0665934,185.6535046,389.3551708,2.880865144,0.692183063,0.495472768,0.151898595,0.932429819,0.889549262,0.875517189,0.134907284
SCPT,14526,21,23,22,416.22,2,3,3.679691461,0.08906944,244.2024215,297.2899044,409.4409581,194.4985609,228.7777516,205.6928183,431.2772867,2.94194815,0.533216489,0.336506195,0.016421254,0.760789203,0.598462951,0.704830084,-0.035537273
SCPT,14552,0,4,2,172.19,2,3,1.824282598,0.031215246,111.5453988,135.7943986,238.3282609,124.5698623,142.9884263,81.14719408,190.552571,2.451649581,0.434166846,0.237456551,-0.325050453,0.323731817,0.185834826,0.752333802,-0.101329601
SCPT,14552,4,6,5,172.19,2,3,1.932555808,0.032562652,133.12037,162.0595808,273.1521288,155.6216271,183.1396574,113.9805018,258.3483743,2.479449749,0.257344762,0.060634468,-0.46143037,0.101170925,-0.061650499,0.412571121,-0.405710444
SCPT,14552,6,8,7,146.74,2,3,3.025920648,0.058308485,162.4176907,197.7258844,336.4415563,183.2138672,226.7233132,140.2708252,304.7466006,2.41522995,-0.101509041,-0.298219336,-0.82976214,-0.22199183,-0.435068076,0.045087294,-0.7308183
SCPT,14552,8,10,9,281.39,2,3,2.43763281,0.04465589,162.4919273,197.8162593,322.4805219,171.9604898,199.2396218,142.684404,313.3151175,2.520223722,0.549113285,0.352402991,-0.13630113,0.492476867,0.345233377,0.679106381,-0.107467842
SCPT,14552,10,12,11,334.41,2,3,2.14271568,0.037234152,164.4915831,200.2506229,314.7355791,164.8597389,184.2233925,145.9134131,321.7004854,2.613109901,0.709508383,0.512798089,0.06063493,0.70727274,0.596218674,0.8293544,0.038746842
SCPT,14552,12,14,13,277.75,2,3,4.737166485,0.090372301,211.1366635,257.0359382,427.7504491,211.7881492,266.1353461,184.462179,378.858987,2.416792416,0.27421581,0.077505516,-0.431818534,0.27113495,0.042716429,0.409276978,-0.310442641
SCPT,14552,14,16,15,281.22,2,3,3.084331613,0.059965562,196.0676792,238.6910878,368.6432623,184.6021568,216.281129,174.4239294,371.2812426,2.628615669,0.360677379,0.163967085,-0.270692126,0.420934276,0.262558197,0.477648569,-0.277822561
SCPT,14552,16,18,17,297.51,2,3,5.903363668,0.128070634,239.1840262,291.1805536,474.9334872,228.0768573,293.0218658,211.202208,425.0203839,2.445358128,0.218214598,0.021504304,-0.467726929,0.265765172,0.015200604,0.342631832,-0.356689292
SCPT,14552,18,20,19,271.31,2,3,4.800888059,0.090066867,233.0504772,283.7136244,446.2216975,209.9045288,252.2692304,205.3672228,416.9759337,2.544075589,0.152007008,-0.044703286,-0.49755383,0.256609276,0.072765187,0.278462371,-0.429766429
SCPT,14552,20,22,21,316.79,2,3,3.716984272,0.061636107,223.4478321,272.0234478,418.4242342,190.1257693,208.2774368,197.2220042,406.3359996,2.606946812,0.34906112,0.152350826,-0.278256738,0.510553297,0.419368072,0.473909075,-0.248941309
SCPT,14540,0,5,2.5,184.14,2,3,1.772506425,0.014156351,108.6514184,132.2712919,240.686093,119.2197113,113.0261902,79.98760437,180.7875386,2.344449487,0.527551576,0.330841283,-0.267797228,0.434728234,0.488076774,0.833824661,0.018373816
SCPT,14540,5,7,6,184.14,2,3,1.429128125,0.012987635,124.6121773,151.701781,249.0846743,134.2756146,127.50634,106.4462116,239.6848146,2.549283053,0.390490005,0.193779711,-0.302096558,0.315801825,0.367530249,0.548056536,-0.26362845
SCPT,14540,7,9,8,144.61,2,3,2.570248109,0.026231644,154.956084,188.6421892,327.3363222,160.2235107,157.3579621,133.109206,283.8553211,2.358778411,-0.069101284,-0.265811578,-0.816947687,-0.102529319,-0.08448276,0.082870575,-0.674424212
SCPT,14540,9,11,10,440.46,2,3,3.408661641,0.051155854,180.8140952,220.1215073,371.2402233,184.2248587,204.2816966,155.9643026,328.3698759,2.409308058,0.89035023,0.693639936,0.17097028,0.871662566,0.768319728,1.038192484,0.293678992
SCPT,14540,11,13,12,325.97,2,3,1.971644055,0.022085938,161.8410426,197.023878,311.9250189,152.01881,147.4450882,141.4510666,307.1073155,2.587852213,0.700190718,0.503480423,0.044042518,0.762801089,0.79334953,0.834851514,0.059608104
SCPT,14540,13,15,14,391.11,2,3,3.248290038,0.054012645,193.596456,235.6826421,373.1087231,183.3484387,205.4758512,170.8943094,360.0547875,2.561359045,0.703212981,0.506502687,0.04711899,0.757600471,0.643660336,0.827943559,0.082732643
SCPT,14540,15,17,16,365.87,2,3,2.483293384,0.050608178,191.6136516,233.2687932,346.683113,174.723841,199.9456015,169.7240024,368.5815688,2.743855011,0.646796966,0.450086672,0.053866935,0.739071403,0.604232742,0.768104477,-0.007383962
SCPT,14540,17,19,18,324.63,2,3,2.127155813,0.039575207,187.5215885,228.2871512,322.7209023,162.330768,182.0168893,168.0519225,367.3810406,2.89823578,0.548792095,0.352081801,0.005898202,0.693050041,0.578586591,0.658413078,-0.123713495
SCPT,14540,19,21,20,333.54,2,3,2.89737598,0.074467575,214.3359821,260.9307608,372.4963825,187.004245,229.8348802,190.6757083,410.5765186,2.844860363,0.442218005,0.24550771,-0.110464528,0.578631481,0.372401659,0.559188675,-0.207799517
SCPT,14540,21,23,22,363.21,2,3,3.441970859,0.095524649,229.387102,279.2538633,395.6488871,197.0069282,250.3050273,204.9106919,435.0029774,2.855642728,0.459570201,0.262859907,-0.08554599,0.611742283,0.372300896,0.572406944,-0.180371696
SCPT,14540,23,24,23.5,394.09,2,3,3.494326268,0.091071421,233.7116012,284.518471,403.3256712,196.0039238,243.2025629,208.3469943,439.6685769,2.847427525,0.522491428,0.325781134,-0.023165043,0.698444631,0.482684621,0.637374378,-0.109441899
SCPT,14651,0,5,2.5,113.41,2,3,1.582377889,0.032554187,112.9660994,137.5239471,229.9375748,127.7377436,154.2588334,84.322626,201.2885434,2.576804398,0.003921802,-0.192788492,-0.706798287,-0.118969713,-0.307622357,0.296359343,-0.573729847
SCPT,14651,5,7,6,113.41,2,3,2.118436295,0.032712424,139.2516768,169.5237804,288.3832662,157.9810309,178.7122218,121.6310172,271.0561401,2.43880188,-0.20527335,-0.401983643,-0.93328081,-0.331465397,-0.454767242,-0.069982442,-0.871316388
SCPT,14651,7,9,8,195.92,2,3,2.39928058,0.029580901,150.7810992,183.559599,311.3326328,160.0182383,170.7125319,133.1173871,288.1774471,2.423055286,0.261877302,0.065167008,-0.463155487,0.202418615,0.137725371,0.386475064,-0.385870014
SCPT,14651,9,11,10,207.49,2,3,2.813482898,0.031049316,164.8875489,200.7326683,347.0476857,165.7412178,167.6793657,145.5547253,307.2960416,2.350530065,0.229819426,0.033109131,-0.514379048,0.224655503,0.213029527,0.354531011,-0.392728442
SCPT,14651,11,13,12,212.39,2,3,4.858316457,0.082588239,202.7021421,246.7678252,426.3257703,206.790221,249.2184883,179.6997495,366.9887341,2.324316744,0.046686586,-0.150023708,-0.696779566,0.026719353,-0.159905767,0.167136807,-0.546906943
SCPT,14651,13,15,14,375.91,2,3,3.368508187,0.076781134,199.9418504,243.40747,382.8186373,195.5801221,241.7542664,176.8802441,377.0023546,2.577375009,0.631323177,0.434612883,-0.018211592,0.653379626,0.441427971,0.753876836,-0.00290168
SCPT,14651,15,17,16,372.42,2,3,3.533501459,0.07790401,207.4814156,252.5860711,389.8811819,195.3841015,239.0357782,185.0759273,390.8599846,2.620742162,0.584980477,0.388270183,-0.045819781,0.645054877,0.443409009,0.699256091,-0.048327151
SCPT,14651,17,19,18,399.69,2,3,2.666861015,0.041520019,194.6776222,236.9988444,359.4880881,170.7829865,182.4621064,174.3065436,370.2984487,2.672025823,0.719344276,0.522633981,0.106008205,0.850295581,0.784146731,0.829873753,0.076379948
SCPT,14651,19,21,20,311.99,2,3,3.68468033,0.061313845,218.1903062,265.6229815,413.0913073,189.736751,209.1032669,194.2326897,401.0453687,2.579960664,0.35760349,0.160893195,-0.280697516,0.497333546,0.400142906,0.473914264,-0.251103424
SCPT,14651,21,23,22,366.7,2,3,4.13254861,0.062535134,228.168374,277.7701944,435.6037883,192.9708329,207.3126579,203.1086825,412.250311,2.545626774,0.474460236,0.277749942,-0.172189013,0.642005022,0.570315997,0.590802858,-0.117086641
SCPT,14543,0,4,2,172.92,2,3,1.704638296,0.021389546,110.6350541,134.6861528,238.4974615,117.6226001,125.0289225,83.81382132,193.8633849,2.412593533,0.446592076,0.249881782,-0.321529607,0.385347865,0.324283969,0.724231134,-0.11432465
