File Name,File Key,d,End Depth,Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),A07H,A07P,A07T,R09,H06,MC15,MC18
SDMT,66983,0,1,0.5,508,8,1,3.335986596,0.073839768,114.6615706,139.587999,262.8240495,118.8054957,164.2070346,65.11420452,151.6933742,2.335762846,1.488496522,1.291786228,0.658996653,1.452993782,1.12935341,2.054338727,1.208620239
SDMT,66983,1,1.5,1.25,508,8,1,2.199826565,0.064090098,120.7880667,147.046342,251.1802818,141.9282839,195.3781661,83.5067239,198.7498877,2.533107953,1.436443953,1.239733659,0.704310512,1.275159561,0.955544454,1.805554293,0.938434259
SDMT,66983,1.5,2,1.75,198,8,1,0.229445087,0.011721912,70.02257015,85.24486801,108.5138263,84.39676106,113.7300972,57.58192109,170.8420453,3.579155785,1.03944941,0.842739116,0.601389434,0.852738006,0.554438958,1.235058382,0.147527613
SDMT,66983,2,2.5,2.25,254,8,1,0.190228352,0.004151416,66.57903642,81.05273999,105.9786307,72.20935433,76.65029272,55.17362602,158.9358214,3.457785486,1.338944507,1.142234213,0.87409679,1.257764668,1.198080843,1.526849217,0.468833785
SDMT,66983,2.5,3,2.75,134,8,1,0.277800092,0.005938754,75.45079447,91.8531411,124.6460366,81.59653749,87.49569533,63.48622653,175.7206355,3.283975329,0.574359085,0.377648791,0.072361787,0.496052972,0.426250204,0.747016823,-0.271055636
SDMT,66983,3,3.5,3.25,96,8,1,0.331166841,0.004679242,80.16254125,97.58918065,137.7532524,82.25147967,81.20537094,66.88476736,177.9751589,3.120933931,0.180291852,-0.016418442,-0.361115867,0.154566812,0.167366802,0.361376943,-0.617295792
SDMT,66983,3.5,4,3.75,78,8,1,0.378417014,0.004665109,83.63404496,101.8153591,147.0622627,85.57214505,81.9635141,70.9399664,184.6674705,3.025482663,-0.069741847,-0.266452141,-0.634147226,-0.092650995,-0.049565372,0.094874851,-0.861847924
SDMT,66983,4,4.5,4.25,181,8,1,1.888859937,0.073477398,140.0974742,170.5534469,267.7336411,165.0140351,247.0014107,116.4022871,276.0534152,2.692461727,0.256158607,0.059448312,-0.391495579,0.0924665,-0.310897017,0.441444848,-0.422097349
SDMT,66983,4.5,5,4.75,122,8,1,1.031813784,0.03697086,119.4605121,145.4301887,214.6319169,139.0667105,189.8370493,103.9552777,258.5348259,2.897162707,0.021035171,-0.175675124,-0.564903502,-0.130932705,-0.442145024,0.16006026,-0.751009363
SDMT,66983,5,5.5,5.25,72,8,1,1.288703368,0.046760249,128.8602555,156.8733545,237.1196512,152.4339521,214.106247,112.5442066,273.8500768,2.805079938,-0.582062407,-0.778772702,-1.191898752,-0.750065282,-1.089806254,-0.446679973,-1.335914673
SDMT,66983,5.5,6,5.75,142,8,1,6.271239589,0.047845066,165.0627942,200.9460103,436.1913665,181.6849131,182.4146063,145.2471815,284.3836968,1.839853565,-0.150498915,-0.347209209,-1.122254003,-0.246446882,-0.250455095,-0.022609933,-0.694497314
SDMT,66983,6,6.5,6.25,156,8,1,2.845315373,0.047362041,151.4324557,184.3525548,324.8456793,172.8372608,205.2953939,132.5559099,288.3809922,2.33350333,0.029716319,-0.166993976,-0.733494229,-0.102494456,-0.274593881,0.162851489,-0.614426488
SDMT,66983,6.5,7,6.75,226,8,1,2.69103473,0.078002469,159.9770255,194.7546397,320.4287049,190.0776817,267.7843208,140.0233729,313.6335544,2.512434781,0.345504785,0.148794491,-0.349124803,0.17310216,-0.169646884,0.478725641,-0.327690281
SDMT,66983,7,7.5,7.25,170,8,1,0.843789957,0.029535181,120.722099,146.9660336,206.6208313,141.9525777,191.9301532,111.5065742,279.0782241,3.029312476,0.342307235,0.145596941,-0.195086944,0.180305395,-0.121333083,0.421714886,-0.495693679
SDMT,66983,7.5,8,7.75,68,8,1,0.756803413,0.022421328,117.839314,143.4565561,200.2385751,133.7250065,169.7253569,109.300782,273.6235953,3.052085167,-0.549814246,-0.746524539,-1.080001826,-0.676277796,-0.914673878,-0.474595845,-1.392245717
SDMT,66983,8,8.5,8.25,149,8,1,0.638706157,0.013863789,113.0414572,137.615687,192.3067166,121.3749304,137.8823098,104.2893326,260.8212897,3.04831406,0.276191677,0.079481383,-0.255145274,0.205061953,0.077545812,0.356777225,-0.559889153
SDMT,66983,8.5,9,8.75,86,8,1,0.800399543,0.022650339,123.747074,150.6486118,211.3760043,135.0586042,166.2713124,114.0664676,282.6533947,3.0198587,-0.36389246,-0.560602755,-0.899291262,-0.451361493,-0.65927357,-0.282434031,-1.189874097
SDMT,66983,9,9.5,9.25,174,8,1,1.068881796,0.023778437,132.7617271,161.6229721,238.3647026,141.0470307,163.6794625,121.2590949,289.0937653,2.842688264,0.270499303,0.073789009,-0.314746565,0.209961913,0.061145281,0.361125763,-0.507695784
SDMT,66983,9.5,10,9.75,175,8,1,1.052906606,0.026732656,135.6223822,165.1055088,238.963852,143.6455551,172.4296532,123.9808381,297.43404,2.898025806,0.254911552,0.058201257,-0.31152632,0.197437132,0.014796628,0.344658952,-0.530406512
SDMT,66983,10,10.5,10.25,230,8,1,2.156814913,0.072079142,168.074068,204.6119088,309.7947182,183.81835,255.6658989,151.354529,344.5036631,2.728467225,0.313674546,0.116964252,-0.29783057,0.224131267,-0.105792201,0.41845435,-0.404025415
SDMT,66983,10.5,11,10.75,268,8,1,2.117391849,0.051763654,165.3794626,201.3315197,311.5439884,173.8838913,218.0638449,148.8201591,333.9483011,2.660472802,0.482744374,0.286034079,-0.150553563,0.432599195,0.206199094,0.588248389,-0.219999213
SDMT,66983,11,11.5,11.25,228,8,1,2.669775186,0.027178711,162.8382599,198.2378816,339.7329577,160.5858917,159.1317855,147.7161432,311.206825,2.368450573,0.336588191,0.139877897,-0.398814262,0.350516679,0.35961293,0.434053148,-0.311112094
SDMT,66983,11.5,12,11.75,278,8,1,8.725096054,0.069528002,210.6549004,256.449444,531.362145,213.1187803,214.9765817,191.6893649,358.6466193,1.889623214,0.277399862,0.080689568,-0.647822681,0.265771449,0.257092014,0.371744943,-0.254716443
SDMT,66983,12,12.5,12.25,321,8,1,14.62642074,0.103573682,234.5865543,285.5836313,650.0475718,242.7792605,248.0167594,215.9273046,383.1864502,1.690116224,0.313616502,0.116906208,-0.705604424,0.279288486,0.257944801,0.396499325,-0.177080563
SDMT,66983,12.5,13,12.75,287,8,1,16.68786667,0.131209006,247.5247766,301.3345107,686.309268,258.1882856,276.231464,226.9401089,399.5625081,1.683993485,0.147971531,-0.048738763,-0.871846138,0.105793108,0.038243064,0.234796071,-0.330888003
SDMT,66983,13,13.5,13.25,295,8,1,18.17153728,0.116865229,246.3956137,299.9598776,711.589602,256.5209314,258.8731692,229.9912869,397.6957674,1.606774308,0.180036926,-0.016673368,-0.880525987,0.139765091,0.130637109,0.248933931,-0.298711953
SDMT,66983,13.5,14,13.75,330,8,1,7.340368874,0.094403768,223.5308144,272.1244697,504.8921427,222.0489809,251.9879711,200.3562511,387.8459356,2.128965865,0.389543378,0.192833084,-0.425252173,0.396194662,0.269711302,0.498995617,-0.161515533
SDMT,66983,14,14.5,14.25,293,8,1,9.364676815,0.079915392,226.5082877,275.7492199,556.3020229,223.2751942,228.3086998,206.701238,383.6734266,1.933547861,0.257391074,0.06068078,-0.641138744,0.271767544,0.249473949,0.348898153,-0.26961913
SDMT,66983,14.5,15,14.75,311,8,1,10.65172485,0.085568649,233.9336559,284.7887985,586.420247,230.0538333,233.2530539,213.8089485,390.8637882,1.885374376,0.284755359,0.088045065,-0.634243765,0.301479573,0.28766898,0.37471006,-0.228566219
SDMT,66983,15,15.5,15.25,310,8,1,11.38236416,0.084397446,235.0537057,286.1523373,603.4555909,232.0257155,230.8011739,217.6229271,393.663366,1.833277465,0.276758275,0.080047981,-0.666100154,0.289724089,0.295015677,0.353808425,-0.238923846
SDMT,66983,15.5,16,15.75,372,8,1,3.754940564,0.046499556,196.8873741,239.6889772,396.8447857,182.1067977,190.7090256,178.1392031,364.2945232,2.426064197,0.636261994,0.4395517,-0.064651382,0.714300539,0.668145014,0.73632857,0.020931184
SDMT,66983,16,16.5,16.25,297,8,1,1.492893912,0.030020701,167.2180327,203.569779,285.1942865,149.6072863,167.5055591,151.732718,344.524436,2.947672835,0.574433593,0.377723298,0.040561484,0.685718369,0.572715599,0.6716116,-0.148432881
SDMT,66983,16.5,17,16.75,299,8,1,1.388169764,0.019717342,162.348373,197.6414976,280.1416881,139.7590911,142.1444543,146.2303626,328.5360113,2.910014646,0.610699096,0.413988802,0.065148069,0.760523411,0.743599749,0.715260369,-0.094202882
SDMT,66983,17,17.5,17.25,230,8,1,1.374790773,0.028077687,167.3456318,203.725117,279.7827676,146.6294069,164.1015721,151.6093641,346.5306235,3.010649849,0.318017984,0.121307689,-0.195934163,0.450170947,0.337593731,0.416772069,-0.409891885
SDMT,66983,17.5,18,17.75,299,8,1,1.418803898,0.027143727,168.9459529,205.673334,283.6324341,146.0048066,160.1528619,153.0834874,347.5950697,2.993429324,0.570864715,0.374154421,0.05276442,0.71680403,0.624314827,0.669460132,-0.150594636
SDMT,66983,18,18.5,18.25,334,8,1,2.31091297,0.040161943,188.7773714,229.8159305,338.9292852,165.8550274,182.4190929,170.9674758,369.6695069,2.76078403,0.570572601,0.373862307,-0.014650494,0.700026915,0.604834245,0.669667655,-0.101468389
SDMT,66983,18.5,19,18.75,348,8,1,4.592053593,0.057047571,216.0916971,263.068153,437.8241125,193.3456654,202.9926382,195.7821454,391.5671036,2.393516235,0.476499639,0.279789344,-0.22961478,0.58772288,0.539032766,0.575199942,-0.117954422
SDMT,66983,19,19.5,19.25,343,8,1,11.04705795,0.053299307,235.9901771,287.2923895,610.6910088,219.7445652,191.9485309,222.5359674,393.2628546,1.806560916,0.373940265,0.177229971,-0.57686067,0.445264643,0.580503179,0.432641707,-0.136747782
SCPT,196093,1.5,2,1.75,136,1,1,1.846188639,0.042174753,117.6943825,143.2801179,243.1008072,141.4746872,176.0019704,86.53841688,205.0759576,2.534275434,0.1445636,-0.052146695,-0.580821316,-0.039465926,-0.257840305,0.452066445,-0.41072555
