File Name,File Key,d,End Depth,Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),A07H,A07P,A07T,R09,H06,MC15,MC18
SDMT,92535,0,2,1,149,7,999,1.104196269,0.022174112,91.1068911,110.912737,184.4521874,98.94227436,114.869886,60.82639692,153.0957516,2.668143319,0.491912861,0.295202567,-0.213443977,0.409409713,0.260146244,0.895922451,-0.027117247
SDMT,92535,2,2.5,2.25,149,7,999,1.287149931,0.027735859,110.0567708,133.9821558,218.5432848,134.5554467,159.5675449,85.06769265,206.3461203,2.640962724,0.302949975,0.106239681,-0.383037789,0.101969949,-0.068521006,0.560498982,-0.325608649
SDMT,92535,2.5,3,2.75,181,7,999,0.279459235,0.004198018,74.2067439,90.33864475,125.3508925,87.79691769,86.43196166,61.73733442,167.9798805,3.204100223,0.891641997,0.694931703,0.367380087,0.723470637,0.739139497,1.075608187,0.074652818
SDMT,92535,3,3.5,3.25,351,7,999,0.427498543,0.001868982,80.51372989,98.01671465,149.8626064,90.49313721,74.63723819,64.42107097,158.5283016,2.849765854,1.472358496,1.275648202,0.851067306,1.355512208,1.548146669,1.695345455,0.794853087
SDMT,92535,3.5,4,3.75,225,7,999,1.422138095,0.009927711,110.2690701,134.2406071,236.6349901,126.2143366,112.3692312,91.39233346,205.7233261,2.389086675,0.713176931,0.516466637,-0.050418426,0.578118856,0.694310246,0.900938806,0.089568213
SDMT,92535,4,4.5,4.25,99,7,999,0.696384933,0.007474518,96.79193464,117.8336596,181.7882696,111.5588563,107.4663456,83.40185301,203.587991,2.784182315,0.022556179,-0.174154115,-0.607722806,-0.119432461,-0.082057884,0.171449323,-0.72097845
SDMT,92535,4.5,5,4.75,196,7,999,0.204035286,0.001960081,73.74485747,89.77634823,114.7977264,78.88689124,74.59827684,64.50775322,174.3749545,3.470487041,0.977503396,0.780793101,0.53494298,0.910099589,0.965997251,1.111329238,0.116906768
SDMT,92535,5,5.5,5.25,27,7,999,0.259559864,0.000519301,75.02992516,91.34077845,128.0654403,74.1362026,54.34363934,61.58561662,150.944977,3.116591491,-1.02205017,-1.218760464,-1.55670452,-1.010067111,-0.699490709,-0.824591481,-1.721078514
SDMT,92535,5.5,6,5.75,82,7,999,0.371754864,0.005634518,90.23229036,109.8480057,148.6070712,100.181449,104.0245857,80.96557639,210.8903606,3.216607819,-0.095668102,-0.292378397,-0.594586469,-0.200263785,-0.237908025,0.012695166,-0.944619133
SDMT,92535,6,6.5,6.25,79,7,999,0.301312033,0.001538103,84.72348239,103.1416307,139.9558128,85.59932739,74.9980392,72.18413334,181.6573304,3.206815687,-0.069944953,-0.266655247,-0.571878897,-0.080229573,0.051985883,0.090227591,-0.83267426
SDMT,92535,6.5,7,6.75,72,7,999,0.510887323,0.002848819,96.98876863,118.0732836,173.2327805,98.37280182,84.07891513,83.78615589,201.552024,2.91482615,-0.297929065,-0.49463936,-0.877970123,-0.312098243,-0.155089705,-0.151601671,-1.029381413
SDMT,92535,7,7.5,7.25,206,7,999,0.835020401,0.006753626,111.8711385,136.1909512,212.5615705,115.058459,101.682076,98.50550171,230.3499016,2.698526101,0.610528509,0.413818215,-0.031355521,0.58243583,0.706025125,0.737763767,-0.111723295
SDMT,92535,7.5,8,7.75,216,7,999,0.920869795,0.008733005,117.6942947,143.2800109,223.3842401,120.6575354,110.5203695,103.9694975,242.409392,2.692458533,0.607187868,0.410477574,-0.033614931,0.582322161,0.670078564,0.731180845,-0.115349592
SDMT,92535,8,8.5,8.25,231,7,999,0.723858883,0.007532718,113.4970814,138.17036,205.6694019,114.7591379,106.7423786,100.9432963,241.1594683,2.83724054,0.710640588,0.513930294,0.116147676,0.699582232,0.771999456,0.827858774,-0.043040698
SDMT,92535,8.5,9,8.75,217,7,999,0.895341315,0.008592959,120.445269,146.6290232,224.908777,120.0658581,109.5958045,106.9623213,249.3981906,2.73244371,0.588701903,0.391991608,-0.035797531,0.591856944,0.68309826,0.707420718,-0.139153425
SDMT,92535,9,9.5,9.25,196,7,999,1.001546324,0.012230648,127.4531346,155.1603378,234.2852706,127.9259611,126.0991168,113.6789802,265.0294966,2.772023521,0.430365934,0.23365564,-0.178424819,0.426662992,0.44104642,0.544736146,-0.301726468
SDMT,92535,9.5,10,9.75,220,7,999,0.963574833,0.01768123,131.2187364,159.7445487,231.309269,133.6893637,145.7735324,118.2793622,281.6870518,2.900110632,0.516761872,0.320051578,-0.050128096,0.498108619,0.411573277,0.620578244,-0.247169163
SDMT,92535,10,10.5,10.25,215,7,999,1.26820212,0.013990802,136.7484,166.476313,259.1995016,133.9132482,128.0408114,122.3748711,277.288281,2.663781142,0.452495287,0.255784993,-0.186960014,0.473445839,0.518288976,0.563548981,-0.254419663
SDMT,92535,10.5,11,10.75,154,7,999,2.107884817,0.036887412,163.2662102,198.7588646,313.3819256,165.9903114,189.2923282,144.5996216,319.5477024,2.605782979,-0.058429458,-0.255139752,-0.710470054,-0.074976819,-0.206339928,0.06298391,-0.729953964
SDMT,92535,11,11.5,11.25,184,7,999,2.328591799,0.038498228,165.7527444,201.7859497,319.1275589,166.689876,188.0746917,149.0828325,325.287397,2.592515346,0.104438571,-0.092271723,-0.550655136,0.098800702,-0.021903423,0.210433683,-0.569773332
SDMT,92535,11.5,12,11.75,161,7,999,1.303093304,0.024662239,146.8300813,178.7496642,257.2419819,143.9617663,162.974265,133.759002,309.0575223,2.895325239,0.092128356,-0.104581938,-0.468612841,0.111856612,-0.01218794,0.185364677,-0.652123051
SDMT,92535,12,12.5,12.25,176,7,999,1.379292747,0.034024522,152.9430697,186.1915631,263.3362356,152.1042171,185.0649521,140.123588,325.8157844,2.945523684,0.140418236,-0.056292058,-0.402947683,0.14591807,-0.050222861,0.22795919,-0.615848148
SDMT,92535,12.5,13,12.75,149,7,999,1.458955409,0.022121384,151.2454056,184.1248416,271.5044619,143.3367173,151.1949663,137.8275477,311.3459347,2.80797596,-0.014957414,-0.211667709,-0.600032268,0.038749777,-0.014623866,0.077943057,-0.736958318
SDMT,92535,13,13.5,13.25,128,7,999,2.822099979,0.015876535,164.110491,199.7866848,349.6385139,152.5728389,133.6523915,149.0343069,302.5971686,2.303203077,-0.248509663,-0.445219957,-1.004869539,-0.17561185,-0.043212072,-0.152146263,-0.86037218
SDMT,92535,13.5,14,13.75,207,7,999,1.117065293,0.006845225,136.6444188,166.3497273,245.7185809,118.9549859,104.3259863,122.8784997,271.9321173,2.80807438,0.415336725,0.21862643,-0.171468108,0.553973641,0.685198313,0.521522733,-0.272833673
SDMT,92535,14,14.5,14.25,135,7,999,2.8938219,0.038913761,181.0918686,220.4596661,355.9008912,171.3319324,181.303275,164.4221392,346.3849589,2.510324119,-0.293729685,-0.49043998,-0.969377518,-0.238328022,-0.294896403,-0.197162362,-0.942275976
SDMT,92535,14.5,15,14.75,281,7,999,6.630245334,0.058084844,213.0611164,259.3787503,489.7064436,204.7340773,206.5518544,193.3805384,370.3642915,2.087561304,0.276775613,0.080065319,-0.555451448,0.316642716,0.307803178,0.37369472,-0.276132424
SDMT,92535,15,15.5,15.25,387,7,999,7.110639655,0.136690707,238.0819986,289.8389549,503.6854784,236.5041817,301.7674483,211.67181,417.6728682,2.281980312,0.485809547,0.289099252,-0.263527329,0.492458804,0.248768011,0.603387684,-0.076273821
SDMT,92535,15.5,16,15.75,241,7,999,10.26656432,0.1248004,248.2448668,302.2111422,581.6026541,249.5062599,296.4691468,223.4856064,417.2773939,2.027960146,-0.029618692,-0.226328986,-0.880990556,-0.034687071,-0.207146222,0.075449922,-0.54895428
SDMT,92535,16,16.5,16.25,529,7,999,5.351503755,0.079762855,220.4660512,268.3934536,454.7254675,208.6988333,238.6520069,197.7621238,394.9047148,2.351818137,0.875244712,0.678534418,0.151294563,0.930096208,0.795981979,0.983923518,0.292343924
SDMT,92535,16.5,17,16.75,281,7,999,4.028458866,0.049294403,203.1855645,247.3563394,409.1772964,185.4973584,193.8913827,183.9482327,373.0270588,2.42210634,0.324234997,0.127524703,-0.37579388,0.415314028,0.37105655,0.423700295,-0.283296291
SDMT,92535,17,17.5,17.25,272,7,999,3.992225779,0.077852689,213.8137979,260.2950583,408.9841612,198.4800637,236.8942878,192.3785506,398.791836,2.560955663,0.240696533,0.043986239,-0.407874363,0.315113406,0.138188068,0.346337018,-0.3826375
SDMT,92535,17.5,18,17.75,284,7,999,2.469593687,0.027327011,182.6747839,222.3866934,341.2942271,158.2312409,155.8176919,165.894573,349.3290929,2.64390817,0.441266803,0.244556509,-0.183770703,0.584916725,0.600287556,0.537621754,-0.207040199
SDMT,92535,18,18.5,18.25,291,7,999,2.677722656,0.043247233,193.735874,235.8523683,353.0172236,170.8538343,187.3074548,175.7093321,373.6506692,2.712224545,0.40682751,0.210117216,-0.193193581,0.532514846,0.440571857,0.50449216,-0.249998054
SDMT,92535,18.5,19,18.75,237,7,999,2.197503166,0.031021628,184.3744097,224.4558032,328.1683136,158.4552834,166.7298677,167.387263,359.7851139,2.788708219,0.251091616,0.054381321,-0.325466487,0.402587711,0.351685197,0.347750073,-0.417446806
SDMT,92535,19,19.5,19.25,245,7,999,2.576115531,0.034979537,191.9002854,233.6177388,349.6998083,164.3208372,170.9856664,174.2490358,368.3206505,2.709516362,0.24428232,0.047572026,-0.355816885,0.399437369,0.35967848,0.340772694,-0.407695681
SDMT,92535,19.5,20,19.75,310,7,999,4.692156759,0.119933678,236.2917936,287.6595748,441.0466205,216.5772927,281.6619718,211.9246332,437.056902,2.614842018,0.271504843,0.074794548,-0.352578288,0.358624804,0.095864627,0.38034159,-0.3434911
SDMT,92535,20,20.5,20.25,233,7,999,13.33951441,0.187468927,284.2319008,346.0214445,659.1944028,274.716481,335.54789,257.4212489,469.7450439,2.028947696,-0.198752004,-0.395462298,-1.039980034,-0.164701134,-0.364726235,-0.09967539,-0.701151634
SDMT,92535,20.5,21,20.75,251,7,999,15.81799766,0.061274873,250.8464142,305.3782433,705.2787215,239.5482368,203.8629976,242.0689552,409.2197944,1.637737891,0.000612083,-0.196098211,-1.033140135,0.046698136,0.208004751,0.036230315,-0.488799467
SDMT,92535,21,21.5,21.25,264,7,999,10.21841504,0.07624967,252.4470149,307.3268008,598.2304293,228.7679924,221.2075081,233.0072266,422.1954497,1.986489853,0.044747718,-0.151962576,-0.81802691,0.143240747,0.176847891,0.124879635,-0.469519255
SDMT,92535,21.5,22,21.75,249,7,999,8.569313148,0.173659773,274.8843376,334.6418023,560.592705,251.8402522,322.5509148,244.8163072,472.0347454,2.346345255,-0.098897522,-0.295607816,-0.811541729,-0.01134207,-0.258808103,0.016944734,-0.6395997
SDMT,92535,22,22.5,22.25,353,7,999,7.741973001,0.402805875,301.6092232,367.1764456,540.4689316,284.0151669,488.4388809,260.3535366,529.2333439,2.706085733,0.15733584,-0.039374454,-0.425969098,0.217440416,-0.324746291,0.304427593,-0.404961381
SDMT,92535,22.5,23,22.75,293,7,999,12.07316813,0.090334146,266.1871647,324.0539396,641.9077143,242.5308059,239.421773,246.6877908,439.6589486,1.940538446,0.095972921,-0.100737373,-0.784271937,0.189043872,0.201945872,0.172049077,-0.405826701
SDMT,92535,23,23.5,23.25,215,7,999,15.7518295,0.057612544,256.284734,311.9988066,712.0735294,238.7642001,197.7019931,248.4240805,417.7981192,1.654111167,-0.17565104,-0.372361335,-1.19754315,-0.104838426,0.083877217,-0.14449926,-0.664360319
SDMT,92535,23.5,24,23.75,237,7,999,15.07964026,0.063316222,260.8101985,317.5080678,701.7434434,240.3119037,205.8699333,250.2872365,425.103351,1.713469931,-0.095732793,-0.292443087,-1.085507731,-0.013877537,0.140815564,-0.054549063,-0.584272177
SDMT,92535,24,24.5,24.25,281,7,999,11.73632567,0.142212226,286.4901799,348.7706537,638.9209898,256.8404826,287.9648505,259.6851099,473.8747433,2.111366932,-0.01934959,-0.216059884,-0.821426131,0.089899467,-0.024483756,0.078884888,-0.522588363
SDMT,92535,24.5,25,24.75,259,7,999,15.51619741,0.182834762,306.48608,373.1134887,712.3313185,280.0464818,321.6560426,277.6062528,493.1620681,2.008752982,-0.168344277,-0.365054571,-1.011715076,-0.078127534,-0.216654722,-0.069375691,-0.644009797
SDMT,92535,25,25.5,25.25,302,7,999,13.66860032,0.071870909,269.2526672,327.7858557,679.9364779,239.7596317,213.8554609,253.6639654,438.5959284,1.836371072,0.114776795,-0.081933499,-0.811572362,0.23079013,0.345126647,0.174416597,-0.373151535
SDMT,92535,25.5,26,25.75,300,7,999,14.18813855,0.118181646,289.7194429,352.7019305,690.9874469,257.8556518,261.4503968,267.2313864,470.3477647,1.95302347,0.034869458,-0.161840836,-0.834339182,0.151382535,0.137537896,0.115667576,-0.449689871
SDMT,92535,26,26.5,26.25,259,7,999,14.96272245,0.344618933,337.7366307,411.1576373,706.492116,305.7729262,428.7161309,295.8772842,543.4080208,2.252213403,-0.265438331,-0.462148625,-1.003483981,-0.166014694,-0.503966939,-0.133116726,-0.741032396
SDMT,92535,26.5,27,26.75,269,7,999,11.7240044,0.130978645,292.4342252,356.0068829,644.7748958,252.8618078,273.317804,265.0111153,480.6154865,2.132263409,-0.083528391,-0.280238685,-0.874189878,0.061868254,-0.015923856,0.01493961,-0.580356166
SDMT,92535,27,27.5,27.25,490,7,999,5.211683227,0.171520176,270.2688692,329.0229712,473.5748007,229.0902125,314.8166874,242.3923223,497.1098777,2.773747854,0.594988116,0.398277822,0.034095517,0.760289524,0.442414866,0.703847811,-0.014405692
