File Name,File Key,d,End Depth,Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),A07H,A07P,A07T,R09,H06,MC15,MC18
SDMT,92527,0,1.5,0.75,268,7,2,1.513134408,0.050123059,100.7608847,122.6654249,202.2109395,109.4436728,150.1761146,63.10344592,159.1696418,2.702311742,0.978236749,0.781526454,0.281675573,0.895576967,0.579178278,1.446211602,0.521016417
SDMT,92527,1.5,2,1.75,268,7,2,3.704756786,0.038781125,129.4573135,157.6002078,316.9422228,152.4391219,160.299257,94.92452401,203.7442758,2.082765257,0.727635779,0.530925485,-0.167732514,0.564221665,0.513944556,1.037904889,0.274121323
SDMT,92527,2,2.5,2.25,272,7,2,3.832659608,0.035219914,132.877893,161.7643915,329.1791691,160.5605384,163.1592949,101.5343674,214.5803858,2.040780728,0.716371458,0.519661163,-0.190800123,0.527131009,0.511075073,0.98540473,0.237117639
SDMT,92527,2.5,3,2.75,305,7,2,5.614063659,0.036540295,145.2840735,176.8675678,388.3560271,172.711773,163.238276,113.8076237,227.5431535,1.85703093,0.741620823,0.544910529,-0.241610738,0.568687624,0.625100827,0.985802265,0.29297187
SDMT,92527,3,3.5,3.25,139,7,2,2.845213512,0.022183775,130.4172187,158.7687879,304.3446677,152.4753251,143.5185093,103.7359748,221.3774029,2.166278157,0.063735247,-0.132975047,-0.783686901,-0.092528847,-0.031990078,0.292624966,-0.465395017
SDMT,92527,3.5,4,3.75,86,7,2,0.441707523,0.003781854,84.43426449,102.7895394,150.360132,97.03896551,87.43698145,71.28474182,179.9024181,2.981323738,0.018374,-0.178336295,-0.558686,-0.120765308,-0.016571026,0.187664991,-0.738067286
SDMT,92527,4,4.5,4.25,78,7,2,0.453900004,0.004954761,88.40623778,107.6249851,153.683844,100.4617386,96.19297352,75.78567758,192.3816805,3.049587071,-0.125233704,-0.321943998,-0.678188704,-0.253068118,-0.209647488,0.028799502,-0.902772491
SDMT,92527,4.5,5,4.75,116,7,2,0.735406749,0.009069364,103.2902045,125.7445967,187.4527836,116.5926329,117.9189786,88.10782154,214.829519,2.879939122,0.116047645,-0.080662648,-0.479936802,-0.005095898,-0.016407575,0.275028882,-0.616254588
SDMT,92527,5,5.5,5.25,61,7,2,0.900145755,0.016707078,113.0195397,137.5890049,205.0284728,130.6685087,143.8053984,98.12578216,238.9201226,2.86475058,-0.616686857,-0.813397152,-1.212274997,-0.761789784,-0.857587121,-0.475376283,-1.365255417
SDMT,92527,5.5,6,5.75,134,7,2,0.340057748,0.00557671,89.69939123,109.1992589,141.7651503,96.69430613,101.4592408,79.86478101,210.4689757,3.371214708,0.401375818,0.204665523,-0.056332017,0.326285281,0.278182651,0.517504833,-0.451498458
SDMT,92527,6,6.5,6.25,181,7,2,0.82261661,0.007982171,109.5097047,133.3161622,201.1963619,114.6200465,108.1759185,95.63306518,226.6983252,2.81550089,0.502483859,0.305773565,-0.105784325,0.456874316,0.514738254,0.637978401,-0.225123138
SDMT,92527,6.5,7,6.75,81,7,2,4.296402362,0.056524664,173.1180482,210.7524065,383.3021575,190.1353301,213.6104756,145.8310584,301.8164781,2.235972197,-0.759524567,-0.956234861,-1.554374446,-0.853286928,-0.969704994,-0.587999663,-1.31536999
SDMT,92527,7,7.5,7.25,184,7,2,2.595390672,0.017976098,146.2257758,178.0139879,318.977897,150.3714352,135.0689793,125.7967586,263.8172375,2.284506116,0.229783921,0.033073627,-0.550186054,0.20182729,0.309150152,0.38026818,-0.360320824
SDMT,92527,7.5,8,7.75,229,7,2,2.644115794,0.018242294,149.0562544,181.4597879,324.7899221,151.4337701,135.4406228,128.6538529,268.8613043,2.282144141,0.429398223,0.232687929,-0.349456576,0.413573635,0.525188667,0.576596517,-0.160473646
SDMT,92527,8,8.5,8.25,295,7,2,3.805093214,0.070419499,181.8523437,221.3854619,376.5647014,196.9206371,240.887143,154.3232799,326.462981,2.396451192,0.483780297,0.287070003,-0.244114526,0.404174566,0.202646819,0.647925734,-0.101341205
SDMT,92527,8.5,9,8.75,241,7,2,2.719230412,0.025743917,159.1435508,193.7399749,331.7201531,161.4333821,158.9350419,137.485478,290.0097683,2.387143606,0.414990303,0.218280009,-0.319494768,0.400704371,0.416301356,0.561278637,-0.185117673
SDMT,92527,9,9.5,9.25,298,7,2,2.794531799,0.019948265,158.5288055,192.9915893,344.5101523,156.0898568,138.8916162,137.2416285,284.5844519,2.274228001,0.631157172,0.434446877,-0.145030073,0.64666164,0.763399597,0.775350403,0.046063434
SDMT,92527,9.5,10,9.75,319,7,2,3.452192129,0.038677804,175.8683602,214.1006124,375.6530289,177.1611059,180.3892066,151.6809147,314.8193732,2.307313822,0.595455341,0.398745047,-0.163474819,0.588131581,0.570074327,0.743412034,0.013192047
SDMT,92527,10,10.5,10.25,284,7,2,5.139540072,0.153550277,214.9870188,261.7233272,427.6788897,232.1441727,335.5011018,182.6249299,382.544355,2.479497832,0.27839659,0.081686295,-0.409398418,0.201615625,-0.166651002,0.441539752,-0.297870369
SDMT,92527,10.5,11,10.75,253,7,2,2.798910867,0.053745626,177.5842728,216.1895495,340.3528842,179.962457,212.412912,155.4057998,336.277178,2.602051984,0.353944216,0.157233922,-0.296593485,0.340641232,0.17485741,0.48734973,-0.284546266
SDMT,92527,11,11.5,11.25,291,7,2,2.19584439,0.018022888,157.1470671,191.3094729,311.592392,148.2245775,136.3552138,138.8029381,294.5971035,2.512457493,0.616141167,0.419430873,-0.068372631,0.674594728,0.75805992,0.740268051,-0.012285405
SDMT,92527,11.5,12,11.75,256,7,2,2.044870602,0.036439438,166.0752445,202.1785585,304.666285,161.7497728,180.881779,147.426032,326.2327214,2.735479951,0.432736479,0.236026185,-0.174039586,0.459126916,0.347333781,0.551850872,-0.242433552
SDMT,92527,12,12.5,12.25,255,7,2,2.275094014,0.031872954,168.7220463,205.400752,318.9578686,160.7365217,168.6562622,149.7800391,324.2592654,2.639737291,0.413010881,0.216300587,-0.223795476,0.461497032,0.413400853,0.532095733,-0.240279852
SDMT,92527,12.5,13,12.75,247,7,2,2.435503851,0.031564844,172.3469001,209.8136175,329.3103406,162.8332822,168.9930058,152.8260016,327.3112416,2.603410226,0.35987903,0.163168736,-0.287612254,0.416661468,0.379531008,0.480088307,-0.281523191
SDMT,92527,13,13.5,13.25,243,7,2,2.166506007,0.051163119,177.8872272,216.5583636,317.6038527,171.2479091,205.532367,158.1007606,351.6263519,2.805668594,0.311911649,0.115201354,-0.267743417,0.349949176,0.167457918,0.429828888,-0.369507668
SDMT,92527,13.5,14,13.75,306,7,2,3.767598353,0.127963602,214.3724616,260.9751707,393.3308389,214.9100171,303.9654504,186.662417,401.502669,2.698968775,0.355870125,0.159159831,-0.251065985,0.353365687,0.006671057,0.494283373,-0.271629079
SDMT,92527,14,14.5,14.25,285,7,2,4.280249319,0.089737551,212.8946099,259.1760468,415.1517745,205.9233292,252.0457147,186.4481998,387.2489386,2.517381509,0.291691926,0.094981632,-0.376154995,0.324985269,0.122878702,0.424335729,-0.306578558
SDMT,92527,14.5,15,14.75,247,7,2,7.965799952,0.178087893,252.0106598,306.7955858,529.6647998,252.3349243,336.6764805,217.9089038,429.0157044,2.295969607,-0.020083051,-0.216793345,-0.762856017,-0.021368933,-0.309734134,0.125311234,-0.552105189
SDMT,92527,15,15.5,15.25,352,7,2,9.927495424,0.14576853,255.1074273,310.5655636,573.4139764,250.8465746,300.014474,223.2805268,422.2201701,2.125002833,0.321946436,0.125236142,-0.487976752,0.33878968,0.159800455,0.455202227,-0.181895732
SDMT,92527,15.5,16,15.75,309,7,2,4.429914185,0.107770586,223.0711676,271.5648997,423.808061,212.0317368,270.2191649,195.6126145,406.8558747,2.582210507,0.325850419,0.129140125,-0.31593939,0.376605312,0.134107925,0.45720503,-0.27511773
SDMT,92527,16,16.5,16.25,260,7,2,5.839085341,0.081686195,227.4685516,276.9182368,471.5058303,211.5723308,233.9992317,200.6573783,396.3855242,2.335877614,0.133669637,-0.063040658,-0.595249836,0.206114701,0.105363799,0.259082763,-0.421705653
SDMT,92527,16.5,17,16.75,254,7,2,11.1130673,0.044024914,226.7254331,276.0135707,603.5727762,215.5052628,179.584086,210.9018924,370.3553281,1.757871956,0.113594527,-0.083115767,-0.865532356,0.164348936,0.346690723,0.185941207,-0.377128624
SDMT,92527,17,17.5,17.25,279,7,2,18.18423857,0.061414442,243.5860918,296.5395901,730.3861629,243.1354342,200.5822514,234.6542986,391.0466841,1.53086603,0.135741342,-0.060968952,-0.962361603,0.137593151,0.329987388,0.173098421,-0.337615168
SDMT,92527,17.5,18,17.75,296,7,2,8.470078122,0.032888583,219.7126329,267.4762487,546.8380531,199.7111808,163.0606564,201.1812469,361.1225333,1.896859563,0.298038976,0.101328682,-0.61379324,0.393487227,0.596237198,0.386153227,-0.198857874
SDMT,92527,18,18.5,18.25,350,7,2,11.77180437,0.05072085,237.5244463,289.1601955,622.0617832,222.4288175,189.2642144,220.3656607,385.6774109,1.784038359,0.387662605,0.19095231,-0.575106263,0.453326025,0.614789156,0.462644894,-0.097068143
SDMT,92527,18.5,19,18.75,326,7,2,14.60709825,0.131486124,274.313115,333.9464008,677.1764573,262.7326424,278.3208014,247.879517,440.2188957,1.896255207,0.172627172,-0.024083122,-0.731034504,0.215760435,0.158122971,0.273954572,-0.300374712
SCPT,205818,0,0.5,0.25,30,6,2,0.86279651,0.053159159,77.40849117,94.23642403,145.9722844,77.37775366,121.0616875,42.75779584,120.1106788,3.007885146,-0.947899098,-1.144609392,-1.582219389,-0.947501937,-1.395102848,-0.354354156,-1.387216259
SCPT,205818,0.5,1,0.75,30,6,2,0.230360116,0.005833915,59.50835621,72.44495539,100.0835103,59.96769337,65.92204837,42.72605134,125.295949,3.350089641,-0.684919362,-0.881629656,-1.204807559,-0.692608592,-0.787275577,-0.353611454,-1.429481149
SCPT,205818,1,1.5,1.25,118,6,2,0.271510088,0.015274912,70.77416549,86.15985364,113.7959295,75.20613886,102.5529724,54.85159695,162.4118247,3.459181698,0.511190585,0.31448029,0.036277872,0.450451763,0.140305155,0.766053323,-0.319450613
SCPT,205818,1.5,2,1.75,82,6,2,0.348191037,0.010062725,76.32946719,92.92282963,129.7489056,77.09062903,89.14786889,60.37660189,168.0035359,3.212508552,0.071660182,-0.125050112,-0.45888184,0.061737517,-0.083577192,0.306117603,-0.717265779
SCPT,205818,2,2.5,2.25,86,6,2,0.322954017,0.005838465,75.87095125,92.3646363,131.0651165,74.03947887,75.81980107,61.25261793,166.792345,3.136142752,0.125313409,-0.071396885,-0.421346976,0.149748847,0.12598781,0.339340706,-0.662402299
SCPT,205818,2.5,3,2.75,81,6,2,0.300069755,0.003942187,75.1932846,91.53965082,130.1851768,71.52702651,67.80430608,62.04853432,166.7001668,3.11431201,0.074387228,-0.122323066,-0.474508719,0.124373783,0.17782345,0.266532264,-0.721747636
SCPT,205818,3,3.5,3.25,97,6,2,0.463151274,0.008540003,88.21101314,107.3873203,156.6707708,86.71407088,90.9202033,73.78889726,192.9319372,2.995581986,0.094979158,-0.101731136,-0.479435624,0.112094814,0.064728743,0.273502702,-0.687626491
SCPT,205818,3.5,4,3.75,124,6,2,1.072254603,0.027361506,114.9536701,139.9435983,217.3246534,119.3057539,148.0819168,95.45379389,234.2145047,2.753983482,0.075752387,-0.120957907,-0.561110769,0.038592007,-0.177484047,0.261639269,-0.635955817
SCPT,205818,4,4.5,4.25,186,6,2,4.717973578,0.032577606,146.0137704,177.7558944,379.5247815,150.9353114,146.5823992,124.1340913,250.0429067,1.896848007,0.242045739,0.045335444,-0.713173221,0.20889533,0.238158951,0.404384311,-0.295885856
SCPT,205818,4.5,5,4.75,244,6,2,4.225355218,0.068831465,160.7330134,195.6749729,371.7956829,174.5495375,215.1820704,134.0961273,283.230723,2.151552149,0.417423539,0.220713244,-0.421176239,0.334959641,0.125683716,0.598611315,-0.149093616
SCPT,205818,5,5.5,5.25,129,6,2,2.177903769,0.045511973,140.5921494,171.1556602,288.8998355,153.7753857,190.5931051,121.1053536,273.9501681,2.467068054,-0.086050737,-0.282761032,-0.806267634,-0.175680599,-0.390328411,0.063151547,-0.753133817
SCPT,205818,5.5,6,5.75,189,6,2,2.835518996,0.08095803,157.9952052,192.3419889,322.4322746,181.0926092,257.891572,135.3402593,302.7253026,2.470263288,0.179182329,-0.017527965,-0.534146098,0.042738462,-0.310792218,0.333954968,-0.471078787
SCPT,205818,6,6.5,6.25,157,6,2,15.60956412,0.366776814,248.3671914,302.3600591,623.0018048,302.6331189,525.8727892,200.7415252,381.0688497,1.918505185,-0.458662456,-0.655372751,-1.37830361,-0.656275438,-1.208813533,-0.245772331,-0.886734261
SCPT,205818,6.5,7,6.75,308,6,2,18.39726656,0.320161434,251.8887444,306.6471672,668.4768929,299.1699166,468.0488004,207.6429862,382.229479,1.795488299,0.201112283,0.004401989,-0.774902047,0.029088088,-0.418472782,0.39427959,-0.215921376
SCPT,205818,7,7.5,7.25,232,6,2,7.927771623,0.147428975,208.0770755,253.3112224,493.0268031,239.4568025,335.1337385,175.9359846,349.701224,2.052868148,0.108828805,-0.087881489,-0.753826168,-0.031635664,-0.3677923,0.276617167,-0.410341773
