Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.01,1.0,0.99,7.8427189668428285,0.05694218669122326,0.0010572453600526934,121.63016110929344,148.07150048087902,363.08885560384584,122.66190805761084,128.6313489383377,71.52842542189332,146.57144053261152,1.7285339924674752
2,1.01,2.0,0.99,12.40779358205852,0.10215582172067628,0.001922857418740496,161.97259615373534,197.1840301001996,494.87272618356326,202.68430414071838,227.81141239001866,116.98641138336772,223.70841457171878,1.6125508475300112
3,2.01,3.68,1.6700000000000004,6.053392295811845,0.07424639998275406,0.0015123700848128046,161.43712287778678,196.532149590349,400.83045452589954,199.7120573119465,231.0032900714884,122.77914266504085,251.05982761524155,1.9687179137928774
4,3.69,5.03,1.3400000000000003,12.091606051817738,0.11207397234152922,,202.09136701181373,246.02427288394745,545.2239729059078,238.2052532775728,263.3712021392168,158.52431361387661,297.40875399093835,1.7127168800007093
5,5.04,6.03,0.9900000000000002,8.070102538042143,0.08681955964741714,0.0005999999999999997,197.85899052071233,240.8718145469538,478.48509241200077,221.4898280309057,241.07018534626772,156.5798147422364,304.89472842173006,1.908860510020461
6,6.04,7.66,1.62,5.1613804161438175,0.044098467607485405,,182.6742989202038,222.38610303329185,411.9370606625602,190.0549847900651,183.33143947193525,147.22419328014078,293.6152863566954,2.0359716929559086
7,7.67,10.18,2.51,9.232822238306133,0.08116377323889806,0.001865158788143126,223.14729655576016,271.65757841570814,528.0416004169871,227.330548926421,228.11966036446046,181.20437142425754,341.2377077986568,1.889952447290681
8,10.19,11.18,0.9900000000000002,11.666629666019512,0.06691879884268562,0.001949712598532303,232.2066377385725,282.6863415947838,587.9554985452895,231.43781393706277,209.37161509318807,194.05895531082186,349.1533731643958,1.7283907068449949
9,11.19,12.21,1.0200000000000014,8.719060294476566,0.06540666454428357,0.0027009474982178437,230.34212659922926,280.41650194688816,530.8029368741852,219.59146113253442,207.54836564507661,190.48410722558813,355.43944006358277,1.9239443264565268
10,12.22,13.79,1.5699999999999985,20.794711692131187,0.07404027116446066,0.004075969607723252,251.03837116175237,305.6119301099598,747.6096873438805,260.56659809805194,217.62507913732972,224.6038686291048,373.37541627321144,1.4349731764837304
11,13.8,15.17,1.3699999999999992,23.299331421399277,0.14308605555498305,0.0026429476835596053,284.8247553093394,346.74318037658725,789.1699871126486,290.7664206471986,284.0722757033507,248.49606262701286,418.38542565630974,1.561610948686632
12,15.18,16.98,1.8000000000000007,24.470322775625057,0.060698947148875276,0.003977933482437873,255.46627300217332,311.00241930699343,812.4418438615162,264.6134042801615,204.27399689618954,239.9217931392736,384.3983800439089,1.326827196464258
13,16.99,17.99,1.0,23.76158736250761,0.09271433042302805,0.0033889351535959416,278.1007314492752,338.55741219911806,810.1145021328459,277.09251923868845,238.1049451386085,253.33539181389372,414.84024178629534,1.4681191252664334
14,18.0,19.0,1.0,23.35964449652885,0.12366173148905399,0.004569205767436411,294.14093249127586,358.08461346764096,809.3689267198625,285.1796103425484,262.8054321885891,262.9003936817505,436.77502523133495,1.5656985336136306
