File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs
SCPT_57351_Raw01_result_layers_stats.csv,1,0.06,2.14,1.1,68.0,1.0,2.08,1.3645421916265776,0.0166051134216125,0.0024963737373783,94.07870437708068,114.53059663296784,201.7664255344201,96.5811238041202,98.21841693586067,63.10308603888701,151.80186527896507,2.48911221634997,1.0
SCPT_57351_Raw01_result_layers_stats.csv,2,2.16,3.68,2.92,81.0,3.0,1.52,0.5859065983944628,0.0170375395416261,0.0068058617246496,93.76961749496084,114.15431695038735,164.17505281815457,106.04228442969688,129.4345247500066,78.2320691685173,205.22267507333515,3.0431535378154924,3.0
SCPT_57351_Raw01_result_layers_stats.csv,3,3.7,5.0,4.35,134.0,4.5,1.2999999999999998,3.4141010961981983,0.0223314980250712,0.0185,134.96990258144098,164.31118575131936,335.61111081241364,147.14133785970523,135.58331134097693,115.50571458126484,238.769415317854,1.996903967853888,4.5
SCPT_57351_Raw01_result_layers_stats.csv,4,5.02,6.36,5.6899999999999995,126.0,5.5,1.3400000000000007,0.532028761677151,0.0119728135479777,0.036015556760902,100.19459467617855,121.97602830143472,171.92662532944124,110.78504545742165,126.48929562460528,90.46392126862332,232.52945351159445,3.0717551209314222,5.5
SCPT_57351_Raw01_result_layers_stats.csv,5,6.38,7.36,6.87,147.0,7.0,0.9800000000000004,2.718057873629672,0.0210938308542383,0.0668255784649686,141.34790786218448,172.07571391918117,323.179712271835,150.15876760365643,141.71714739925713,126.4221691832524,265.807001653069,2.1688070270970123,7.0
SCPT_57351_Raw01_result_layers_stats.csv,6,7.38,9.08,8.23,116.0,8.0,1.7000000000000002,0.8161321047755092,0.0159430000961481,0.0784343103087101,118.93532906219896,144.79083538006876,211.9807531518436,127.69575835348046,142.74595739100886,109.1906324588936,265.84987031672614,2.901979802296803,8.0
SCPT_57351_Raw01_result_layers_stats.csv,7,9.1,10.5,9.8,125.0,10.0,1.4000000000000004,0.5401720934253845,0.0173460913043529,0.2070087160039906,118.29774213269376,144.0146425963229,191.0217363748596,123.55638058941707,152.02567131754498,108.7955848437223,280.13066260908494,3.2735334972712837,10.0
SCPT_57351_Raw01_result_layers_stats.csv,8,10.52,11.7,11.11,161.5,11.0,1.1799999999999995,4.516305385372598,0.0293883694917916,0.0348638489838208,173.92824646453786,211.73873482639345,411.7322042401686,171.84920229608562,157.29735511942314,159.81405422582355,314.6155471447044,2.046493715725532,11.0
SCPT_57351_Raw01_result_layers_stats.csv,9,11.72,14.36,13.04,163.0,13.0,2.639999999999999,3.072892464473714,0.0309510453907644,0.0759268820170315,172.88761516662638,210.47187933328416,361.785579279792,166.44914400418756,165.62522499063763,158.70400749807553,328.7982813969092,2.3474368495330613,13.0
SCPT_57351_Raw01_result_layers_stats.csv,10,14.38,15.46,14.920000000000002,147.5,15.0,1.08,0.9829515773646366,0.026856614185322,0.2560670964493142,150.87373857612067,183.67237739701685,246.99224219862072,140.53054374082532,167.42790554456417,138.24011612838297,331.2987384124785,3.1493068941640745,15.0
SCPT_57351_Raw01_result_layers_stats.csv,11,15.48,16.46,15.97,160.0,16.0,0.9800000000000004,1.5394098561547802,0.0272361015634678,0.2602052104509829,165.1722082701842,201.0792100680502,294.74451743544694,149.9090096894588,162.6687376877735,150.4571778684098,338.7920530812465,2.841049976903155,16.0
SCPT_57351_Raw01_result_layers_stats.csv,12,16.48,18.0,17.240000000000002,198.0,17.0,1.5199999999999996,20.05271706538268,0.0885226076048811,0.0101358721804895,249.07742996388356,303.22469734733687,757.93656322675,253.17474698636664,228.09545803952025,245.2751030181336,410.3177112901084,1.5024253911499097,17.0
SCPT_57351_Raw01_result_layers_stats.csv,13,18.02,19.0,18.509999999999998,239.0,18.5,0.9800000000000004,1.448237313256169,0.0244431352189826,0.4742978515325456,171.18246275617318,208.39604161621088,298.5528878116926,146.48473444849378,156.08270529247602,153.99977009406228,346.6177763791048,2.926665829448796,18.5
