File Name,File Key,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs,Subset_Region,Subset_Geology,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_14526_Raw03_result_layers_stats.csv,14526,1,0.02,1.52,0.77,245.5,5,1.5,4.41367517,0.022409856,0.0238,108.9655305,132.6536894,304.0754499,107.9728529,95.5264997,68.62394009,144.0386293,1.854632029,5,2,3,0.812265349,0.615555054,-0.213978914,0.821417114,0.943893254,1.274655492,0.533215425
SCPT_14526_Raw03_result_layers_stats.csv,14526,2,1.54,2.52,2.03,245.5,5,0.98,5.066558772,0.013962126,,123.1484782,149.9198865,362.3380973,141.1397797,108.8732578,94.96602799,185.474202,1.67983185,5,2,3,0.68990618,0.493195886,-0.389280799,0.553546203,0.813112514,0.94977772,0.280381148
SCPT_14526_Raw03_result_layers_stats.csv,14526,3,2.54,5.4,3.97,245.5,5,2.86,3.332209985,0.022347199,,139.751715,170.1325226,329.5133301,158.1075997,145.7374415,111.6302005,232.172201,2.037782126,5,2,3,0.563429563,0.366719269,-0.294319861,0.440021135,0.52149029,0.78810532,0.055817605
SCPT_14526_Raw03_result_layers_stats.csv,14526,4,5.42,6.4,5.91,245.5,5,0.98,6.215365719,0.070217563,0.0006,188.0890892,228.9780216,435.8668342,207.4715709,224.8522293,150.8999389,300.988349,1.985082832,5,2,3,0.266381218,0.069670924,-0.574039823,0.168302625,0.087853519,0.486679986,-0.203774609
SCPT_14526_Raw03_result_layers_stats.csv,14526,5,6.42,7.48,6.95,307.09,7,1.06,17.00235584,0.344226925,0.004475465,271.2711066,330.2430863,650.6078912,315.0861006,465.9412732,208.2185293,388.4783239,1.896528734,7,2,3,0.12402215,-0.072688144,-0.750766279,-0.025705072,-0.416918739,0.388552714,-0.23509651
SCPT_14526_Raw03_result_layers_stats.csv,14526,6,7.5,9.38,8.44,366.99,9,1.88,6.014386733,0.100179913,0.0002,213.213772,259.564592,445.8142549,220.2332415,258.4451556,170.747158,344.7934592,2.182460316,9,2,3,0.543039313,0.346329019,-0.194567797,0.510647426,0.350651092,0.765150746,0.062389031
SCPT_14526_Raw03_result_layers_stats.csv,14526,7,9.4,11.2,10.3,393.68,11,1.8,8.992587642,0.215457942,0.006815924,258.3819855,314.5519823,530.3439879,262.9343511,354.1053289,203.8250868,401.846495,2.20280233,11,2,3,0.421099343,0.224389049,-0.297987433,0.403634011,0.105943988,0.658276188,-0.020531766
SCPT_14526_Raw03_result_layers_stats.csv,14526,8,11.22,13.9,12.56,399.76,13,2.68,3.025320643,0.0721758,0.196492107,206.8927468,251.8694308,359.8165776,186.9897543,221.0175085,168.1052444,363.5301718,2.641829893,13,2,3,0.658663839,0.461953546,0.105269972,0.759810542,0.592622445,0.866274129,0.09500207
SCPT_14526_Raw03_result_layers_stats.csv,14526,9,13.92,14.9,14.41,411.14,15,0.98,6.144339717,0.1565589,0.026072605,256.2147274,311.9135811,474.7387793,230.6738995,292.4280891,206.348288,418.6224558,2.440072032,15,2,3,0.472917917,0.276207623,-0.143830925,0.577928766,0.340715002,0.68936833,-0.018035664
SCPT_14526_Raw03_result_layers_stats.csv,14526,10,14.92,16.3,15.61,411.14,15,1.38,2.070723709,0.033369924,0.023462697,190.4218505,231.817905,315.3414768,157.567421,165.5946566,158.6731426,346.6006175,2.8171024,15,2,3,0.769691912,0.572981618,0.265277684,0.959080353,0.909390815,0.95208741,0.17076063
