File Name,File Key,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs,Subset_Region,Subset_Geology
SCPT_114319_AGS01_result_layers_stats.csv,114319,1,0.06,1.44,0.75,152,2,1.38,3.03655031,0.016619725,0.000277692,101.2801521,123.2975764,264.611512,98.79083149,86.04081023,64.10953973,139.5072083,2.002098692,2,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,2,1.45,2.44,1.945,152,2,0.99,5.163846256,0.029651798,0.000668928,131.8288332,160.4872752,363.428459,142.0455182,129.5766367,100.1449387,202.3318314,1.814911113,2,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,3,2.45,3.77,3.11,297,3,1.32,10.76085616,0.048411623,0.001443142,158.3067063,192.7212077,504.1528219,180.2370121,163.4364307,132.2236376,244.3758425,1.513492997,3,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,4,3.78,4.77,4.275,176,4,0.99,19.0273243,0.037896438,0.0026,166.1523106,202.2723781,646.9940716,188.8073824,142.1981048,153.8848095,258.0003303,1.193566951,4,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,5,4.78,6.46,5.62,237,6,1.68,11.47189869,0.017424683,,159.3224141,193.9577216,547.7074143,170.5313992,120.5270594,144.6740644,248.8965988,1.36800874,6,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,6,6.47,7.64,7.055,190,7,1.17,6.029848649,0.025583698,,163.6250579,199.1957227,438.0996542,169.9133219,143.4129693,145.1389766,276.0010062,1.804515898,7,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,7,7.65,8.64,8.145,191,8,0.99,10.1339451,0.02682295,,177.4498673,216.0259254,542.0630075,183.6213368,141.8052764,163.4435518,289.1310481,1.544007087,8,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,8,8.65,9.64,9.145,212,9,0.99,4.467284949,0.026263373,,167.7614622,204.2313453,400.7703003,169.3393379,152.6145222,149.7542208,295.127946,2.039024062,9,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,9,9.65,10.64,10.145,216,10,0.99,5.673724615,0.019143127,,171.9846454,209.3726118,443.7877262,167.9480597,133.2904938,155.4071808,291.297873,1.862031897,10,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,10,10.65,12.33,11.49,195,11,1.68,4.076437039,0.037156797,,179.0807722,218.0113749,395.8707274,177.8537201,176.930696,162.0583414,326.8455478,2.209149356,11,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,11,12.34,13.33,12.835,201,13,0.99,2.658601605,0.05192782,,179.1013087,218.0363758,339.9543651,176.5802939,207.9576383,161.6030693,350.0262025,2.618873236,13,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,12,13.34,14.33,13.835,174,14,0.99,1.461904732,0.02760716,,157.7584095,192.053716,272.4633431,147.1189467,165.684401,143.6603402,327.1574271,2.923417239,14,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,13,14.34,15.95,15.145,171,15,1.61,2.437016485,0.038621677,0.001009378,179.4679982,218.4827804,334.4867312,166.1969873,182.1257525,163.0383153,350.9669781,2.662992914,15,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,14,15.96,17.02,16.49,201,16,1.06,5.946313234,0.053261638,0.0068177,214.1523298,260.7071841,474.4491799,199.0353352,197.5155708,194.9701227,376.4095395,2.170233901,16,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,15,17.03,18.24,17.635,220,18,1.21,3.602657878,0.062529597,0.006649937,207.0077571,252.0094434,394.4812083,188.6824704,215.4550882,187.2901517,389.4762439,2.573634976,18,4,1
SCPT_114319_AGS01_result_layers_stats.csv,114319,16,18.25,20,19.125,215,19,1.75,4.330253705,0.059816569,0.005914601,215.7043108,262.5965523,426.5815109,192.584125,208.8984693,195.972215,395.7884524,2.459166197,19,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,1,0.06,1.92,0.99,244,2,1.86,4.566550667,0.021638331,0.002216299,112.583432,137.0580911,317.3779717,113.5089231,97.80523298,74.74630937,154.7384588,1.818175207,2,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,2,1.93,2.92,2.425,244,2,0.99,11.98260346,0.061153235,0.004086231,158.1131955,192.4856293,512.5520319,183.6619638,174.835991,127.7866176,236.7658476,1.49217269,2,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,3,2.93,4.86,3.895,241,4,1.93,8.355563504,0.029136491,0.001563853,152.2272173,185.3200907,467.8844619,167.6105988,138.606065,130.0228927,241.5461449,1.569657846,4,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,4,4.87,6.13,5.5,154,5,1.26,12.15027487,0.020959934,0.003006834,162.5024811,197.8291074,558.9690934,174.8244471,126.749723,147.3075901,253.7657877,1.366735565,5,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,5,6.14,7.13,6.635,158,7,0.99,4.606133925,0.018586637,0.00628132,151.7544528,184.7445513,392.9554948,158.6407635,132.7942266,133.6716405,260.1873294,1.88224172,7,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,6,7.14,8.65,7.895,210,8,1.51,9.149563694,0.018606177,0.010498582,172.274076,209.724962,519.722065,177.1519518,134.915138,154.8523981,273.2684366,1.568946291,8,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,7,8.66,9.65,9.155,187,9,0.99,4.647063873,0.030342283,,170.7078854,207.8182953,407.0872419,173.3032256,160.4017489,152.4693345,300.8902017,2.041744053,9,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,8,9.66,11.26,10.46,203,10,1.6,10.51094038,0.047462263,,200.5907057,244.1973808,563.5542849,204.7632126,179.3535512,184.6637073,331.8012859,1.679974401,10,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,9,11.27,12.26,11.765,197,12,0.99,4.115999092,0.041740187,,183.7752722,223.7264183,398.2749612,181.0129075,184.1100273,164.9667709,333.8916914,2.255881448,12,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,10,12.27,13.99,13.13,223,13,1.72,5.796205122,0.035898739,,194.6512532,236.966743,459.0745719,186.1733062,169.074207,176.4299233,337.4494385,2.039920927,13,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,11,14,14.99,14.495,222,14,0.99,7.158853207,0.045937958,,208.320679,253.6077831,502.6592989,199.6643907,185.249202,190.8403684,357.8774463,1.978095409,14,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,12,15,16.1,15.55,229,16,1.1,5.955092016,0.058920581,,213.8809273,260.3767811,471.8608985,202.2653252,207.3062144,193.4680859,375.7622066,2.183741419,16,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,13,16.11,17.46,16.785,250,17,1.35,10.30738407,0.073394869,0.021416562,235.7027022,286.94242,586.4351247,226.3135218,219.927198,217.7993342,395.7934713,1.895135294,17,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,14,17.47,18.88,18.175,227,18,1.41,4.027226856,0.078208467,0.012516404,217.6117037,264.9185958,412.6068622,198.0335989,234.5395197,195.5158329,404.3699383,2.581696555,18,4,1
SCPT_114322_Raw01_result_layers_stats.csv,114322,15,18.89,20,19.445,171,19,1.11,1.035525859,0.024992276,0.200902893,164.4659982,200.219476,251.4706184,135.4849371,158.0078087,149.0358673,351.1073506,3.324239957,19,4,1
SCPT_124801_Raw01_result_layers_stats.csv,124801,1,0.03,1.02,0.525,124.7,1,0.99,4.289631766,0.007358259,0.000809438,93.38058307,113.6807098,290.7972322,86.90845475,61.69023919,56.66361834,114.2814169,1.660587724,1,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,2,1.03,2.85,1.94,152.6,2,1.82,2.734907901,0.004326417,0.0004,104.6167244,127.3594906,284.1906636,111.4378671,77.57227538,77.22071431,155.5697064,1.86100526,2,6,4
SCPT_124801_Raw01_result_layers_stats.csv,124801,3,2.86,4.67,3.765,230.5,4,1.81,4.340984045,0.014881827,0.005305935,136.8529363,166.6035746,363.1248101,151.0977918,119.6273756,110.8733006,218.4251769,1.780822118,4,6,4
