File Name,File Key,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs,Subset_Region,Subset_Geology,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_114319_AGS01_result_layers_stats.csv,114319,1,0.06,1.44,0.75,152,2,1.38,3.03655031,0.016619725,0.000277692,101.2801521,123.2975764,264.611512,98.79083149,86.04081023,64.10953973,139.5072083,2.002098692,2,4,1,0.405990061,0.209279767,-0.554382237,0.430875719,0.5690588,0.863287342,0.085764249
SCPT_114319_AGS01_result_layers_stats.csv,114319,2,1.45,2.44,1.945,152,2,0.99,5.163846256,0.029651798,0.000668928,131.8288332,160.4872752,363.428459,142.0455182,129.5766367,100.1449387,202.3318314,1.814911113,2,4,1,0.142376158,-0.054334136,-0.871701945,0.067732964,0.159608026,0.417261997,-0.286028558
SCPT_114319_AGS01_result_layers_stats.csv,114319,3,2.45,3.77,3.11,297,3,1.32,10.76085616,0.048411623,0.001443142,158.3067063,192.7212077,504.1528219,180.2370121,163.4364307,132.2236376,244.3758425,1.513492997,3,4,1,0.629197808,0.432487514,-0.529147301,0.49945942,0.597308027,0.809237426,0.19502476
SCPT_114319_AGS01_result_layers_stats.csv,114319,4,3.78,4.77,4.275,176,4,0.99,19.0273243,0.037896438,0.0026,166.1523106,202.2723781,646.9940716,188.8073824,142.1981048,153.8848095,258.0003303,1.193566951,4,4,1,0.057579094,-0.139131201,-1.301853137,-0.07024336,0.213262805,0.134279663,-0.38247687
SCPT_114319_AGS01_result_layers_stats.csv,114319,5,4.78,6.46,5.62,237,6,1.68,11.47189869,0.017424683,,159.3224141,193.9577216,547.7074143,170.5313992,120.5270594,144.6740644,248.8965988,1.36800874,6,4,1,0.39713023,0.200419936,-0.837681088,0.329140702,0.676185854,0.493576761,-0.048977403
SCPT_114319_AGS01_result_layers_stats.csv,114319,6,6.47,7.64,7.055,190,7,1.17,6.029848649,0.025583698,,163.6250579,199.1957227,438.0996542,169.9133219,143.4129693,145.1389766,276.0010062,1.804515898,7,4,1,0.149446494,-0.0472638,-0.835422333,0.111735636,0.281295707,0.269332329,-0.373380439
SCPT_114319_AGS01_result_layers_stats.csv,114319,7,7.65,8.64,8.145,191,8,0.99,10.1339451,0.02682295,,177.4498673,216.0259254,542.0630075,183.6213368,141.8052764,163.4435518,289.1310481,1.544007087,8,4,1,0.073585297,-0.123124997,-1.043108817,0.039397743,0.297818604,0.155805746,-0.414606611
SCPT_114319_AGS01_result_layers_stats.csv,114319,8,8.65,9.64,9.145,212,9,0.99,4.467284949,0.026263373,,167.7614622,204.2313453,400.7703003,169.3393379,152.6145222,149.7542208,295.127946,2.039024062,9,4,1,0.234043172,0.037332878,-0.636802171,0.224681656,0.328670995,0.347590852,-0.330822703
SCPT_114319_AGS01_result_layers_stats.csv,114319,9,9.65,10.64,10.145,216,10,0.99,5.673724615,0.019143127,,171.9846454,209.3726118,443.7877262,167.9480597,133.2904938,155.4071808,291.297873,1.862031897,10,4,1,0.227873206,0.031162911,-0.720067946,0.251623645,0.482747497,0.329229762,-0.299067955
SCPT_114319_AGS01_result_layers_stats.csv,114319,10,10.65,12.33,11.49,195,11,1.68,4.076437039,0.037156797,,179.0807722,218.0113749,395.8707274,177.8537201,176.930696,162.0583414,326.8455478,2.209149356,11,4,1,0.085162613,-0.111547681,-0.708088153,0.092038143,0.097241451,0.185043156,-0.51648817
SCPT_114319_AGS01_result_layers_stats.csv,114319,11,12.34,13.33,12.835,201,13,0.99,2.658601605,0.05192782,,179.1013087,218.0363758,339.9543651,176.5802939,207.9576383,161.6030693,350.0262025,2.618873236,13,4,1,0.115353292,-0.081357002,-0.52550648,0.129529212,-0.034029489,0.218161769,-0.554703108
SCPT_114319_AGS01_result_layers_stats.csv,114319,12,13.34,14.33,13.835,174,14,0.99,1.461904732,0.02760716,,157.7584095,192.053716,272.4633431,147.1189467,165.684401,143.6603402,327.1574271,2.923417239,14,4,1,0.09799049,-0.098719805,-0.448448785,0.167813878,0.048970519,0.191603534,-0.631386184
