File Name,File Key,Layer,Start Depth,End Depth,Depth,Measured Vs,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean),Depth_vs,Subset_Region,Subset_Geology,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_124801_Raw01_result_layers_stats.csv,124801,1,0.03,1.02,0.525,124.7,1,0.99,4.289631766,0.007358259,0.000809438,93.38058307,113.6807098,290.7972322,86.90845475,61.69023919,56.66361834,114.2814169,1.660587724,1,6,4,0.289227419,0.092517125,-0.846715375,0.361055532,0.703785132,0.7887785,0.087246877
SCPT_124801_Raw01_result_layers_stats.csv,124801,2,1.03,2.85,1.94,152.6,2,1.82,2.734907901,0.004326417,0.0004,104.6167244,127.3594906,284.1906636,111.4378671,77.57227538,77.22071431,155.5697064,1.86100526,2,6,4,0.377516691,0.180806396,-0.621825245,0.314352929,0.676610032,0.681152378,-0.019273785
SCPT_124801_Raw01_result_layers_stats.csv,124801,3,2.86,4.67,3.765,230.5,4,1.81,4.340984045,0.014881827,0.005305935,136.8529363,166.6035746,363.1248101,151.0977918,119.6273756,110.8733006,218.4251769,1.780822118,4,6,4,0.521343971,0.324633677,-0.454495742,0.422323607,0.655869154,0.731862749,0.053807346
SCPT_124801_Raw01_result_layers_stats.csv,124801,4,4.68,5.67,5.175,195.6,5,0.99,1.867306419,0.074435528,0.094266414,149.679742,182.2188164,273.3037064,182.8820404,262.9449327,122.887966,290.6337804,2.700612829,5,6,4,0.267573799,0.070863505,-0.334511897,0.067230401,-0.295872871,0.464798663,-0.39599223
SCPT_124801_Raw01_result_layers_stats.csv,124801,5,5.68,6.67,6.175,235.1,6,0.99,3.079164152,0.013742289,0.0017983,146.9819756,178.934579,334.7373236,150.8688182,123.2717171,120.580187,244.9247636,2.007251801,6,6,4,0.469700991,0.272990697,-0.35333516,0.44360025,0.645619954,0.667695972,-0.04094012
SCPT_124801_Raw01_result_layers_stats.csv,124801,6,6.68,7.89,7.285,191.2,7.5,1.21,2.921057017,0.018614134,0.011168517,157.9719095,192.313629,333.0226963,160.4280312,147.6414346,128.489189,265.5524664,2.176143091,7.5,6,4,0.190902771,-0.005807523,-0.554890644,0.175474562,0.258533406,0.397475232,-0.328492434
SCPT_124801_Raw01_result_layers_stats.csv,124801,7,7.9,9.73,8.815,225.3,9,1.83,3.226396569,0.089941611,0.619173399,190.5485505,231.9721484,359.9287137,201.4931571,264.3943119,156.6043496,342.2002137,2.474410447,9,6,4,0.167525827,-0.029184467,-0.468473147,0.111677426,-0.160008747,0.363710289,-0.417963139
SCPT_124801_Raw01_result_layers_stats.csv,124801,8,9.74,10.73,10.235,246.8,10,0.99,2.660974869,0.088978794,0.61380868,190.4828115,231.8921184,339.9371282,195.766348,264.8014692,158.6977776,354.5037218,2.646491567,10,6,4,0.25901633,0.062306035,-0.320182391,0.231656446,-0.07040208,0.441576668,-0.362140553
SCPT_124801_Raw01_result_layers_stats.csv,124801,9,10.74,11.73,11.235,277.7,11,0.99,6.300870121,0.167005472,0.162969323,234.6849709,285.7034428,467.2339701,241.0337113,330.0236593,194.2842472,396.4505376,2.330767331,11,6,4,0.168297329,-0.028412965,-0.520288745,0.14160459,-0.172622952,0.357219116,-0.356009891
SCPT_124801_Raw01_result_layers_stats.csv,124801,10,11.74,12.92,12.33,258.7,12.5,1.18,10.01793198,0.044515978,,217.6878422,265.0112862,562.3102445,213.0673759,182.2633638,190.9842419,342.9600784,1.727080128,12.5,6,4,0.172606969,-0.024103325,-0.776384645,0.194060655,0.350216394,0.303478168,-0.281944962
