File Name,File Key,Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs,Subset_Region,Subset_Geology,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_14538_Raw02_result.csv,14538,0.02,1.061,0.0003,0.0467,48.59772302,59.16244541,126.7717929,27.94719333,18.82832014,15.30411573,34.66860775,2.234982421,230.5,2,1,1.556674184,1.35996389,0.597862299,2.109934085,2.504888736,2.712129068,1.894416261
SCPT_14538_Raw02_result.csv,14538,0.04,2.063,0.0009,0.0029,60.04531908,73.09864931,174.474769,38.0464917,25.04503471,22.37074862,47.8916449,1.930150654,230.5,2,1,1.345151267,1.148440973,0.278470722,1.801441985,2.21957527,2.332496622,1.571309801
SCPT_14538_Raw02_result.csv,14538,0.06,2.307,0.0021,-0.0034,64.57891668,78.61781161,189.5027863,43.3114726,28.62263035,27.30026896,59.29349938,1.885350775,230.5,2,1,1.272362872,1.075652578,0.195847135,1.671833306,2.086053187,2.133354308,1.357751185
SCPT_14538_Raw02_result.csv,14538,0.08,2.319,0.0088,-0.0033,71.99560671,87.64682556,195.3650731,51.7926657,40.91515043,33.33283166,76.82940946,2.037971912,230.5,2,1,1.163645763,0.966935469,0.165380884,1.493002312,1.728750442,1.933708015,1.09866336
SCPT_14538_Raw02_result.csv,14538,0.1,2.223,0.0088,-0.0033,73.57777182,89.57293961,196.5282399,54.68645578,43.49111207,35.25081541,81.26618169,2.062187977,230.5,2,1,1.141907896,0.945197601,0.159444727,1.438634793,1.667694265,1.877762201,1.042520902
SCPT_14538_Raw02_result.csv,14538,0.12,2.171,0.0149,-0.0057,78.34001483,95.37045284,198.2892684,61.10939816,54.83337878,38.60856715,91.11672641,2.177322344,230.5,2,1,1.079192345,0.882482051,0.150523946,1.327585192,1.435951752,1.786776664,0.92810947
SCPT_14538_Raw02_result.csv,14538,0.14,2.115,0.0149,-0.0057,79.54597967,96.83858395,199.3375629,63.50362284,57.25378955,40.1476908,94.72217464,2.192872106,230.5,2,1,1.063915647,0.867205353,0.145251179,1.289153906,1.392757029,1.747685938,0.889302733
SCPT_14538_Raw02_result.csv,14538,0.16,2.087,0.0193,-0.0048,82.62131194,100.5824667,200.9705754,68.15950219,65.78388486,42.48891759,101.3185643,2.257791468,230.5,2,1,1.025983201,0.829272907,0.137092356,1.218400283,1.253875965,1.691007583,0.821981207
SCPT_14538_Raw02_result.csv,14538,0.18,2.109,0.0193,-0.0048,83.97471711,102.2300904,204.1442021,70.44622783,67.85809651,43.96953407,104.3913024,2.25160844,230.5,2,1,1.009735096,0.813024801,0.121424245,1.185401169,1.222832154,1.656753876,0.792104501
SCPT_14538_Raw02_result.csv,14538,0.2,2.152,0.0138,-0.0056,82.80984903,100.8119901,207.8761683,69.32146626,61.16948516,44.16145893,102.6520574,2.166882023,230.5,2,1,1.023703858,0.826993564,0.103308305,1.201496246,1.326602406,1.652398424,0.808905676
