Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.02,1.56,1.54,0.9528220843746774,0.0073883093126501515,0.02582057567207371,79.38012304390665,96.63667153171248,169.63116650186763,75.93534328528314,68.35190035443333,50.54001868874154,124.06917648527093,2.5382780762005623
2,1.58,4.08,2.5,5.3759152969146315,0.05058581275042086,0.016443508046938955,150.48869974119052,183.20363446753635,382.12819980686805,178.48686153357394,187.53286766584515,116.08681075140743,237.09478157794103,1.9295619922365785
3,4.1,5.08,0.9800000000000004,11.971311921141995,0.1618565582770347,0.0028451424903173,213.4376283592343,259.83711278515517,546.0502252990027,255.2297868301583,322.1937037483183,165.6427533918045,316.1881275269098,1.8068221163182063
4,5.1,6.56,1.46,6.21879471687489,0.06881545045766618,0.0009375905056436862,187.66615273137123,228.46314245558244,435.3408352215524,206.97773357225398,222.44373995789542,150.02706015714529,299.05431873780185,1.988880093411357
5,6.58,7.56,0.9799999999999995,5.7491462718254365,0.13054526872209524,0.002302300365980426,208.28558828059303,253.56506399376505,430.7159393441678,228.52491503804208,298.07012143811716,165.13788767381607,341.22527100002804,2.2416573507958257
6,7.58,9.2,1.6199999999999992,8.614341055215808,0.1898241520359535,0.005516899529488839,240.79110063275783,293.13699207466203,511.2296701900409,257.2028301810542,343.2571741419665,189.3241693162222,375.1478494203863,2.151362501007795
7,9.22,11.26,2.039999999999999,3.120749802579477,0.07153200188645599,0.08061432302616162,196.28655266057905,238.95754236940067,354.5338522461966,188.40361608058936,223.5368994031859,159.4313934250095,344.92318104820697,2.555152548729715
8,11.28,14.18,2.9000000000000004,2.1926583074787005,0.029572361434015895,0.06072973292441271,181.12969205233134,220.50571206370782,316.68267936898263,157.2907408097476,158.4378825816666,149.5814551631176,324.02452398686074,2.645300621237522
9,14.2,17.58,3.379999999999999,4.154412483441677,0.09327582645134018,0.6089602443826918,232.91402535040837,283.54750912223614,417.2815855743192,202.09674411696074,238.6106040789287,191.89134263433527,399.8349319495475,2.565670832776997
10,17.6,18.58,0.9799999999999969,5.962721051651457,0.13507948546392895,0.5178973991912169,263.51130089378375,320.79636630547657,484.29611323257234,224.76440758268603,274.70480035844867,216.20876785802227,434.9032330500405,2.482231793717945
11,18.6,19.8,1.1999999999999993,12.52941064426387,0.42827747671833033,0.019111657847176014,334.9186759330876,407.7270837446286,640.215739733762,301.97685059087127,455.84193411172225,269.2095486306126,515.7811288760157,2.3741099206076144
12,19.82,22.4,2.5799999999999983,4.465041599593525,0.1304649803094865,0.04207132917318675,256.6737127828637,312.47234599653007,435.95391793901064,212.15438570314905,270.12192776539644,215.82911489919593,449.16786461516324,2.7518583517898874
13,22.42,24.0,1.5799999999999983,6.756848158014468,0.21119041697144617,0.023178796651699227,294.6590935344827,358.71541821589204,515.3830301233522,242.23101157851332,326.92152603303674,244.84019653005495,491.3619913257627,2.6454078245726076
