Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.02,1.12,1.1,0.031940402259333284,0.00032846496285793454,0.0007600289236373907,28.577929907557337,34.79052336572196,42.873305095473675,26.63865488270966,23.53515395551718,19.185827497208205,65.99984973221827,4.012986606607284
2,1.13,2.1,0.9700000000000002,0.48059687622213504,0.009876228153873831,0.005211112544049134,80.8899595122584,98.47473331927104,144.160830439329,91.90252707033895,103.84202365745692,61.59020247441017,164.22343425198855,3.0445538117198874
3,2.11,2.67,0.56,1.0139226202259284,0.021913307062105748,0.016609115350981408,103.8060169298723,126.3725423494098,199.40072893653905,124.45477480703902,145.07879474238536,82.01034048671386,202.94083786019908,2.744161594325602
4,2.68,3.5,0.8199999999999998,3.8145343996087395,0.01405809525073541,,127.61115027200181,155.35270467895876,339.0207378746169,144.42721575398826,116.38062633761524,102.7228058013744,206.40503544051833,1.8326801166265843
5,3.51,6.46,2.95,2.3209664215781918,0.007582163796788039,0.010797401467226934,125.04985084704118,152.2346010311805,293.44068223293556,132.7986744790684,104.63164476846124,103.42493783674496,213.54499107253713,2.0508745381646065
6,6.47,7.32,0.8500000000000005,0.575542471269212,0.0019541071229055894,,96.85097645920871,117.90553655903662,177.07152488962308,94.59374391643202,73.47599060364972,83.07146414922997,193.05697162915445,2.739057454730405
7,7.33,7.82,0.4900000000000002,1.1806412752923547,0.003416664880047122,,114.96623790595422,139.958898320292,236.1563137856902,112.12345219259576,84.54994036420068,99.06911070389616,213.75958630315574,2.354372660127763
8,7.83,9.93,2.0999999999999996,0.5715655046682315,0.0040624594474799585,0.05997874127836169,104.92227699681065,127.73146764829129,180.55240853635632,101.83200591873641,91.33892358496034,93.15159407951994,223.16920976885297,2.8951351046156404
9,9.94,11.48,1.540000000000001,8.167491108124374,0.02125514588812774,0.07058098015794514,182.88440628715847,222.6418859148017,513.0702272782745,180.76543615976357,139.06416954504516,167.69266086163566,300.1374866024436,1.6275356608546205
10,11.49,11.98,0.4900000000000002,17.421792890542168,0.09292647308064615,,233.3344364922653,284.0593139905839,691.6042835150404,245.1618056318054,234.85918621935312,216.86923005454096,374.2595449602962,1.5237135767840269
11,11.99,13.98,1.9900000000000002,13.319334667154502,0.08497080695966434,,231.71821052556658,282.0917345528635,630.4204673308736,235.3186287201065,228.58360292238208,212.9560620271838,378.68491567770394,1.6778174737802976
12,13.99,15.72,1.7300000000000004,16.44397020644048,0.1514596682875748,0.011062522331252935,264.44753510938807,321.9361296983856,692.5799760699792,269.43589726125845,297.93371939989186,239.1106645097438,423.0753493869457,1.7456918661419802
13,15.73,19.0,3.2699999999999996,20.210264539478526,0.20276353011900994,0.07157390469802956,291.6513412134891,355.0538066946822,761.1214938026909,294.62789339075454,339.51985945840477,263.48140956413545,457.72392361985504,1.7458363184640544
