Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.03,1.8119,0.0019,1.8119,0.0019,-0.0029,56.74865690928261,69.08532145477884,161.33744401050654,34.59007445293009,23.02191789445543,21.56579184778559,49.02522485487926,1.996232733653824,132.0
0.04,1.7734,0.0039,1.7734,0.0039,-0.0151,60.23455499418031,73.32902347117603,164.55945557639708,38.63020265057347,27.663726512399897,24.72162579744876,57.88426215312041,2.069661873482175,132.0
0.05,1.7388,0.0078,1.7388,0.0078,-0.0033,64.49945335854196,78.52107365387717,167.05401136561747,43.65112220943805,35.23555096479377,27.782497451191997,67.0114957941472,2.1815723829372446,132.0
0.06,1.7312,0.0155,1.7312,0.0155,-0.0023,69.65268834414456,84.79457711461079,169.8193171327083,50.019161811224905,47.23559151125436,30.921703008818383,76.72535598530666,2.319584828269757,132.0
0.07,1.6812,0.023,1.6812,0.023,-0.0017,73.17918897543409,89.08770831791976,170.51507692473288,55.14830630872064,58.18229279739041,33.20990853088403,83.95832422238628,2.4284464605794334,132.0
0.08,1.6466,0.0236,1.6466,0.0236,-0.0017,74.31533453126845,90.47084203806594,171.41679584198044,57.312310912720015,61.153141561042055,34.43635875682681,87.12099654810014,2.4473295018498717,132.0
0.09,1.5659,0.0239,1.5659,0.0239,-0.0018,74.84910298556409,91.12064711286062,170.128463816137,58.95319560537205,63.75528079088934,35.36309647850701,89.87027925869084,2.4808589541073216,132.0
0.1,1.5274,0.0239,1.5274,0.0239,-0.0018,75.50840339143167,91.9232736939168,170.28491062398726,60.47997201447373,65.72840124618507,36.283907408252965,92.2810937183034,2.495975898233883,132.0
0.11,1.4198,0.0238,1.4198,0.0238,-0.0018,75.40393580061351,91.79609575726862,167.16757444800737,61.47278104158924,67.6949317187169,36.85543908830674,94.43078288355989,2.5392013847020665,132.0
0.12,1.3083,0.0237,1.3083,0.0237,-0.0017,75.08405322864137,91.40667349573732,163.4268976898681,62.26755932215753,69.60213724850671,37.302692420257806,96.42142153416896,2.5877364106370244,132.0
0.13,1.2583,0.0237,1.2583,0.0237,-0.0019,75.29704538640941,91.6659682964984,162.29072651577803,63.30714883147933,71.31287842941911,37.92862614996965,98.36556969922025,2.611438011904404,132.0
0.14,1.1814,0.0237,1.1814,0.0237,-0.0019,75.11306338403438,91.44199020665054,159.5934147170398,64.07545002739826,73.08589021148164,38.36813529331246,100.18049447547354,2.649744884789348,132.0
0.15,1.1391,0.0235,1.1391,0.0235,-0.0019,75.19079622194447,91.53662148758458,158.46393251056853,64.87560279871965,74.35505897907694,38.878968334066926,101.80479266095568,2.669827578813993,132.0
0.16,1.0507,0.0233,1.0507,0.0233,-0.0019,74.5907730193486,90.80615845833744,154.63190147680027,65.26294779584461,75.82108329034712,39.0972901298814,103.30404408973988,2.716795668918104,132.0
0.17,0.9738,0.0232,0.9738,0.0232,-0.0013,74.0368406779949,90.13180604277642,151.1162481227817,65.66325024141149,77.3501344353712,39.314954085768,104.78314921522043,2.7618958232072317,132.0
0.18,0.8931,0.0224,0.8931,0.0224,-0.0013,73.10048209442004,88.99189124538093,147.03247773965774,65.59653146595306,77.81884901356425,39.33541874584197,105.7578473179513,2.8057399739752737,132.0
0.19,0.8431,0.0222,0.8431,0.0222,-0.0011,72.7048802242169,88.51028896861187,144.60544290129857,65.96984240565065,78.95973715716205,39.571745727929816,107.04387159209288,2.8385875267567453,132.0
0.2,0.7893,0.0177,0.7893,0.0177,-0.001,70.92671692962061,86.34556843605988,141.7267619444975,64.0033372683309,72.77050978700946,39.02013842351152,105.24378543306456,2.8228244397740245,132.0
0.21,0.7124,0.0175,0.7124,0.0175,-0.0009,69.84026750601879,85.02293435515332,136.94423992735526,63.893784805093446,73.88629973664634,38.93670422572724,106.31299186226026,2.882261331613268,132.0
0.22,0.6663,0.0175,0.6663,0.0175,-0.0004,69.29451506782077,84.35854008256442,134.11153774542638,64.13032620462775,75.14139155439227,39.06536976877933,107.51840090572976,2.92287779966694,132.0
0.23,0.6596,0.0178,0.6596,0.0178,0.0012,69.63241811389487,84.76990031256767,134.2075508917703,64.9434333512222,76.60822443681758,39.54935770290615,108.96679441471032,2.9330323061191077,132.0
0.24,0.6528,0.0181,0.6528,0.0181,0.0009,69.94216739524282,85.14698639420865,134.23746205076324,65.72780678928919,78.06504518249315,40.01586515486498,110.37755949862392,2.943623970047124,132.0
0.25,0.6548,0.0207,0.6548,0.0207,0.0062,71.09477321614312,86.55015869791337,135.0178275839081,67.86330858980048,83.68961740571511,40.94400604662111,113.4890411316884,2.9743436963657204,132.0
0.26,0.6509,0.0225,0.6509,0.0225,0.0114,71.8400425294264,87.45744307930171,135.3129355774885,69.42827024189312,87.81113966620467,41.64449671158311,115.86486112077364,2.998320025716931,132.0
0.27,0.6202,0.023,0.6202,0.023,0.0296,71.65860947277555,87.23656805381373,133.6266591967352,69.99731229992368,89.87625328463547,41.868262033744905,117.2692483388411,3.030121250140441,132.0
0.28,0.6106,0.0231,0.6106,0.0231,0.0246,71.75176264997543,87.34997192170923,133.24047999812277,70.55531416701315,91.02456960770093,42.21400227865463,118.40632309204447,3.041789397967459,132.0
0.29,0.6096,0.0232,0.6096,0.0232,0.0343,72.11304599273865,87.78979512159488,133.77411714076814,71.24665587958513,92.01366009361202,42.63305389360671,119.527880790953,3.0422243479836744,132.0
0.3,0.6086,0.0232,0.6086,0.0232,0.0407,72.42574593930068,88.17047331740953,134.241824956183,71.86364856481437,92.80892730260396,43.02658077782953,120.55602705856226,3.0421730568741374,132.0
0.31,0.6125,0.0231,0.6125,0.0231,0.0418,72.80237784415512,88.62898172331928,135.0205939942818,72.4673960049816,93.34909410880223,43.4449643937557,121.49779785396731,3.0371608396308263,132.0
0.32,0.5856,0.0231,0.5856,0.0231,0.0269,72.33594024752922,88.06114464916602,132.9286127313915,72.63358354664501,94.49871124080786,43.54756390143415,122.4369507804195,3.067389545800361,132.0
0.33,0.5356,0.0225,0.5356,0.0225,0.0272,71.11312247076779,86.57249692093471,128.90994655472454,72.13727403761861,94.803908898844,43.26621351345014,122.89124095741248,3.11493566611774,132.0
0.34,0.4895,0.0214,0.4895,0.0214,0.0275,69.75680754111448,84.92133091961763,124.97028450634862,71.34171286606956,94.05892147745466,42.88621252032295,122.93679363157788,3.1568561325120026,132.0
0.35,0.4664,0.0207,0.4664,0.0207,0.0291,69.12560804421449,84.15291414078287,123.09119131029574,71.07810758551112,93.6912313449039,42.81495658963218,123.26333924832258,3.177516810416537,132.0
0.36,0.4587,0.0183,0.4587,0.0183,0.0325,68.52616694588565,83.42315976020862,122.72688887125952,70.05022161805559,89.35411638054028,42.61019260135985,122.15696734740963,3.1558014126543528,132.0
0.37,0.457,0.0171,0.457,0.0171,0.0399,68.41825655473849,83.2917905883773,123.03050163579108,69.76644652504471,87.29210265297081,42.67214875253276,121.92356866035462,3.1394986977782784,132.0
0.38,0.4564,0.0141,0.4564,0.0141,0.0492,67.74687136517355,82.47445209673303,123.47402624151772,68.17768907866703,80.76695886241586,42.29885590347715,119.7078546664985,3.091132843523541,132.0
0.39,0.4585,0.0124,0.4585,0.0124,0.0562,67.46422600223683,82.13036208967962,124.13942422528812,67.35341078865046,76.93296508912321,42.1813668530111,118.50531558650096,3.056418137343096,132.0
0.4,0.4606,0.0098,0.4606,0.0098,0.0587,66.6687955567644,81.16201198214796,124.71144049628916,65.52917456862369,70.27404958413246,41.685106108725954,115.6775069256742,2.9994408602729985,132.0
0.41,0.4741,0.009,0.4741,0.009,0.0579,66.88458568000716,81.42471300174785,126.35628333828974,65.35607336984509,68.22708930803469,41.85035410708022,115.1455172552584,2.9639633269168257,132.0
0.42,0.5048,0.0076,0.5048,0.0076,0.0567,67.18196576659264,81.78674093324322,129.64025462999942,64.73117179560276,64.0885690419209,41.921599032098776,113.38371331827943,2.8913664490031805,132.0
0.43,0.5548,0.0074,0.5548,0.0074,0.054,68.53761217100022,83.4370930777394,134.5726650862955,65.62815510854612,63.50174156432207,42.67995329924543,113.74544339498452,2.831309139663997,132.0
0.44,0.574,0.0074,0.574,0.0074,0.0527,69.19765115621013,84.2406187988645,136.58989394640489,66.26327351017534,63.73934478256703,43.164549469368666,114.43776152169316,2.811824223650819,132.0
0.45,0.6125,0.0075,0.6125,0.0075,0.0514,70.34727821404401,85.64016478231444,140.25238356650155,67.27940926857916,64.18921218930934,43.89188817874015,115.34667253580704,2.77698652231005,132.0
0.46,0.6471,0.0076,0.6471,0.0076,0.0515,71.36968167309037,86.88482986289262,143.4951780181168,68.22101272842038,64.66305949997516,44.56069029756579,116.23701327474708,2.7476609055718546,132.0
0.47,0.7047,0.0076,0.7047,0.0076,0.0502,72.74919140152188,88.56423301054839,148.4735347736205,69.31813697912094,64.73222479790661,45.381742867213966,116.94496064598448,2.698140988676472,132.0
0.48,0.7355,0.0085,0.7355,0.0085,0.0492,74.10943832510131,90.22018578707986,151.18756742547927,71.06670010675332,67.62740726185717,46.35884031016951,119.33036269207555,2.6961853397571263,132.0
0.49,0.8201,0.009,0.8201,0.009,0.0418,76.13447888924571,92.68545256082086,157.74978205837976,72.94252537281353,69.03566422252295,47.58732387410575,120.9465554767428,2.6451672600677147,132.0
0.5,0.8662,0.0093,0.8662,0.0093,0.0347,77.27348562813418,94.07206946033726,161.2759028907273,74.1145792277385,70.03016631385648,48.36515531682335,122.13505275871918,2.6207831888929864,132.0
0.51,0.9123,0.0097,0.9123,0.0097,0.033,78.45098507795592,95.5055470514246,164.77893139753274,75.37801071905281,71.2866414992006,49.16818886051964,123.46968899465,2.5992487859355142,132.0
0.52,0.9354,0.0098,0.9354,0.0098,0.0328,79.06552547799613,96.253683190604,166.66726362490726,76.07872789042179,71.80587010530579,49.654902957031,124.26630119661088,2.5867401079948733,132.0
0.53,0.9969,0.0105,0.9969,0.0105,0.0328,80.59608746063327,98.1169760390318,171.06668981046687,77.76277169113948,73.77812387935789,50.667684360676894,126.05096682362176,2.5636436881276663,132.0
0.54,1.0161,0.0106,1.0161,0.0106,0.0352,81.13053433204209,98.7676070129208,172.65869055076405,78.41273908178876,74.30517942935114,51.11195868264486,126.82254639151748,2.554178078356192,132.0
0.55,1.0469,0.0108,1.0469,0.0108,0.0376,81.87963396572736,99.6795543930594,174.9731044823042,79.26735568678107,75.04626942132104,51.67484363668325,127.75088062629108,2.5402837760563397,132.0
0.56,1.0892,0.0116,1.0892,0.0116,0.0416,83.11365714017847,101.1818434749999,177.98714056620037,80.80008605953216,77.28182883017678,52.54212178540107,129.5702991088274,2.531687942632227,132.0
0.57,1.2391,0.0122,1.2391,0.0122,0.0449,85.55555124991203,104.15458413032768,187.275029890033,83.05062008693358,78.55283280976626,54.01647183996373,131.13295833549432,2.46586850347659,132.0
0.58,1.3698,0.0136,1.3698,0.0136,0.0474,88.00000480186105,107.1304406283526,194.90049070507428,85.73206275434416,81.788287630273,55.56651579387462,133.68366975036872,2.429704513697807,132.0
0.59,1.5236,0.0145,1.5236,0.0145,0.0465,90.24918857261127,109.8685773927442,203.27016950704703,88.02409057648897,83.68396082218901,56.99564138616853,135.49285680719328,2.38062764580423,132.0
0.6,1.7042,0.0152,1.7042,0.0152,0.0285,92.4401782668501,112.5358691944262,212.2987730318056,90.20379521564335,85.03742770600465,58.4219231620206,137.02030829355715,2.3256359769744,132.0
0.61,1.9849,0.0158,1.9849,0.0158,-0.0141,95.12672585102416,115.80644886211635,225.0106622061238,92.76990522562303,85.92495899987432,60.18696143463762,138.44487733640557,2.245839914882024,132.0
0.62,2.0694,0.0166,2.0694,0.0166,-0.0255,96.33418602498628,117.27640037824418,228.9042394473907,94.275147162686,87.74819401841035,61.07356676763423,139.9542699595573,2.232389949688586,132.0
0.63,2.1233,0.0172,2.1233,0.0172,-0.027,97.2110838811636,118.3439282031557,231.52350960180627,95.43905370497068,89.2098514453015,61.75512322760404,141.19895956000178,2.224937890619186,132.0
0.64,2.1002,0.0182,2.1002,0.0182,-0.0273,97.7426897348578,118.9911005467834,230.9130606042808,96.46583240488104,91.67800205618104,62.21961438470422,142.7964129561023,2.244154413294839,132.0
0.65,2.0425,0.0191,2.0425,0.0191,-0.0274,97.94748178496268,119.24041260778068,228.81278668595664,97.19484626784104,94.03950650961757,62.48803139974827,144.23025510462105,2.2718984230550023,132.0
0.66,1.9849,0.0205,1.9849,0.0205,-0.0264,98.33811524792922,119.7159663887834,226.6702819841221,98.2543168254765,97.40214801335128,62.86384932435974,146.095096260478,2.3054698398876954,132.0
0.67,1.9464,0.0206,1.9464,0.0206,-0.0253,98.2657595557064,119.62788119825126,225.3207505670208,98.47825288617636,98.12154584878492,62.97483224268747,146.72351971980711,2.318432436648592,132.0
0.68,1.8926,0.0207,1.8926,0.0207,-0.0228,98.05825349797558,119.3752651279703,223.26366136991493,98.59761556420516,98.89999596150822,63.0053330715675,147.33668377618557,2.336422124577506,132.0
0.69,1.7811,0.0207,1.7811,0.0207,-0.0213,97.282056125925,118.43032919677827,218.4615233559936,98.25035908804358,99.71605063708029,62.71082650242185,147.8154445081482,2.3731386875353477,132.0
0.7,1.7619,0.0215,1.7619,0.0215,-0.0207,97.62171461217903,118.84382648439188,217.87236750750836,99.05310864042652,101.79279275856354,63.06214969348631,149.0756874081657,2.388715282160541,132.0
0.71,1.7427,0.0226,1.7427,0.0226,-0.0208,98.06393740538284,119.38218466742258,217.26427797638212,99.8284191577089,104.23895117442618,63.47382984446877,150.57305508186897,2.4073920320865976,132.0
0.72,1.6312,0.0238,1.6312,0.0238,-0.0206,97.61134523264546,118.83120289191622,212.12823316771485,99.99003264612372,107.3224788944679,63.38889527852121,152.0521042753629,2.4602540170988263,132.0
0.73,1.5582,0.0248,1.5582,0.0248,-0.0205,97.37857422181438,118.5478294874262,208.72725452606429,100.24291168367364,109.8544530386992,63.4305983871085,153.35027855797253,2.4983856433525817,132.0
0.74,1.5293,0.0258,1.5293,0.0258,-0.0188,97.58052197212756,118.79367892259008,207.5322291905036,100.80362720363854,112.14523659688656,63.708242403313896,154.65045004473967,2.519608938267844,132.0
0.75,1.5005,0.0265,1.5005,0.0265,-0.0195,97.65505985771716,118.88442069635131,206.2939184045429,101.16017855345228,113.85362746556068,63.913447743015055,155.6956091762132,2.5380804964225345,132.0
0.76,1.512,0.0272,1.512,0.0272,-0.0195,98.181366298642,119.52514158095548,207.16942527819123,101.82898183753726,115.30502609596178,64.3589097727303,156.7574662114899,2.5400553614109693,132.0
0.77,1.489,0.028,1.489,0.028,-0.024,98.3256316221693,119.70076893133654,206.17825792571517,102.26908864304792,117.16626369076968,64.6060512651464,157.85264875469645,2.557226649644892,132.0
0.78,1.4351,0.0281,1.4351,0.0281,-0.0253,97.86854748084964,119.14431867233868,203.5321747137543,102.03816582268313,117.9040234195464,64.5139716143107,158.39900146171354,2.580939743585326,132.0
0.79,1.3506,0.0278,1.3506,0.0278,-0.0294,96.85325026257638,117.9083046674843,199.05911724455868,101.2826282581485,118.11651348130074,64.12239333269444,158.61751106342393,2.615911597546084,132.0
0.8,1.2045,0.0276,1.2045,0.0276,-0.0356,94.89816678220365,115.52820303920444,190.6703669794552,99.94857002012304,119.0674265215437,63.256982758725975,158.8391934470035,2.685242140170311,132.0
0.81,1.1996,0.0263,1.1996,0.0263,-0.0359,94.57612895794075,115.1361569922757,190.6028030543468,99.26660598150312,116.68640253361902,63.18503569958386,158.3381557867572,2.6755389098976683,132.0
0.82,1.1991,0.0248,1.1991,0.0248,-0.036,94.23515855300442,114.72106258626629,190.80275257094135,98.47172015966326,113.79808117464272,63.088868952282354,157.6220271350773,2.6610233063997226,132.0
0.83,1.2287,0.0228,1.2287,0.0228,-0.0357,94.12285379082502,114.5843437453522,192.83329202092528,97.5907025132422,109.5479384927196,63.08270803366266,156.41555580928977,2.625085372965586,132.0
0.84,1.2583,0.0211,1.2583,0.0211,-0.0354,94.0494864587367,114.49502699324468,194.8387780017199,96.83164262272084,105.83825490246268,63.10326531359862,155.3450921411089,2.591517283658436,132.0
0.85,1.3813,0.0165,1.3813,0.0165,-0.0355,93.78136224615828,114.1686149083666,202.1779350396849,94.52565540352283,94.8876016798008,62.87079114901714,151.0128095798742,2.4766555328951507,132.0
0.86,1.5082,0.0134,1.5082,0.0134,-0.035,93.69561633884132,114.06422858641554,209.36153891734463,92.9365372366538,87.00546085143215,62.78504033158314,147.51360733649747,2.3774832291271517,132.0
0.87,1.6889,0.0104,1.6889,0.0104,-0.0344,93.63698260827424,113.99284839268168,218.90575816549185,91.36640118831134,78.93713800555221,62.68922619286798,143.27048450073386,2.258132758514282,132.0
0.88,1.7504,0.0082,1.7504,0.0082,-0.0346,92.6011372149986,112.73181921825916,222.17814661525625,89.37281729966597,72.92919919430739,61.97868070409216,139.35061454754097,2.1929467055262943,132.0
0.89,1.7888,0.0037,1.7888,0.0037,-0.0259,88.523841355837,107.76815469406245,224.3647072478245,83.37638203861452,59.29038437643359,58.38185435614151,126.03483827261032,2.0636988275149544,132.0
0.9,1.8349,0.0022,1.8349,0.0022,-0.0246,87.168118328791,106.11770926983252,226.8246053947826,81.37489612764496,54.69458563774696,56.29612584383295,118.1540984021912,2.003607404015069,132.0
0.91,1.9657,0.0013,1.9657,0.0013,-0.019,87.55219529862781,106.58528123311213,233.18847339061185,81.56096624541522,53.4078130598974,54.595281617104135,110.70873567369884,1.950597031167322,132.0
0.92,2.0272,0.0002,2.0272,0.0002,-0.0147,94.46223640838836,114.99750519282064,236.2458120129316,90.48272301582952,70.5518253727748,47.09008113237363,87.05686224124585,2.0884089151918688,132.0
0.93,2.0771,0.0001,2.0771,0.0001,-0.0006,100.80029908716983,122.7134075843807,238.82665042000733,99.35696837979678,90.75505008117122,44.747620800408846,79.7875493755502,2.2145175126882206,132.0
0.94,2.104,0.0001,2.104,0.0001,0.0004,101.36418695372934,123.39987976975746,240.2660857772708,99.95343848880556,91.67209192256595,44.9641048875889,80.0113578596314,2.212414847989215,132.0
0.95,2.1194,0.0001,2.1194,0.0001,0.0008,101.74230454249631,123.86019683434336,241.1921818346192,100.32759763687098,92.22762980101088,45.14395945386788,80.23018677366957,2.211242180507679,132.0
0.96,2.1079,0.0001,2.1079,0.0001,0.0031,101.69997704669512,123.80866770902016,240.9601673368152,100.19638511580855,91.95208619635795,45.24010730404747,80.43977874989153,2.21209713452141,132.0
0.97,2.1117,0.0004,2.1117,0.0004,0.0041,92.19105521803236,112.23258896108288,241.38176076293175,86.75868976857429,61.12156931752409,50.91648141494406,96.57908387576778,1.9819421793925571,132.0
0.98,2.1194,0.0006,2.1194,0.0006,0.0043,90.81588683491258,110.5584709294588,241.9647007451445,84.90815322411365,57.3451050437964,52.8372112847396,102.07363731432903,1.943751973890421,132.0
