File Name,,Depth,qc,fs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_140250_Raw01_result.csv,140250,0.03,0.0126,0.0001,0.0126,0.0001,0.0002,7,2,16.08933761,19.5870197,24.2113768,12.25268175,9.583535486,8.258684783,32.22657672,4.304342944,82.5,1.634641501,1.437931207,1.225975655,1.907053462,2.152751721,2.301532946,0.940006817
SCPT_140250_Raw01_result.csv,140250,0.04,0.0126,0.0002,0.0126,0.0002,0.0002,7,2,17.00968956,20.70744816,24.91084282,13.90422897,12.0672256,9.476093751,37.92779323,4.399556112,82.5,1.579015137,1.382304843,1.19749513,1.780605257,1.922305144,2.164026114,0.777114119
SCPT_140250_Raw01_result.csv,140250,0.05,0.0248,0.0004,0.0248,0.0004,0.0003,7,2,21.49751119,26.17088319,32.97636571,17.3774572,15.38608396,11.77344354,44.1352822,4.116239117,82.5,1.344861124,1.148150829,0.917007179,1.55762449,1.679334832,1.946951845,0.625538781
SCPT_140250_Raw01_result.csv,140250,0.06,0.0532,0.0008,0.0532,0.0008,0.0004,7,2,27.55599268,33.54642587,44.9278257,21.78682412,19.49830454,14.64305234,50.86340921,3.78939952,82.5,1.096578261,0.899867967,0.607740965,1.331492904,1.442470778,1.728832314,0.483654504
SCPT_140250_Raw01_result.csv,140250,0.07,0.2074,0.0015,0.2074,0.0015,0.0003,7,2,40.2254055,48.97005887,76.67867327,29.37343954,24.06089666,19.5880459,57.97033472,3.118138122,82.5,0.71829952,0.521589225,0.073174677,1.032707444,1.232210316,1.437878816,0.352866884
SCPT_140250_Raw01_result.csv,140250,0.08,0.3333,0.0027,0.3333,0.0027,0.0004,7,2,46.79987876,56.97376544,93.1344117,34.49427836,29.30940463,22.85432069,64.95129176,2.94356975,82.5,0.566917681,0.370207387,-0.121245444,0.872004828,1.034889852,1.283658105,0.239160662
SCPT_140250_Raw01_result.csv,140250,0.09,0.719,0.0037,0.719,0.0037,0.0004,7,2,56.63105388,68.94215255,126.3866877,40.97044076,32.85770229,27.07864595,70.11147893,2.55934445,82.5,0.376240803,0.179530509,-0.426547864,0.699947444,0.920612107,1.114052848,0.162711762
SCPT_140250_Raw01_result.csv,140250,0.1,0.926,0.005,0.926,0.005,0.0004,7,2,61.27541806,74.59616111,140.6702841,45.0416798,36.78258907,29.6499739,75.02029667,2.465216037,82.5,0.297419541,0.100709247,-0.533620448,0.605210015,0.807773683,1.023337048,0.095039594
SCPT_140250_Raw01_result.csv,140250,0.11,1.3279,0.0072,1.3279,0.0072,-0.0001,7,2,67.6976611,82.41454395,162.9626304,50.56485867,41.93892645,33.05364817,80.79728229,2.322220707,82.5,0.197746662,0.001036368,-0.68072262,0.489541451,0.676583865,0.91466635,0.020854963
SCPT_140250_Raw01_result.csv,140250,0.12,1.6121,0.0094,1.6121,0.0094,-0.0007,7,2,72.05012967,87.71320134,177.0077753,54.8375095,46.60791567,35.60116961,85.63157506,2.25928458,82.5,0.135436171,-0.061274123,-0.763395366,0.408423854,0.571027902,0.840419802,-0.037255789
