Depth,qc,fs,fs_corrected,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.02,6.1676,0.0398,0.0398,0.0011,78.78815304177527,95.91601239868294,247.5039514525529,53.447715665744624,51.04656358165232,29.58497383705398,66.3058739309381,1.7779890966617264,93.0
0.04,11.8006,0.028,0.028,0.0014,84.00326583698032,102.26484536675866,339.643196811657,65.3247623996496,50.35219179141041,38.25241035863738,75.84790114735272,1.3106270043755226,93.0
0.06,12.149,0.0276,0.0276,0.001,88.1256631069224,107.28341595625336,357.50370299404744,72.41124371146181,55.35556114183304,42.94505477881149,83.90267404537558,1.2908642523990943,93.0
0.08,8.3335,0.0209,0.0209,0.0014,87.87747636042361,106.98127556921136,318.50558221244404,71.45927763502712,54.79073085210829,43.05743280113771,86.79099401644926,1.4569677975994018,93.0
0.1,9.3967,0.0331,0.0331,0.0013,96.13765370571156,117.03714364173582,340.9020241732371,81.49098287341214,68.1887438961995,48.42526417213285,97.57474214646548,1.4807119293494122,93.0
0.12,8.7954,0.029,0.029,-0.0012,96.40477646037832,117.36233656046056,338.43745941569045,83.04547909917423,68.02817833930285,49.90936552905397,100.3903207437358,1.4910309369930312,93.0
0.14,8.5168,0.037,0.037,-0.0003,101.43577331397287,123.48702838222783,339.4479395843524,89.07483890227213,78.23900750784556,52.91294923083015,107.71604976300895,1.565507463958451,93.0
0.16,8.4102,0.0395,0.0395,0.0,104.0135652146282,126.62520982650388,342.3160374603152,92.9281565396142,83.3235712039391,55.11284719101267,112.35781895174507,1.588865584863391,93.0
0.18,7.5851,0.044,0.044,-0.0016,106.51233243700692,129.66718731461714,332.9245738176317,96.22757895988347,90.83409109215364,56.61148931887077,117.30168775123852,1.6783271044303396,93.0
0.2,6.6858,0.0468,0.0468,0.0003,107.82179201024964,131.26131201247784,320.59521783112945,98.39667231601912,97.0212593291071,57.53825073866442,121.3272740889005,1.7708907290669773,93.0
0.22,5.2087,0.052,0.052,0.0003,108.00061709189228,131.47901211186883,294.1967159304246,99.73267507269276,106.84632826555068,57.497456244817066,125.76996077789764,1.9512454953114955,93.0
0.24,4.3201,0.0532,0.0532,0.0014,107.09980320372564,130.38236911757906,276.2901967045116,100.21008913984772,112.34290328419836,57.448450694475554,128.77286727926275,2.071803882393532,93.0
0.26,4.0986,0.0551,0.0551,0.0009,107.89632801926702,131.35205150171635,272.94037766020733,102.27860565472577,117.20963178626047,58.46763318189034,131.95663229699315,2.1137771747027854,93.0
0.28,3.4423,0.0562,0.0562,0.0011,106.55992323865938,129.72512394271578,257.22339835122307,102.53413435544196,122.56831757047316,58.29913152045678,134.62606094866555,2.2262021831898435,93.0
0.3,2.9885,0.0503,0.0503,0.0003,103.96161539206685,126.5619665642553,245.3626742185814,100.68018778118255,119.58345872538332,57.69696170924784,134.8943081449098,2.282148253197015,93.0
0.32,2.0885,0.0495,0.0495,0.0006,98.75987686280608,120.22941531124218,215.3525347318077,97.96268689923694,124.60012469609296,55.71317560047721,136.46715916285737,2.4973265611628856,93.0
0.34,1.5105,0.0474,0.0474,0.0046,93.52869093254256,113.86101504831268,191.51197837554784,95.13588150818438,127.53836481451845,53.88302255409992,137.46767872210242,2.683530683983869,93.0
0.36,1.1606,0.0454,0.0454,0.0069,89.2243569194965,108.62095624982184,174.23675525257013,92.93642151019426,129.71248071115747,52.51941059751888,138.42043189062164,2.8329033944741604,93.0
0.38,0.9924,0.0486,0.0486,0.0134,87.63294224268331,106.68358186065797,165.2016762285185,93.6709723052787,137.9574111434569,52.421732024513695,141.41100290346614,2.946620917056833,93.0
0.4,0.943,0.0517,0.0517,0.0133,87.75113515636222,106.8274688860062,162.85106194759024,95.35996784980595,144.83469805095808,53.05665907665547,144.35973971554438,2.9956729050330484,93.0
0.42,0.9021,0.0552,0.0552,0.009,87.94135208617367,107.05903732229838,160.7851845777613,97.15113505749244,152.23316423915284,53.73023542937517,147.35429218254075,3.04305233697733,93.0
0.44,0.8801,0.0682,0.0682,0.0068,89.5905050563117,109.0667018076838,159.95355212265983,101.88303455755712,172.29047418663947,55.19686109276513,153.22681989277868,3.1205500002140325,93.0
0.46,0.8941,0.0793,0.0793,0.0047,91.5595297309526,111.46377532463796,161.56665675919612,106.15882786998624,188.44334189397972,56.71576213602434,158.0459088614187,3.156348175433381,93.0
0.48,0.9634,0.0906,0.0906,0.0051,94.63580782745188,115.20880952907186,166.9432337517906,110.9931937498576,203.14774901408435,58.656032491482655,162.63747507318823,3.1503867343013843,93.0
0.5,1.1205,0.0966,0.0966,0.0084,98.8223184765294,120.3054311888184,177.63896999141087,115.4973096111358,209.42326011699703,60.95367480089378,165.88680425414407,3.075946718364272,93.0
0.52,1.3728,0.0998,0.0998,0.0119,103.91695425539368,126.50759648482712,192.7509660739068,120.10802422981264,211.10783426005813,63.622398042545626,168.5054164863566,2.960123635856999,93.0
0.54,1.5713,0.1022,0.1022,-0.0141,107.38254588808567,130.72657760288692,203.1397337155751,123.5918607571902,213.2940658673457,65.68542655194277,170.81905325738109,2.8886455237557978,93.0
