Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.03,1.038,0.0009,1.038,0.0009,-0.0003,50.36728634084893,61.31669641494652,130.4237356149324,30.343059848343664,19.994988349408622,18.706480217702094,44.30398787004827,2.229177177804817,149.0
0.04,1.269,0.0018,1.269,0.0018,-0.0004,55.102524665681656,67.08133437561246,144.89710052178384,34.69122163568753,23.567082096146624,22.094114080216485,52.219411711650736,2.1684588097595263,149.0
0.05,1.695,0.0036,1.695,0.0036,-0.0005,61.24380147593942,74.55767136201321,165.45310071951752,40.27743401447344,28.68148758448475,25.960020372317565,60.59186880110123,2.083755915388099,149.0
0.06,1.907,0.0071,1.907,0.0071,-0.0005,66.47178011798427,80.92216710015475,176.22439410738656,45.73517239589429,35.73276004315161,29.38791759263705,69.3697616378384,2.1131019863598435,149.0
0.07,2.353,0.0142,2.353,0.0142,-0.0013,73.81751663973797,89.86480286576797,193.8876820208652,53.27251909717723,46.5691001938382,33.48949264978911,79.05276169962838,2.119396308733652,149.0
0.08,2.864,0.0127,2.864,0.0127,-0.0034,76.31393579699687,92.90392183982227,211.77540829357952,55.919253139463486,46.05655912806848,35.4239235718167,80.70818970608389,1.9825375318118497,149.0
0.09,3.491,0.0144,3.491,0.0144,-0.0037,80.22087157499102,97.66019148259778,231.0930004697088,60.20985299748469,49.29528268917285,38.05626001657375,84.64241832924463,1.8914720984703155,149.0
0.1,4.694,0.0173,4.694,0.0173,-0.004,85.30730470009635,103.85237093924776,261.4844985727612,65.9271221718861,53.44908157241379,41.521960775689344,89.22266018558862,1.754488857390379,149.0
0.11,4.529,0.0347,4.529,0.0347,-0.0036,92.88183356824254,113.07353651786048,260.3808601569139,74.4235507711608,72.6323714567421,44.94037272852153,100.02978921475298,1.930905071170032,149.0
0.12,4.928,0.0345,4.928,0.0345,-0.005,94.6652855166524,115.24469541157686,271.23799039911233,76.97759250350872,73.76677178088744,46.58153277463138,102.24329950172245,1.8784786059401868,149.0
0.13,5.04,0.035,5.04,0.035,-0.0061,95.99269871560855,116.8606766972626,275.74906859736546,79.11800002307582,75.7943420041415,47.8411620352371,104.54764518403812,1.8684895716581544,149.0
0.14,4.875,0.0431,4.875,0.0431,-0.0066,99.01850895205838,120.54427176772326,274.2670608558662,83.219905637152,85.2994380836183,49.45057839277952,109.42163649655777,1.9415992197496348,149.0
0.15,4.801,0.0467,4.801,0.0467,-0.0065,100.68798528484274,122.57667773806944,274.5379694568,85.84325433571945,90.43875248762733,50.633303094078485,112.50294548831832,1.9720807769689963,149.0
0.16,4.136,0.0482,4.136,0.0482,-0.0064,100.08340885757086,121.84067165269497,260.99741773644854,86.39007511693634,94.73394399805768,50.58755373253975,114.69934079563193,2.0715594286269243,149.0
0.17,3.183,0.0498,3.183,0.0498,-0.0061,97.66666003723137,118.8985426540208,237.56418781340537,85.7548578240474,100.2226109634261,49.67766043191746,116.74119597553748,2.240550692423382,149.0
0.18,2.822,0.0496,2.822,0.0496,-0.0058,96.55977944580113,117.55103584706224,228.17250512701173,85.86628802274086,102.72653581252338,49.58939021393898,118.2743143341104,2.313129427584337,149.0
0.19,2.168,0.0507,2.168,0.0507,-0.0054,93.36156405316166,113.6575562386316,207.41304741661108,84.90105296259433,107.97238518580394,48.55338585762931,120.01134134927204,2.480697675309363,149.0
0.2,2.049,0.0538,2.049,0.0538,-0.004,93.61697608013849,113.96849261929904,204.0294242261148,86.44582136623188,113.3708843636019,49.09317642259492,122.4693606562354,2.5318941522167093,149.0
