Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.01,0.75,0.7499999999999998,0.6944576732553872,0.02977343559542488,0.006523143915636537,74.84497395341474,91.11562046502658,139.6066807862978,74.72763028407215,103.4708610878649,44.24171759360256,123.31337608727884,3.0197735088127167,3.0197735088127176
2,0.76,1.35,0.5999999999999999,0.16115402624478609,0.007674273553674631,0.012353739727121732,58.9041608928506,71.70941326086168,91.2975701965579,62.03358631474621,78.50613894202192,45.8052385025021,141.61633485506846,3.6458421099888407,3.6458421099888407
3,1.36,2.85,1.4999999999999998,0.3324650281123536,0.00705939951142482,0.05705784099473727,76.18016463980173,92.74106999628039,130.67335781336985,75.12646984758817,80.47481119722475,61.03839410077583,167.38800707857942,3.167198846886694,3.167198846886694
4,2.86,3.91,1.06,0.5661467810987653,0.01132693409764396,0.17687943504511863,94.14266214349455,114.60845826164558,169.30341245314645,93.88295909280346,102.89928242833825,78.60520704806335,202.4380492283889,2.943643096491438,2.943643096491438
5,3.92,4.41,0.5,5.107328624774445,0.035491894741693945,0.17606782319160683,148.91808342188946,181.29157981795242,390.7513068057131,153.93338802219733,151.26795614023538,125.78790293444128,251.77566772120622,1.876088763088192,1.8780992442909914
6,4.42,4.91,0.5,4.691778207285947,0.07812928955286425,0.45273537451561896,165.08100482003383,200.968179780911,386.1455574514891,179.58316237332556,225.21255933188212,136.92315955672055,286.91965892067077,2.1231973375029236,2.1231973375029236
7,4.92,5.59,0.6799999999999997,2.048406964944173,0.04592818141965224,0.04486411172457184,139.41280650050277,169.7199383484382,282.2536260905105,153.07718363561767,193.00471642785558,120.18471386280008,274.2601422751137,2.5096528169373964,2.5096528169373964
8,5.6,6.09,0.5,3.7837962104750393,0.10666288008400132,0.057220774203339285,171.33472414973588,208.58140331272182,360.63751014722686,199.02041010022168,295.23242102773,145.04200664945668,315.8210887659033,2.3769704521402786,2.378880335002766
9,6.1,7.07,0.9800000000000004,18.240346934346558,0.3520900677362605,0.007119382004781119,254.35888496281115,309.6542947373354,664.6687053322374,305.33945588545987,500.04196353453483,207.59924311963326,384.54701603184964,1.8276679245101772,1.8430372349551774
10,7.08,7.57,0.5,6.305558972260399,0.09865296034495255,0.7587607170754473,192.7722556625474,234.67926776310105,455.12210534802,216.8116674063707,275.63818960956877,165.15139377300926,332.26685879439344,2.066607587964457,2.085975030317562
11,7.58,9.2,1.629999999999999,5.14159911450637,0.0789668990539653,3.039858457372724,189.09428599967194,230.20173947786137,438.08182701865644,204.5230207297956,240.46166555101345,163.4253125880927,333.44808986257857,2.1061573999887258,2.1248659518340376
12,9.21,9.82,0.6199999999999992,3.9244147478602196,0.09058854635576646,2.1825786676062475,190.404315550928,231.79655806199898,399.27182230344897,206.54888566758805,268.768099279185,164.71561630939868,349.8575113285717,2.350418298275819,2.3693487073928434
13,9.83,10.53,0.7099999999999991,4.133018666164421,0.05010609730783105,2.5480010320333086,183.14780556806,222.96254590894227,411.67074704167527,186.97898073155392,196.9530063893578,160.983234729956,329.6429738222155,2.1721395452806522,2.18997356334875
14,10.54,13.13,2.6000000000000014,4.240345987964825,0.08560947714212806,2.6553816145595297,201.95349679912124,245.85643088588682,422.08308737422794,207.04718645201064,253.49255935416548,176.05972964706828,367.04573250406713,2.3420760091086965,2.3582789651077625
15,13.14,14.52,1.3899999999999988,5.615739759599536,0.12335692861287187,2.939352808779789,226.9563951711357,276.2947419474697,474.16843512879296,228.32510695456781,292.47716887457557,197.42253108663695,401.3639485890301,2.324158004479257,2.3377945188058447
16,14.53,17.67,3.150000000000002,4.249039684401924,0.05926018326662836,2.8940212000513243,210.6426600921438,256.4345427208708,437.11838654202444,196.11544971200829,209.18991219028894,186.09533878200492,378.2853190057521,2.3401931043614166,2.354016065816188
17,17.68,18.17,0.5000000000000018,2.6200923765655713,0.029254645864351874,1.7028150484125621,189.90574296049147,231.1896001258156,366.71086061384005,164.2939601494737,158.83417523923396,168.73583342668047,353.4941538681118,2.5424931566386064,2.557259248133568
18,18.18,18.67,0.5000000000000018,2.752165686156122,0.06645168376326908,1.2707509927567464,206.5132820928553,251.40747385217153,370.087551085805,185.70913603403227,225.39387970920424,183.30678471799288,396.172067791852,2.756678765047118,2.7708460835772057
19,18.68,20.47,1.799999999999999,5.11111362725862,0.07480703310967718,3.1184381677943613,232.26150647678344,282.7531383195621,476.0524023173249,207.95449026685625,225.51802460230056,205.793575265563,410.3714132658714,2.353623011222493,2.365680271165176
20,20.48,21.6,1.1300000000000008,6.388079884307193,0.11244464852489139,4.142121985063042,254.77004328744488,310.15483530645446,523.3856931490943,228.5990189293822,264.61495867412776,224.29070361685044,441.4270091808973,2.335408564398601,2.346419799760638
21,21.61,23.4,1.799999999999999,5.951701288757117,0.19560663804255377,3.0006510720322974,272.7746434128617,332.0734789373972,507.94589939063786,244.3466952623493,340.1236377938278,236.8385284424476,482.2466918413761,2.59975620094016,2.6107909103536344
22,23.41,24.7,1.299999999999999,4.5722123859038515,0.05451634663378333,3.1058988128984892,236.223863687829,287.57687753300934,467.78264925281974,194.42417047787197,193.9920854506335,208.91428621503016,414.5956590444874,2.4338627384892444,2.4452326567000378
23,24.71,25.36,0.6599999999999984,5.528708410114634,0.11125089299156339,3.629117702360948,262.66041742609355,319.76050817089606,504.17558261658274,220.70913929149154,257.390822068795,230.3517736705896,460.1548319728541,2.509046130092485,2.519742263727597
24,25.37,26.04,0.6799999999999979,5.129969116167211,0.041698292896876724,3.8159053401710783,238.4506060776634,290.2876943554164,494.21069106121524,192.3583764627818,174.77502190206448,211.604811804821,407.5315458875224,2.306842092849701,2.317616923953746
25,26.05,26.54,0.4999999999999982,4.259153163039216,0.0643388551273475,2.4983293432434097,243.37927336392755,296.2878110517385,457.64694476714845,194.510695311716,204.5909044580127,214.91492811886542,433.0564773262215,2.5726144335446257,2.583297710283408
26,26.55,30.0,3.459999999999999,5.5201288176611,0.06821001223584192,3.6126786622991673,259.20633158794254,315.55553410706034,510.2642830532968,205.74959043181414,208.77656647340535,228.7122301140325,445.23880668198706,2.4324609138856905,2.44266539429629
