Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.0,0.0,0.009999999999999787,0.02,0.007999999999999997,0.05129999999999999,,,,,,,,4.584284613645695,
2,0.01,1.1,1.0999999999999999,7.89627132959373,0.03553389840195663,0.0012255866011752262,114.71032079691442,139.647347057113,367.4134905129519,114.90308646321903,102.4424814904487,70.65001791269015,141.13878048470207,1.5958727007551374,1.595874456928248
3,1.11,2.53,1.4299999999999995,6.993786313515812,0.046113663713688365,0.001012751119253617,142.25397396088337,173.17875090890138,404.77414773384845,169.56546361280658,165.02326076178144,106.07016764561702,210.34826266563022,1.7494047417050445,1.743284626910648
4,2.54,3.21,0.6799999999999997,11.508337309567438,0.08652250367691842,0.0024054607178889465,176.7072294846883,215.12184459005502,513.5248053734116,215.013730446264,225.64963016269,137.27900418771208,258.8309840169851,1.6750494240283815,1.6183632685970892
5,3.22,4.78,1.5699999999999998,9.916510934824702,0.07932902962114717,0.0029158713238437066,184.88432110668916,225.07656482553472,501.0577848076391,216.41244794287374,223.72766907399978,146.06123471607512,277.63013019239696,1.7960231738951982,1.7117837700436271
6,4.79,5.28,0.5,15.128352985766512,0.12290683660721888,0.00457004870414603,214.71808789626155,261.39593309110086,602.7194707630522,250.59573572271947,269.48890257671025,171.8893068371312,312.9650227720944,1.7066874655285353,1.6213374355510806
7,5.29,5.78,0.5,5.290865657403402,0.045362853737208025,0.003029069919959238,174.08347024797365,211.9277029105767,407.2912521462653,189.76890744193923,186.50190132644036,139.65530688910295,279.41923098724794,2.1098950255251236,1.9806662900544567
8,5.79,6.43,0.6499999999999995,12.511544123288694,0.10737589223808415,0.004171980551818591,216.3783645437672,263.41713944458644,571.3828460040477,243.25140942328306,257.3595777642206,174.52528116613433,322.48856505928177,1.8202038608235933,1.7154656620967899
9,6.44,6.93,0.4999999999999991,1.010990835976465,0.0404430587618143,0.03670570726684218,136.36536651820143,166.01001141346282,221.58244897417268,150.5979631444783,198.98056041465244,114.8734128385671,285.2394888341286,3.2045912877363936,3.0035849704765827
10,6.94,7.43,0.4999999999999991,2.83674393460615,0.04877280093417488,0.0007214631796173828,170.41520239026258,207.46198551858043,329.3786891547127,177.15793197210897,197.03246708790064,138.1035853029289,299.9352632408551,2.606022111237589,2.422652267087067
11,7.44,8.11,0.6799999999999988,9.853352078687106,0.10766759766536071,0.0034993881985434586,224.29281279246734,273.0521199212644,534.1605533707989,238.7682226636834,260.00159323286016,180.35707895753174,342.2910144572395,2.0319499913720556,1.8966066079528723
12,8.12,8.61,0.5,9.062062901716844,0.13329012216357677,0.00780706872982001,232.04702919551806,282.49203554237016,521.1280735435437,244.47238929858176,287.49861039464605,185.116152218858,358.28984630313545,2.165237330748062,2.0179673433103176
13,8.62,9.11,0.5,12.517947133155225,0.11865237188680353,0.0035707040507644006,240.35387632093955,292.60471899940507,592.9613610824267,252.0416399814457,266.85576777231995,195.19389209764347,358.9926817174446,1.9412002014314098,1.804802632198817
14,9.12,9.71,0.6000000000000014,17.165932527364046,0.1949906961641114,0.011762851729571448,268.6800349510617,327.0887382012923,672.994160239496,287.04219825650705,333.0050381491163,216.46251533372296,389.7230100251263,1.8974108018841875,1.7702550373765393
15,9.72,10.53,0.8199999999999985,30.491243347992345,0.42429387717487715,0.019574831057470675,323.22920315397397,393.49642123092457,844.1964258601931,360.8087005526782,488.6301164146587,255.91880299106825,441.0361976213543,1.794037541742191,1.6881319362575073
16,10.54,11.33,0.8000000000000007,26.291202924269125,0.3387543248508155,0.013391075425877107,314.20408858115076,382.50932522922716,803.8275300339852,337.9134246166624,428.5568389813318,251.19770211473738,436.2626432425467,1.8351894185752564,1.714534786986717
17,11.34,12.1,0.7699999999999996,22.097586322814188,0.2974033964901577,0.007984481375532452,309.35763268554444,376.60929196501075,757.3767556243797,320.7703283495506,398.01922217896345,247.0764484356367,435.97521301589626,1.9269650576212625,1.7918160840853266
18,12.11,12.97,0.870000000000001,13.126885962175711,0.1405811361075627,0.0031368965952449862,270.8287402768706,329.7045533805379,624.8997138680256,261.74658814827103,282.3008692121143,219.48939960888512,400.78541054621115,2.0678172171696625,1.907507458620549
19,12.98,13.8,0.8300000000000001,17.767516809672472,0.09629088397145819,0.00965605114447442,265.0603153329789,322.6821230140614,706.022389678771,262.0468421799451,238.4402237925958,226.2701739625396,388.8042095664712,1.7558319797306308,1.614105947396239
20,13.81,14.78,0.9799999999999986,17.066988242908927,0.11759501796424585,0.023403319940583884,276.0948561490474,336.1154770510138,699.8939972423769,266.98715560897847,257.70395101236267,232.9207839885777,405.5723569358242,1.8515066691838904,1.7091088636568426
21,14.79,15.28,0.5,13.739662369312894,0.09271231599603333,0.03320549136021345,267.0533045630933,325.1083707724607,647.5398186871097,248.67538828756224,233.35020435029853,224.48533493720277,397.6589404026398,1.9472964174522984,1.7955261211752702
22,15.29,17.63,2.3499999999999996,19.80477580137868,0.13956661929550296,0.04955705186529461,293.92502973853084,357.8217753338644,751.2553163722938,280.70468026395616,275.2115279801094,250.97725206416413,430.17061714216067,1.823935893824976,1.6916440288351544
23,17.64,18.14,0.5099999999999998,13.513428556636663,0.08850158241104837,0.06059725107094464,276.23182377977054,336.2822202536338,654.7267358422228,245.97182376302655,227.1587074485062,234.13513276464025,412.9883035137294,1.9874576621156592,1.8399099492069495
24,18.15,20.33,2.1899999999999995,13.870324204991599,0.12377345325630935,0.07564994914317731,293.7525170871739,357.61175993221053,666.0804738565245,257.0539389674085,257.7039684091713,246.55291857042954,439.43766872152116,2.0814835855973786,1.9378920250262979
25,20.34,21.0,0.6699999999999999,36.36827329913974,0.5884336898837661,0.0820664787222573,402.56254512226366,490.0761418879733,969.254291903074,387.9656663759842,534.4270375136487,328.9320198886367,552.0089423443632,1.918565374724146,1.8163966087175112
