Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.03,0.52,0.4999999999999998,4.18747784100171,0.034546340990880164,0.00038729833462074176,102.79482085261954,125.14152103797164,271.2589230553819,92.53553780045713,98.29269741269307,54.19429799654827,119.73990255071845,2.0254794385692856,2.025480262522084
2,0.53,1.83,1.3099999999999998,3.301757732966881,0.13273362415236167,0.04529419293233723,139.059016977204,169.2892380592051,290.8735359345424,170.9047842608089,277.54517003039643,91.37596662333232,213.45911305934357,2.509319472425193,2.509133564758001
3,1.84,3.7,1.8699999999999999,2.237762900974474,0.02662483503796255,0.8752942061614393,125.83061277914479,153.18509381808937,281.112967346802,151.7430981836812,156.63140039341351,96.85537358834556,216.38201872497203,2.2886908177845466,2.262006588775522
4,3.71,4.47,0.7699999999999996,1.2831504619418597,0.019502957521390547,0.5812747932260389,120.89365688499295,147.17488664260014,237.42966956877814,141.05004884219395,146.62335262223883,97.5817198233287,229.44436506084696,2.627153982512106,2.5338642857711133
5,4.48,5.32,0.8499999999999996,0.7720252231198158,0.018075969788309658,0.37614897704113787,114.00054983980546,138.78327806585028,199.55793245352402,131.20471860014794,146.69827184907072,94.77613653195284,236.93705582268956,2.986957591861372,2.8470513040599585
6,5.33,6.69,1.37,0.639568918545681,0.019382004724972396,0.30276070835177243,116.02390979444272,141.24649888019118,189.3788455703989,128.3622358600858,151.20874770011642,98.17126397091523,251.36313153352134,3.2158292046167802,3.0127869235732754
7,6.7,7.19,0.5,3.5194157146124923,0.03758329497810814,0.09930200835048023,167.26850064465978,203.63121817610744,358.08094833391436,175.5906616205064,176.0916413374391,138.09977441870976,287.92032142234814,2.3244062025061663,2.168817115646704
8,7.2,7.81,0.6199999999999992,11.722016937767771,0.08918110456773139,0.02099498148247034,216.21336563679517,263.2162712100116,568.7887070572763,234.0534875725624,235.89247374346422,180.27684954444018,331.46548800644166,1.8191866168390087,1.7133933237378693
9,7.82,8.92,1.1099999999999994,17.677739773322767,0.15546746033550776,,246.54441869547392,300.1410314553594,672.5073927999107,272.3962160972972,300.18528655037846,206.434579071279,367.3438493605494,1.7329742519056421,1.6461426791713976
10,8.93,10.8,1.8800000000000008,25.25085059876187,0.3017992350424764,,290.7781938797073,353.9908447231221,783.2118501699276,325.26097658629647,416.9294039410121,240.2912573523829,418.44636398843585,1.740409566305652,1.6699355251635999
11,10.81,11.3,0.5,19.815296375437725,0.32359537731324184,,295.4683828217613,359.7006399569266,722.0878242211373,319.46374241897973,435.88782477195343,240.99894458985528,433.9791450447941,1.9368431017717065,1.862752962008523
12,11.31,11.97,0.6699999999999999,9.194447246954606,0.1474503673738661,,246.85595028691228,300.52028730580633,541.0777480654723,248.79183457327352,300.995199938584,205.06020173972254,394.71600993692147,2.2032508635191403,2.107985244026923
13,11.98,12.86,0.8899999999999988,22.007275802465287,0.3285489108418302,,306.469820564871,373.093694600713,760.3233602508968,326.3696865543422,435.70811856188885,253.0259918909749,448.1691919249413,1.8962626379859582,1.828111420351511
14,12.87,13.72,0.8600000000000012,13.93313581711301,0.23877756497510935,,283.7626039723088,345.45012657498506,642.7546538128627,286.92348603755954,370.6054490937231,235.12490243440337,435.95219147332824,2.1050043939265857,2.0253916086781087
15,13.73,15.5,1.7799999999999994,3.9373591649963866,0.06416936062592571,,212.31144071926286,258.46610174518963,400.0166424492005,191.35516128984207,211.66832080521442,180.415945248559,372.85759393016485,2.6162034465987345,2.5079778310357397
16,15.51,16.0,0.5,10.673179705266312,0.407122194533426,,310.54569425445374,378.05562778803113,590.3622212762807,305.09653878289885,512.0432743425653,247.95709650596328,486.82805573529697,2.5487107413472403,2.465664527302897
