Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.06,0.56,0.5,4.29518830006833,0.022681558475892358,0.00033166247903554,98.31001251987462,119.68175437202132,278.613985951557,88.36865301160115,77.82796419237752,55.10241123210944,118.43795669972418,1.8635336499126867
2,0.57,1.06,0.4900000000000001,2.094289661929625,0.012037031508257521,0.0003342800599262368,97.11511052228829,118.22709107061199,236.10028338176215,98.05744549306752,84.78298324150059,63.98578349988373,143.26909095416784,2.161338186337527
3,1.07,1.86,0.79,3.6180777200368217,0.021367655234737732,0.0003733476532280372,118.42286671150447,144.16696817052735,308.4289384864456,124.53941279357753,111.63820522121297,85.5414620845501,179.93728431923796,1.956682050831069
4,1.87,2.45,0.5800000000000001,6.078954793517005,0.03209658754416346,0.0005665918227007997,136.9948170328324,166.77629899649182,391.14856361298837,149.21114809436577,134.72965255427806,106.4942292513006,210.60716091017002,1.7370089344278314
5,2.46,3.8,1.3399999999999999,10.860686795456164,0.048418489982939815,0.0014453283191921155,158.56021529031497,193.02982730994856,506.2481474744343,180.5093145882404,163.34506118444358,132.63233084167382,244.7853947222731,1.5088132076950818
6,3.81,4.61,0.8000000000000003,19.803977822614886,0.03942618824381396,0.002599999999999999,166.5092212352611,202.70687802553513,656.015827722749,190.05431762509085,143.34874373660358,154.6550208628876,258.4527737280289,1.1781485443709587
7,4.62,5.11,0.4900000000000002,14.783718766639058,0.02605503338207922,,162.57383213918303,197.9159695607443,595.1287977374183,179.04268529012137,129.925631551338,149.19063205547795,253.55118809345063,1.2772414083681791
8,5.12,5.61,0.4900000000000002,8.39846653063649,0.017749046298774145,,154.51434617758827,188.10442143358577,484.0296355475968,163.04854055026595,120.23071142092918,136.88656594174287,246.22545840760037,1.5233461647564137
9,5.62,6.46,0.8399999999999999,12.679970458454699,0.015083015348523356,,161.29096873163232,196.35422280372583,573.3581625951277,172.4584000152052,117.95288157127253,148.08459248413317,249.13678010666428,1.314094487988929
10,6.47,7.3,0.8300000000000001,5.427521470163313,0.02526288521222527,,160.8024090148336,195.7594544528408,419.82647781564873,167.4675297978116,143.98105349738356,141.86291321005763,273.67811824674885,1.859082947190358
11,7.31,8.02,0.71,7.849288684237959,0.026455878791256725,,171.79391026537175,209.1404124969742,488.6331550122451,176.65331503751568,142.29121450864184,154.7364755295869,283.69425839898054,1.678587498275015
12,8.03,8.62,0.5899999999999999,12.012202713395078,0.02716698809103857,,180.69204153096968,219.9729201246588,579.7776627450053,188.16841715099812,141.50897661233174,168.7134143214917,291.6136083698469,1.4585507721074862
13,8.63,9.67,1.0399999999999991,4.525830279035542,0.026234701137955153,,168.0163655682379,204.54166243089836,402.7948494071585,169.51945034084184,152.26990840201043,150.04234756218824,295.15151248640757,2.0307621104696505
14,9.68,10.61,0.9299999999999997,5.757710059870617,0.018561157999629627,,171.81729309719046,209.16887855310114,446.29260113691674,167.60939184136188,131.74036652392846,155.3398467228886,290.1661223258553,1.8482110155459044
15,10.62,11.11,0.4900000000000002,2.3029107811196936,0.04320621495759803,,164.99451136330754,200.8628833988091,316.27779369867017,168.52341978186143,196.06302797068093,148.84754557842058,327.31615700349585,2.6080084913770216
16,11.12,12.34,1.2200000000000006,5.131607253785428,0.03484771858831038,,185.037821240787,225.26343455400163,433.3165050048953,181.62692381492602,169.4215689678571,167.61167917587557,326.42267219824004,2.065791133604815
17,12.35,13.04,0.6899999999999995,2.14740278897002,0.04600606006005403,,170.73593942384878,207.85244799425058,312.92268964329566,168.33359457074542,200.3616770260113,154.67553044383112,343.0733832926015,2.73052555940878
18,13.05,13.54,0.48999999999999844,3.604781572709023,0.0680764753191164,,194.63352722458748,236.94516357775873,383.35884888980246,192.0352017791158,228.86117732232216,174.39153266147738,366.6544453707753,2.5014180629499494
19,13.55,14.29,0.7399999999999984,1.2105144496075648,0.021898852698059575,,150.31381566653712,182.99073211578423,253.6323168643704,138.1325140566296,152.0944569029569,137.38444892918778,317.50893112528,3.0065797811107515
20,14.3,14.97,0.6699999999999999,2.2474184106081045,0.034872930876176655,0.000751846294856538,174.1391433499545,211.99547886081405,323.2360678895557,161.9444688038329,175.5179978823059,158.29061590402625,343.178594667908,2.680479192337458
21,14.98,15.47,0.4900000000000002,3.658821766512989,0.0470407217783383,0.0012902021402351313,194.6532937439063,236.9692271664949,390.96272748417255,181.7435494825984,192.99453282670444,175.99478922975882,361.68638330902183,2.438748551274336
22,15.48,15.97,0.4900000000000002,1.8150264212183729,0.035106260545444495,,171.80956357333497,209.1594686979731,299.9008522992772,156.64790217014374,177.93128623709603,156.67907718360786,349.22738495600856,2.8704831186237527
23,15.98,16.47,0.48999999999999844,6.657891577489318,0.044633298021744865,,212.38631855437856,258.5572573705479,494.57129679994,197.09882850279152,182.11015121915813,194.41357124268922,366.6743227616017,2.052465091724206
24,16.48,17.02,0.5399999999999991,5.44132913648044,0.06332444962455822,0.006817700447148441,216.46383899522405,263.5211952985349,459.3751266747441,201.60142381891234,213.626101533642,196.1374233389128,386.2594073754523,2.2769578411238593
