Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.01,0.85,0.84,0.8195676277875029,0.021153505504192215,0.002305658200721749,76.93323313369277,93.65784903232158,150.87024667632573,74.68208216689489,89.20608714869998,45.549874282596356,121.77189050737306,2.842056436443977
2,0.86,1.61,0.7500000000000001,0.4044361561022718,0.018543788230417697,0.00487395000260529,77.81345647525843,94.72942527422768,131.425938109895,93.43546752738429,124.01784176898389,58.74713714004019,166.311764689206,3.2616633947615012
3,1.62,2.11,0.48999999999999977,0.12325996330693616,0.008533749002587807,0.007645351380735037,61.15317226685187,74.44734015095005,87.5673134671854,77.4635520316756,109.04756546738157,52.24757354215223,165.97055668468366,3.931345033439227
4,2.12,2.88,0.7599999999999998,0.3088407205868311,0.023107008597151143,0.02394306394494204,82.70022478868486,100.67853452535533,128.21343665294424,107.34147834777391,162.53946776201488,70.2549741621606,204.7915071384604,3.528275815376819
5,2.89,3.51,0.6199999999999997,0.34582488917389426,0.01646264541452043,0.08693498602590899,86.57240043822387,105.3924874900117,139.3372835955039,106.27988853411998,141.51342605624748,74.40785437766921,208.88981473151492,3.361583008401373
6,3.52,4.25,0.73,0.3649493724438122,0.007701699799463205,0.14601447966861017,86.281764745825,105.03867012535211,146.84950682695379,97.97387379989425,104.79706229928857,74.30768495168249,198.85015622614335,3.1460711864510658
7,4.26,4.85,0.5899999999999999,0.45996320513057865,0.0062990062777422634,0.186355511278118,91.1579308180805,110.97487230027205,163.03128798449808,100.28602561780735,97.68121367050381,78.98814638321169,202.06324087793092,2.957383820342269
8,4.86,5.84,0.9799999999999995,0.6877294112710052,0.00796940539145292,0.08247619604170979,101.03934913192757,123.00442503017284,189.33031349018648,110.80876503286574,107.02795001514987,89.2347425059143,217.5997370545888,2.776499165313187
9,5.85,6.72,0.8700000000000001,2.085190651276511,0.020666434264077136,0.017840461321761578,134.52703546774214,163.77204317812092,289.60509674765905,147.27454608745424,147.1836933615283,118.514630987607,258.6945733400174,2.3060297626413604
10,6.73,7.39,0.6599999999999993,0.48161320475862335,0.014200067094903233,0.10317607737475121,104.13236276706203,126.7698329338147,170.70497621256288,118.16700139715186,144.5407870775504,96.09236308341546,251.0243283561889,3.1922127710792747
11,7.4,7.99,0.5899999999999999,0.9250145111907548,0.016664303795142808,0.15027362053382615,120.26975021172716,146.41534808384156,219.47819717297563,131.19814515517166,143.39842336322386,109.56881293016615,263.2234215454232,2.773640793207698
