Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.03,0.73,0.7,1.4041888132680207,0.01978511461742634,,84.250173878643,102.5654290696522,184.13112832780772,78.13976152095533,82.62700869457422,48.09917150328373,119.28183087493228,2.5086432516886874
2,0.74,1.23,0.49,2.0894801149503057,0.013026567730438652,,99.90543575775874,121.62400874857589,240.46816295422892,103.13378454624628,90.52680185808686,67.96541254910917,152.05216675986298,2.173609517738294
3,1.24,1.85,0.6100000000000001,1.4321718986786542,0.013362820683524877,0.005646163892177209,99.766901062589,121.45535781532578,217.83846870543505,110.28852243693436,104.51156476787453,73.18682738140055,170.66074841896372,2.401600306736323
4,1.86,2.52,0.6599999999999999,3.6379045097040996,0.008438482288042688,0.0004826219302543652,115.88782846450744,141.08083465244377,321.8839755988245,130.45460617652435,97.73832824559229,88.84433323233267,176.93971863761584,1.7987545522198665
5,2.53,3.02,0.4900000000000002,0.9380831627645396,0.009740086399253937,0.014647123008847057,97.81654403904632,119.08101013449121,196.8981965829355,115.64968139935254,111.43753058273293,79.05598411495023,189.61125319639143,2.596177242086104
6,3.03,4.48,1.4500000000000006,4.104590437983042,0.022979604631115976,0.02438793117769305,139.66064146903918,170.02165048404743,355.64335804730325,157.43687737194762,139.87656704005263,114.04924684091857,231.07274534046726,1.904612481166513
7,4.49,4.98,0.4900000000000002,1.972428156171809,0.017898244034695802,0.012658142215303205,126.9767139095722,154.5803473681749,275.31238331866615,142.89511498957464,137.06797896932378,107.3900629251169,236.27240571074225,2.287449979132576
8,4.99,5.48,0.4900000000000002,5.079333586977893,0.034640395334818275,0.0049861275107597625,158.7878870290096,193.3069929048813,398.80253259854084,174.17023969591835,163.69821153908154,133.67564974787825,265.93324947616907,1.8916925259133013
9,5.49,6.12,0.6299999999999999,3.366325641920039,0.023280650299987354,0.026394075241503303,146.48150126963975,178.3253058934744,344.67792732314024,158.27690278572985,145.5971388523631,125.44828534020324,258.43798857433814,2.0442602287955562
10,6.13,6.69,0.5600000000000005,0.5862988184385141,0.004789163153716434,0.09705514863379838,100.79611454686325,122.7083133613988,180.8882804970659,104.77978419201642,94.08170440881675,87.9336809460628,212.99845730547497,2.8238666521429656
11,6.7,7.24,0.54,10.602650742628155,0.026017576305098874,0.015338727831273425,174.6455402751043,212.61196207403952,543.4759102782556,184.59749219071838,140.45444467942934,157.15638707834526,276.97584311293036,1.475086697814081
12,7.25,7.74,0.4900000000000002,8.04957664339433,0.02608084626853108,0.03786307245844103,174.30776606306534,212.20075868547113,492.82863546838524,180.60465833128464,145.03219629210838,154.15867496416223,281.6314460652232,1.6428201609059871
13,7.75,8.24,0.4900000000000002,9.93594354564253,0.02050333268502774,0.034431688782896736,175.2473985291986,213.34465907902427,537.4805917359151,181.19608670050883,133.2194813817048,158.58467869548858,277.88906075838355,1.4966112540907417
14,8.25,8.74,0.4900000000000002,6.616470243273875,0.02503837048866101,0.01875846590943825,173.57205193852977,211.30510670777542,462.9743389508158,176.6825566776464,144.46072749437513,154.65441341796534,288.744457430325,1.7526761669363409
15,8.75,9.3,0.5500000000000007,10.131667659158014,0.022392528053576166,0.0421501903548553,181.28685439482763,220.69704013283354,548.0657374336964,185.32956582448082,137.58320807599168,165.68736596060867,289.88498348704763,1.517570087292315
