Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.08,0.8,0.7299999999999999,2.608581522698584,0.027272764594796106,0.005491048800790581,97.37160146725631,118.53934091666001,238.31835258433193,83.18921622318071,85.32272282592348,57.3417266014231,131.93967431160536,2.183351012428864,2.183351012428864
2,0.81,1.4,0.5999999999999996,31.298902810376074,0.27603844413253864,,195.41921144021444,237.90164870982636,683.8786809408535,215.56575387138787,294.55216902153086,133.44812031511051,237.43406446538611,1.3830816037533242,1.3830816037533242
3,1.41,2.11,0.7099999999999997,12.996846933572561,0.06889758544434073,0.0030251545688148983,154.6030425165241,188.21239958533377,512.1760822319254,166.60746267725858,162.30865735403387,119.4552544024428,221.88564825722628,1.4682088086380838,1.4682088086380838
4,2.12,3.02,0.9099999999999997,1.5408548995440756,0.014385697221242071,0.043948633415406,109.18015183262521,132.91496744841336,236.4181180858065,110.11155279438107,105.61839185764899,85.76074187161483,196.16155063287883,2.3871653777334205,2.3871653777334205
5,3.03,4.09,1.0699999999999998,2.245320399473015,0.012091975443359894,0.0011999999999999995,118.47436173561427,144.22965776509568,280.4694467203434,119.35117180065413,102.24518441706147,97.74504521733269,208.922074997151,2.1344259681584026,2.1344259681584026
6,4.1,5.38,1.29,3.412588403475654,0.01602767379105583,0.026600000000000002,133.17108992989125,162.12132687117202,338.69065630218284,138.75674875143187,118.10246050275056,115.10067557532419,233.75918820067062,1.9459531208771272,1.9635594898974742
7,5.39,6.17,0.79,8.185595992126482,0.04052281562947105,0.00655095094200111,167.50079801867312,203.91401497925412,483.05856536152874,179.224322740331,162.27384645270996,149.09324985100022,279.25399152578393,1.6651532163373712,1.6946745851444842
8,6.18,6.67,0.5,6.26110595121164,0.0396929881221145,,165.89433807579806,201.9583246140149,440.5063700769179,177.5631956786105,168.80303982295317,147.49832310473772,285.53012886833494,1.8246353845911607,1.854952464863094
9,6.68,7.57,0.9000000000000004,9.515401825004615,0.04545184004081847,,180.29049217895056,219.48407743524425,522.3385163467021,190.07143368789477,170.60017459708877,163.03541114908123,299.2011458392676,1.6437743251413837,1.668244691415522
10,7.58,8.17,0.5999999999999996,5.5091403696934,0.04433111419371399,0.021506554853081596,172.39748154223523,209.8751949209821,428.2788684204806,182.2603867940848,181.07671594624466,154.64616788129106,304.6777303187545,1.9554735187083045,1.9833127267127546
11,8.18,10.42,2.25,0.7346344920146447,0.011894899274681398,0.24398047991549818,118.51172309300391,144.27514115670047,207.29354609801047,121.15239893120851,128.1028588297232,108.57492708746258,263.70758146947276,2.9403209931278225,2.983256273131493
12,10.43,13.24,2.8200000000000003,1.416229072524343,0.02008348550272196,0.5155542715125696,145.8683884081027,177.57890762725552,272.7742151665362,142.14867197123803,146.9190891580726,133.2817339259663,301.50724657389435,2.6893344678868294,2.722026308680463
13,13.25,15.7,2.459999999999999,0.9859933351228122,0.008735536853658155,0.5514248736288373,138.27702671233553,168.33724991066924,246.0106022391381,120.95726670170166,109.93089727669225,124.90190650029409,284.04428490340035,2.8376473950516634,2.869419810319058
14,15.71,16.72,1.0199999999999978,2.4194503267791307,0.04439052387139221,0.37504166702478525,183.002622381084,222.7858011595804,340.51862654838936,170.8714218231631,195.49088055526005,167.93264357044504,363.6117122511096,2.6616480704112893,2.687089875234782
15,16.73,17.84,1.1199999999999992,1.81417124750222,0.04574182633625128,0.6161634458795371,178.91477281846193,217.8092886485626,310.83990540420206,164.57534502201233,198.66629013902892,164.40858007652082,370.19100139436995,2.8750015912453213,2.899596450737337
16,17.85,21.92,4.08,1.4015081225184196,0.032712662380689476,0.6678905519423278,174.54688737051637,212.4918628858459,288.15163894193205,150.0374144088205,173.40263407511543,160.1130294950568,366.3458347526629,3.0392133111829467,3.061066986030998
17,21.93,22.99,1.0699999999999985,1.7970516776656114,0.024680288409563638,0.7120467137111912,184.37713408019607,224.4591197498044,319.92534175264143,148.96320188384183,151.10964144848575,167.77224130600487,365.04407960395446,2.858081652577936,2.878572299052337
18,23.0,24.7,1.709999999999999,1.4658269273388067,0.029598702069391962,0.783454231913732,184.33950398731105,224.41330920194397,299.7122766272812,147.6079062978028,163.12169436274988,168.17648211209843,378.9092714811263,3.072535173707018,3.091091411337423
19,24.71,25.44,0.7400000000000002,2.9176668748596533,0.03276820912566379,1.3287240615991898,208.7849506308338,254.1729833766671,389.69413684556093,167.18503214338912,162.70279898062628,189.9110085569945,390.85335386371685,2.612175457490344,2.631562363777176
20,25.45,26.0,0.5600000000000005,2.819609977299773,0.06381577889699579,0.8443396482759477,221.11988859314917,269.1894295916599,382.48601769624184,181.56297785011824,214.5329110880173,201.15484070569119,428.8935816240041,2.8396565803798115,2.8566575371622336
