Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
1,1.5,1.99,0.4999999999999998,4.355654884603856,0.015769554603750374,0.0007621602072683569,117.36128902034395,142.87461272041875,337.1735751130815,129.74090386507208,104.89159822171776,90.1704522828379,181.46858900685717,1.7436473134901544,1.7436468058369614
2,2.0,3.21,1.2199999999999998,4.769191321146621,0.011629756503815609,0.006340103190451622,123.69911239865326,150.59022378966515,363.01262143740166,135.75624990390722,101.77071087834635,99.40971809163806,192.87802120551345,1.682977459637559,1.6818581258310825
3,3.22,3.9,0.6899999999999995,0.8848060574951869,0.005969581257261151,0.052749076086329484,97.30739041382166,118.46117093856576,197.91625772179867,103.9347084754751,90.11584375117951,80.66421527131956,189.40155830392618,2.5538457581076757,2.5534034717651135
4,3.91,4.74,0.8399999999999999,2.4113906833621486,0.010150317218083859,0.015199200609973007,121.48891483708519,147.89954849732104,294.2069520221039,130.33379355179892,107.2800873580974,102.8054242270949,214.76435923953716,2.0685798738437677,2.0657916551676823
5,4.75,5.48,0.7400000000000002,1.2999718356311794,0.010699317352427845,0.03254160404850458,113.6548939095298,138.36247954203634,236.66356951103845,123.69316323810267,114.5271487886826,98.99528605271686,224.62658093014068,2.4511183521836366,2.4509715294095957
6,5.49,6.08,0.5999999999999996,2.335569180084512,0.012654432790036078,0.05769108127244033,128.95599721614423,156.98990965443636,299.7579567047899,137.10646740781317,118.07960243473357,113.0365025365855,237.89805276072238,2.147163734003605,2.1218220037610336
7,6.09,6.87,0.79,3.4823690410747448,0.011535886741346537,0.039477361956901796,140.0645630764388,170.51338113653424,353.2740886324108,144.3777172511129,115.70094505388698,122.61427539098898,242.60325469443694,1.946080616680332,1.9094991443758114
8,6.88,7.48,0.6100000000000003,7.274426492246608,0.022587085823260585,0.03225678406489483,164.8111921714988,200.6397122087814,471.9656316615941,169.5881957974575,134.76679742433382,148.338374807063,273.21549306864165,1.6708829171869994,1.642854621088316
9,7.49,8.52,1.0399999999999991,4.775341864944785,0.014501786817293827,0.06435281055094118,154.989532250573,188.6829088267846,406.60103971557413,154.85944090197816,120.1539952001225,138.68896059180864,264.26657620825216,1.8449110605742618,1.8146818692081452
10,8.53,9.22,0.7000000000000011,6.285113649758612,0.018219079408398304,0.036292557013580314,167.15275366611746,203.49030881092568,455.93367620876165,166.5417231272474,129.84744000379317,151.34152618383183,280.023071871979,1.7558906642157417,1.729770119280765
11,9.23,9.72,0.5,11.953570541364398,0.05574560393215336,0.0161305357407938,201.64104862343848,245.47605919375127,586.533766177789,209.7849291040825,188.8188202074646,185.51882415048772,330.82811851881814,1.618525868192549,1.5984573943472475
12,9.73,10.52,0.7999999999999989,8.291703177231149,0.022538473702127648,0.04513540937663054,179.85171795867595,218.9499175149097,513.541840915901,178.98158247619324,138.1324929652489,166.28905286274008,298.24574554144,1.6573768019516768,1.6355146074145537
13,10.53,12.0,1.4800000000000004,4.143486846179409,0.03518142057295342,0.06807587841638543,178.24688382023592,216.9962063898525,398.73266789782696,176.02597912858172,171.24580954755143,160.8262234060715,322.96679396972326,2.1810080689907183,2.1546819853845744
14,12.01,13.66,1.6600000000000001,9.631816268722897,0.04097811645339504,0.08986004120067312,205.0790940351291,249.66150578189615,556.8276143663418,201.77203037055378,172.45702038227432,190.70558850499768,342.62451748922354,1.7363716638316924,1.717802036129913
15,13.67,14.22,0.5600000000000005,14.92668108474072,0.08981798317625585,0.10711839264159767,237.69351564906097,289.36601905103083,663.618760317633,241.11491632969336,232.78592948897733,221.89009834077265,388.7897583253102,1.6698166712494968,1.6544842769025079
16,14.23,14.8,0.5800000000000001,5.09196454569569,0.04032220179547191,0.04878778804826781,198.1105725620033,241.17808833635172,442.33002880023395,186.76650620171068,178.87211781876925,179.8235613816598,351.1105350867504,2.164004969581171,2.142865353628705
17,14.81,15.49,0.6899999999999995,6.619091777614779,0.04237856715823888,0.029062067942366824,207.42379135583747,252.5159199114544,490.33567913090593,195.17265043056574,179.37484388227188,189.7624203040211,357.92956993788385,2.0228277128068295,2.0037662283114592
18,15.5,16.5,1.0099999999999998,5.133860909996881,0.03001973890283549,0.07186738041405595,197.38774856132247,240.29812868334872,447.70769126651425,179.88548973581985,158.16422313027869,180.4977747958603,346.34111363911086,2.121118509811343,2.101225851824455
19,16.51,17.25,0.7499999999999982,3.3277563501363585,0.02307668626636409,0.6982379606446149,187.71171965545813,228.51861523273192,389.21833112082976,165.59982531425692,149.26272491635055,168.40331884577827,338.1835002229058,2.349710404862654,2.3255993037905283
20,17.26,17.76,0.5099999999999998,11.078008301233982,0.14491555376056067,0.07520929932567703,262.27632798604105,319.29292102648463,605.7795472013019,254.64651795045592,299.1380940211208,235.6254154272542,437.3017691619246,2.0516005295796322,2.0362710029696935
21,17.77,18.29,0.5299999999999994,15.807301054282476,0.24528904769117954,0.19273495657584677,294.26926118255994,358.2408397005085,696.0449708084243,293.5015898879852,381.14809075495697,261.1915296460125,472.99050979994377,1.9870376846555668,1.9733118785485264
22,18.3,19.37,1.08,3.1936744869985847,0.05213500892589807,0.6360677924054359,206.53228178317127,251.43060390994773,388.17108347864104,182.58394281947548,201.65013181486862,184.66361027362137,386.42888607203685,2.610437908226639,2.587271426862376
23,19.38,20.08,0.7099999999999991,6.600498720684847,0.04069671282560435,,221.27896020004368,269.38308198266225,502.38976786866834,195.91337505498447,176.07209178068874,203.45535054484972,380.6523900448858,2.0992798955070517,2.0818568414046505
24,20.09,20.6,0.5200000000000014,14.307799401194437,0.03518212443100977,,232.57545450889455,283.13533592387097,677.3383366553361,220.97798001052834,169.7956050974845,226.62770304445172,378.5904626079856,1.5788319831688042,1.5657654819568865
25,20.61,21.1,0.5000000000000018,7.002184783399557,0.031216726048479915,0.007668811019681711,220.65185129756495,268.61964505790473,516.9077338423044,192.60366091105368,161.47735020529572,203.84644899130356,373.1147244665504,2.0235764960572014,2.006826291426735
26,21.11,21.62,0.5200000000000014,5.516506773438005,0.0857022741520556,0.015236988308535388,238.72282386878953,290.61908992722215,473.14570112028997,210.2115463077224,237.0673645291691,215.63053108669882,427.31604191101036,2.43733116507968,2.419814877305608
27,21.63,22.57,0.9500000000000011,7.872241199756026,0.015154391609187308,0.05689984826057639,213.57922737819746,260.00949419954435,544.0946126517381,184.4779827463981,132.46053026313075,198.4140598927621,344.9718633690158,1.8397932157668648,1.8238463843432058
28,22.58,23.28,0.7100000000000026,4.479580812834237,0.013413535210510743,0.16160132757807236,201.91107517713738,245.80478717216755,441.12481701906944,163.18656158855217,123.6516680220726,182.9656655995698,341.30085166210586,2.1925027262843866,2.1743841631694307
29,23.29,24.88,1.5999999999999996,7.212967484769357,0.01903271598652401,0.19163509831993292,220.41352151404402,268.32950445187976,531.3600835777693,185.00957030270212,138.83784869868506,204.49757425889007,362.91639742619003,1.9522932472874115,1.9362846056844345
30,24.89,25.82,0.9399999999999995,9.474832643704822,0.029511621873995492,0.20670401819458273,237.3882306314627,288.99436772525877,592.5032520092295,203.2745294010874,158.53463827557272,223.7568410134831,390.03832895062993,1.869447723846879,1.8549433163708482
31,25.83,26.32,0.5000000000000018,8.373808985807532,0.06422954740985577,0.09707033897167203,258.0609400646774,314.1611444265636,566.3977047136736,218.4734198941271,211.34561348611328,236.30300629429368,434.2081666556581,2.1546382775587847,2.1399042599026803
32,26.33,26.82,0.5000000000000018,11.40312694855999,0.03311290347721462,0.0950864944582825,246.2568023069136,299.79088976493813,638.3349467851119,213.6463446456127,165.86412141650254,235.0665513277812,401.20976525806196,1.7865176102150178,1.7729136413876463
33,26.83,27.49,0.6699999999999999,15.12771424725393,0.12682778342885928,0.016906803364326442,296.2321550381919,360.630449611712,712.00358643759,265.25486310033426,275.32809417231044,275.3603401432981,481.38149948847206,1.9319213812725298,1.919654406105433
34,27.5,28.29,0.7999999999999989,12.022535799009935,0.15610769054161272,0.006668228800911479,301.40067258656995,366.9225579314766,653.9731738346495,261.02170926003504,297.63831740092854,273.0509347880697,497.0628328847181,2.1667760886511243,2.153886937723247
35,28.3,29.0,0.7099999999999991,12.17523233683466,0.3519988215640319,0.03793606005777761,336.8722072489053,410.1052957812754,659.1724408160361,294.74179877761765,430.69788503011296,294.82684539874015,556.2786135842579,2.4245050227021556,2.411737827621901
