Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.01,0.25,0.02,0.25,0.02,0.006,38.309352283229366,46.63747234480097,68.03789253010709,26.936836335089566,39.77954032998221,14.5246833736939,49.686500630955656,3.5446234297445542,283.0
0.02,0.453,0.026,0.453,0.026,0.008,48.78965576128175,59.396102665908224,91.4028557120176,35.96325233377396,51.01870664406515,19.607629443781008,61.534971847690336,3.252541946368125,283.0
0.03,1.022,0.032,1.022,0.032,0.003,61.91842875808796,75.37895674897665,129.68387165032553,45.40244202972588,58.251259473980895,25.104172417164893,70.47107016076158,2.8136477261201507,283.0
0.04,1.693,0.035,1.693,0.035,0.002,71.08438982995484,86.53751805385808,161.78320756479573,52.63493521280724,62.67785880165096,29.46284969750006,76.96651820294312,2.530151664055373,283.0
0.05,1.999,0.039,1.999,0.039,0.002,75.99361495530584,92.51396603254624,176.23211911770034,57.90260134482796,68.91649096120096,32.397156135936434,82.69201601953479,2.4576875848611737,283.0
0.06,2.355,0.043,2.355,0.043,0.003,80.65846274580969,98.1929111688118,191.0394752533773,62.90621309687924,74.64233111532307,35.17940126181781,87.80831710244813,2.3839196796790545,283.0
0.07,2.44,0.05,2.44,0.05,0.003,83.99960883682581,102.26039336657055,196.621842796347,67.50060821314288,83.38775584858027,37.3726353555917,93.13273240059934,2.4035302503625537,283.0
0.08,2.457,0.055,2.457,0.055,-0.001,86.3588445619361,105.13250642322656,199.7425205482256,71.1411862626989,90.49863062296345,39.13319303231609,97.5388587662778,2.4261106656220868,283.0
0.09,2.406,0.059,2.406,0.059,-0.001,87.97548625360295,107.10059196090796,200.4723575002714,74.11752859991225,96.88644035566284,40.54940885803363,101.39474782100496,2.4588584356566803,283.0
0.1,2.355,0.064,2.355,0.064,-0.003,89.57319833286766,109.0456327530563,200.91002489038308,77.12987152483899,104.03123571752926,41.90804987556204,105.2242611048309,2.4954279028310844,283.0
0.11,2.262,0.067,2.262,0.067,-0.006,90.44116091264162,110.1022828501724,199.69600068635856,79.37405442705996,109.62327521992002,42.947326372221056,108.4039417951832,2.5336106680279644,283.0
0.12,2.185,0.071,2.185,0.071,-0.009,91.41475481651752,111.28752760271698,198.7540657017631,81.746007162656,115.95786975998114,43.99118490725643,111.62671303061924,2.571997693137697,283.0
0.13,2.084,0.073,2.084,0.073,-0.011,91.80947623907775,111.76805803018162,196.7285739263797,83.44997556255485,120.67906823652504,44.77866516136756,114.28237005191374,2.6094061180989785,283.0
0.14,2.041,0.077,2.041,0.077,-0.015,92.80808233282052,112.98375240517284,196.57397711836364,85.71894677641443,126.78987919554608,45.77596830901202,117.23756264866172,2.6382567243075306,283.0
0.15,1.939,0.079,1.939,0.079,-0.016,92.9670740126098,113.17730749361192,194.06941307478397,87.18419019647774,131.49376476516358,46.4178954614653,119.65488717586524,2.677537522529855,283.0
0.16,1.837,0.082,1.837,0.082,-0.022,93.10753096207878,113.3482985625307,191.26833846670303,88.73380209304553,137.11071984098615,47.0371983761623,122.1665528334578,2.722378784691657,283.0
0.17,1.761,0.085,1.761,0.085,-0.024,93.38817729337912,113.68995496585283,189.31501192102763,90.3212929386006,142.5653484430232,47.688508669263854,124.59666330774868,2.759382060935996,283.0
0.18,1.727,0.086,1.727,0.086,-0.024,93.81004722688928,114.20353575447392,188.9727833374421,91.66722435770164,145.87230261388143,48.36342481692388,126.58564567772171,2.774983077967751,283.0
0.19,1.676,0.088,1.676,0.088,-0.023,94.10962247523996,114.56823605681386,187.82641563516447,93.05054432981515,150.19581708371217,48.97775155938178,128.68466358803917,2.8003859017124912,283.0
0.2,1.659,0.09,1.659,0.09,-0.018,94.74310047293396,115.3394266627022,188.09023502240925,94.59228560373556,154.19435477762423,49.70089044711821,130.73706584625975,2.813151233820269,283.0
0.21,1.642,0.09,1.642,0.09,-0.013,95.1391610207145,115.82158732956547,188.3010345237685,95.68288035178874,156.29176425827734,50.304941608633,132.35078591388356,2.81919750692368,283.0
0.22,1.642,0.091,1.642,0.091,-0.011,95.79964063921165,116.62564947382288,189.1878817609267,97.04102024542748,159.11720298412305,51.0064969479247,134.1102079699674,2.8224557292781864,283.0
0.23,1.651,0.091,1.651,0.091,-0.011,96.43467121241066,117.39873017163038,190.42000663923776,98.21421380461176,160.86098752918886,51.68138878582191,135.63245017239092,2.819154969327608,283.0
0.24,1.659,0.088,1.659,0.088,-0.009,96.7255318259876,117.7528213533762,191.5955802248684,98.71114696857332,159.63466612914817,52.18749960989948,136.50947933316684,2.805977091639946,283.0
0.25,1.676,0.086,1.676,0.086,-0.008,97.19466300545724,118.323937571861,193.13173118616396,99.42356077865476,159.17075633536737,52.75990136176839,137.5254276062115,2.792771924251329,283.0
0.26,1.693,0.084,1.693,0.084,-0.004,97.64476697886772,118.87189023514333,194.6678622141252,100.0917994633296,158.595632595393,53.311658871838304,138.48297382059258,2.779269348818153,283.0
0.27,1.718,0.085,1.718,0.085,-0.003,98.4995612197056,119.91250931094596,196.50303484821077,101.4531414359118,160.91852503838498,54.04083555254029,140.0420370766505,2.773781183586231,283.0
0.28,1.744,0.085,1.744,0.085,-0.003,99.23304691047107,120.8054484127474,198.3470142345968,102.56874536748316,162.1828856020214,54.70817402926272,141.35222259383926,2.764593853679447,283.0
0.29,1.786,0.086,1.786,0.086,0.003,100.2522537240331,122.04622192490986,200.90705797819237,104.00361671588574,164.28174844684386,55.48796114311571,142.85490947142043,2.7530946292783827,283.0
0.3,1.812,0.086,1.812,0.086,0.006,100.96075040582078,122.90873962447748,202.723743775072,105.07845383685338,165.4724636133925,56.13008283211717,144.10086976706256,2.744055801086116,283.0
