Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.06,1.4247,0.0248,-0.0016,70.2333780888795,85.50150376037504,157.6247475657496,54.12116964864212,60.26085318325171,31.262199716790025,81.44197437567283,2.5471637744911435,52.0
0.08,1.9911,0.0343,0.0001,79.4909785340269,96.77162604142406,184.33436792596632,63.82925007360178,73.12565740249761,36.50695863835242,91.58894288861882,2.426488693103423,52.0
0.1,2.5854,0.0443,-0.001,87.48954536325121,106.5090117465667,208.21019833595676,72.75504319314979,85.50551695261146,41.19773383971149,100.3794808249641,2.3354057105630788,52.0
0.12,4.1313,0.0581,-0.0003,98.74238215693062,120.20811740843727,253.5843034857613,84.4026417751704,98.21392033373542,47.42128498256836,109.26839141462403,2.1233676525935823,52.0
0.14,5.1957,0.0764,0.0004,107.2421649042382,130.5556790138552,281.05507104136774,94.83526509859291,115.19835331949646,52.3348412730428,117.93101900158528,2.0611690997647134,52.0
0.16,5.4076,0.0934,0.0048,112.49703138969949,136.9529077787646,289.21499746614097,102.54238435707693,132.32574880395617,55.54623477820288,125.24818429224722,2.096166579775428,52.0
0.18,5.13,0.1046,0.005,115.05164400441232,140.06287096189325,286.77947302612023,107.52979073907689,145.98367949441388,57.49917451770779,130.89940928323458,2.163064470394984,52.0
0.2,4.5918,0.1189,0.0065,116.637722699215,141.99374937295738,277.7930773647768,112.0248017029308,162.91900906826896,58.89383055789964,136.58174571685524,2.2708104271271408,52.0
0.22,3.9847,0.1176,0.0015,115.33631245952816,140.4094238637734,265.59540422829446,112.83327747437616,168.36119999878568,59.19869140279893,139.5688734827222,2.354865781344914,52.0
0.24,3.5212,0.1176,-0.0026,114.28790230405544,139.13309845711098,255.4869094061231,113.85471191705815,174.33615711966377,59.57771131555005,142.54489306454408,2.431242151080128,52.0
0.26,3.1107,0.1068,-0.0108,111.80494168836238,136.11036379452813,245.5022222652672,112.48858888150129,170.81798595562918,59.36403306704977,143.51900852039918,2.4784140013265072,52.0
0.28,2.8623,0.0957,-0.0169,109.8805804362014,133.76766313972345,239.47780561936705,111.18772122255588,165.31632858744237,59.33492916587626,144.07511714270473,2.49676024648904,52.0
0.3,2.8464,0.088,-0.0253,109.67568390014172,133.51822387843342,240.4910474797372,111.27142937352444,160.91111162435587,60.01616041756626,145.0160161544375,2.475701983281698,52.0
0.32,2.8597,0.0839,-0.002,110.12696171840868,134.06760557023662,242.7833409487064,112.189294201538,159.32313357987815,60.902049535853735,146.49693090063673,2.4565053214484407,52.0
