Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
0.08,2.4955,0.0651,-0.005,88.13621161494783,107.29625761819736,200.87402781220732,74.4588483607329,99.80481993676904,39.773586296777765,99.71167612428222,2.465076211572039,63.0
0.1,2.6445,0.0716,-0.0068,92.43472332220104,112.52922839224476,209.94200039222392,80.66667297713148,110.30080130895956,43.012340794304286,106.86212122770908,2.4573485274920714,63.0
0.12,2.7372,0.0723,-0.037,95.12261988354696,115.8014502930137,216.2165006382402,84.88648272803889,115.73681161581229,45.51041844046559,112.07704131698324,2.441955544746058,63.0
0.14,2.7415,0.0659,-0.0379,96.00835384865252,116.87973512009872,219.6622674540897,86.74296234188306,114.62222176275708,47.14973046150461,115.14003718715624,2.414226963240475,63.0
0.16,2.8052,0.0612,-0.0392,97.18805751057891,118.3158960998352,224.5416235839241,88.70484807100256,113.84442270529328,48.79443996489296,117.97628822151286,2.379031534764117,63.0
0.18,2.8362,0.0582,-0.0428,98.24457237665672,119.60208811071251,228.08985796432648,90.62285425191324,114.1632036247925,50.28822351080799,120.76301297632196,2.358389294831382,63.0
0.2,2.837,0.0558,-0.0419,99.08920169142688,120.63033249391096,230.51824112073945,92.32843992401864,114.72478457965862,51.60437763258975,123.34852178765288,2.3463455312478008,63.0
0.22,2.8217,0.0546,-0.042,99.94746810157798,121.67517855844277,232.21910513660796,94.1118207769088,116.25569255133848,52.85327198440718,125.9973808574233,2.343674195958026,63.0
0.24,2.7645,0.0557,-0.0446,100.91974173845529,122.85881602942383,232.35597878702703,96.27802963773094,120.22276222751395,54.07733974475399,129.11667622474803,2.3622226790850607,63.0
0.26,2.664,0.0578,-0.0453,101.72796174586628,123.84273603844588,230.88232723112085,98.44827756470362,125.38655777174596,55.16928456759655,132.3572041242459,2.39567395766346,63.0
0.28,2.5499,0.0589,-0.0473,102.1358336695604,124.33927577163875,228.6684594839919,100.11799363206669,129.4869879725584,56.05142505964605,135.14936109722564,2.428366082043365,63.0
0.3,2.4208,0.0596,-0.0472,102.25279256246502,124.48166051082698,225.67658604439316,101.46860033024927,133.18034733956165,56.76662239189829,137.6875723046931,2.4639596463643563,63.0
0.32,2.3002,0.0598,-0.0459,102.2233006622026,124.44575732789885,222.7159835655005,102.57852132129804,136.22726898418017,57.386529542164205,139.96225122264937,2.4965136778930312,63.0
0.34,2.188,0.0594,-0.0442,102.04418512176672,124.2277036264986,219.80838682573776,103.42342462804196,138.47954687517708,57.91086482596981,141.94905623684178,2.525486933060353,63.0
