Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
0.0,1.0,0.5,106.0,2.186472195970731,0.0383264144536063,99.3212241009894,120.9127945577264,224.17934723246606,79.36318021731063,93.09014577416491,58.52148957001884,139.9432078976616,2.387976764089129
1.0,1.5,1.25,142.0,4.971480779033487,0.04273531859539869,130.224573657844,158.5342635834623,342.8762985346465,121.13828292845366,125.55823655567032,90.80361304270383,189.69098577048592,1.9330307635481307
1.5,2.0,1.75,163.0,2.4204553687952908,0.030685090374890978,118.05339158534686,143.71717236477005,269.55091509073077,114.0464237168705,122.58059376963575,87.56240697546865,197.01411517404304,2.2619293945902452
2.0,2.5,2.25,178.0,3.3371570692296317,0.024941547184810748,126.03136769632833,153.4294911085735,312.2663659147794,121.97832088843452,116.05685300961467,96.7200431404039,204.95695929021085,2.044455769806312
2.5,3.0,2.75,142.0,2.318313882861368,0.023309288758741106,121.37694824777556,147.76324134511788,277.3264165270775,120.73884110195101,120.77675807778958,96.52838733425814,213.2258242736482,2.2336217468398702
3.0,3.5,3.25,164.0,2.3209652372718974,0.032412080929634324,127.87094440582983,155.6689757984016,282.13666809825185,132.7040783488603,147.02121667412018,103.95870670670458,232.2127585150398,2.3101177519232627
3.5,4.0,3.75,145.0,4.58587013136874,0.044477459798850594,147.44374722533857,179.49673575258618,370.98786289505944,157.30777030809617,166.61638267695633,122.51465014971474,252.1820089909178,1.9731884277148288
4.0,4.5,4.25,194.0,7.7091947573566735,0.05535640729322758,163.4035704024949,198.9260857073853,458.03670472974613,178.6722437592055,180.73453089145485,139.22275379638452,268.85922930165935,1.733918879879097
4.5,5.0,4.75,175.0,5.077444181554359,0.045657936976900085,153.38075751128304,186.72440044851817,394.82780264349697,168.06175575292548,174.77551796078305,133.07864289866015,268.8781755298936,1.9092351086434565
5.0,5.5,5.25,198.0,4.425938218252664,0.06367775458775693,160.4799110616963,195.36684824902147,378.5140909474841,181.45965236357767,215.62189015012206,137.91677516230533,287.68193716425844,2.0996658573160176
5.5,6.0,5.75,222.0,10.712287256935188,0.08122720475338616,187.29681609759578,228.01351524924715,535.1005051766213,207.96207763469945,219.1849567631478,163.93459216737546,305.8494996883646,1.676197907425852
6.0,6.5,6.25,240.0,15.500433118192321,0.10373681764433568,204.1394860006487,248.51763513122455,621.4532272414953,226.5530194542777,237.39284214720985,180.582448249076,323.35526582272945,1.5516842858008797
6.5,7.0,6.75,203.0,10.66012764708076,0.13765363910589487,209.6828031680931,255.26602124811316,542.6697172405035,237.17967166474347,298.30769453029836,178.9634434787256,341.12604122052034,1.8600241567541407
7.0,7.5,7.25,285.0,15.71309156190695,0.0923819606518751,207.04849632981143,252.05903901020528,633.9265579732939,226.558164016621,225.35098421690526,186.7626160402506,330.7549350687931,1.5354136287046856
7.5,8.0,7.75,225.0,13.510200925598921,0.0786433673947975,203.58653432961748,247.84447657518683,602.3306350897088,219.87446542035724,215.03139673988542,183.69615622726323,329.0531607777277,1.5947150922249838
8.0,8.5,8.25,215.0,13.350150418896911,0.05233554327661525,195.05785976897386,237.46174232744676,603.3656092547925,206.24290648715174,178.2963563862752,180.39747921464152,317.0380085300404,1.5164014252736397
8.5,9.0,8.75,305.0,13.92148786706613,0.05584085782789286,199.56187412853964,242.94489024343946,616.6905604308131,210.84083355393554,183.44939139541677,185.48054590909157,324.6213419498429,1.514684448065997
9.0,9.5,9.25,206.0,8.385416378581732,0.04242512277303042,189.1694038497234,230.29318729531587,510.95293671640036,193.53055238387356,173.50373709175267,171.16126940649735,316.4797322804796,1.7656231269147236
9.5,10.0,9.75,223.0,6.915657705281181,0.09749066391907832,204.14680088262662,248.52654020493682,477.1778584212751,218.90277730377306,261.08221878331847,181.01138390329027,356.85309963876284,2.071642547842152
10.0,10.5,10.25,190.0,1.7814104660668246,0.0358550309617833,154.8043416468165,188.45745939612468,285.6441197315697,158.7785224490067,191.08742175124016,138.9523331971785,314.1633697944637,2.7335055399148844
10.5,11.0,10.75,199.0,5.801140116629575,0.07296072349728902,198.12781016218236,241.19907324091793,450.4870721992785,204.55413472233357,229.63199885163837,177.0372433140139,351.80066382152376,2.1350103243937717
11.0,11.5,11.25,207.0,4.214595358668443,0.05398859000869824,185.6744086058495,226.0384104766866,400.33743581007064,187.89512485665904,205.7137240939682,167.0015575773116,341.40187446693386,2.270555466445725
