Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
1,1.51,2.04,0.5399999999999998,1.837008120435759,0.04255826517708301,0.009953877189216507,117.90754840870835,143.53962414973196,242.96502488777745,142.10516945636047,177.4725552095915,86.8688208380436,206.01683942686984,2.5400991449866845,2.540135695501866
2,2.05,2.54,0.5,2.358934180900636,0.040639241071658956,0.014550878318186059,126.34600781881042,153.81253125768217,274.26734769448143,155.03225039743907,181.3159427417169,96.40275337673471,219.0487631759041,2.3737146046079847,2.3737535217741264
3,2.55,3.08,0.54,1.9877772500006206,0.03583017800399606,0.01721780769725889,124.78258309095601,151.90923158898997,262.21391135739736,156.60431112503449,182.69346722210472,98.52691079356487,226.65703207926097,2.4520026373306445,2.4519465650028645
4,3.09,3.65,0.5699999999999998,1.0456741740353184,0.03451125494591305,0.024291536994535918,113.74407454911336,138.4710472771813,209.1140830972798,148.4663997776828,196.1901522310636,94.14528534444803,234.9618410303885,2.8508814418665915,2.851037280742206
5,3.66,4.15,0.5,1.4329407097844802,0.03889878889426433,0.03054436589516282,124.79246397735717,151.92126049417402,239.28801116747144,158.1135889492383,202.11614739819282,103.6734349189735,248.32047934443654,2.699168864601305,2.684833703798175
6,4.16,4.75,0.5999999999999996,2.2646629909999785,0.046075924223810724,0.02885587918820945,141.05278079043896,171.71642878836101,288.54459372506847,169.9221442574031,206.06464087798145,116.49170485248182,263.33812969106896,2.4890297604081617,2.4401946468436146
7,4.76,5.42,0.6699999999999999,2.0288274079644077,0.05643481893673841,0.03345733831324582,144.70903774829682,176.16752421531746,280.4282863337788,174.82873978251652,230.24587324685555,121.00959758568894,279.4181968258567,2.6356802065457945,2.5746568476690834
8,5.43,6.19,0.7700000000000005,3.017233323813617,0.06242439125746484,0.030632622466545096,160.75828644187774,195.7057400161989,330.46857843734585,185.0662651920057,229.08110135594904,134.0443203713832,293.6033313213182,2.4477404263186595,2.3716201237326033
9,6.2,6.8,0.6099999999999994,2.686873842038542,0.06454425938477955,0.02887773429141864,161.69151671808237,196.84184643940435,319.7076603750182,184.28046116095214,235.1370519801001,136.39335247732834,303.14081853856595,2.550720988103852,2.476324456305802
10,6.81,7.36,0.5600000000000005,2.3047092518203365,0.06676304449848235,0.028145414324572522,160.6712235168077,195.59975036828752,304.1316033976778,182.46008021633943,242.2720449771268,137.0358172007012,310.84235423458614,2.6751843827674864,2.601174285350513
11,7.37,8.01,0.6499999999999995,3.112285045193909,0.06531696309849377,0.028912450627315966,171.76027954250745,209.09947074740026,343.80941300134975,187.72834335295656,230.74901678338065,146.12347069872732,317.1528115840665,2.499822839579824,2.433735312078576
12,8.02,8.56,0.5500000000000007,2.6228397314291283,0.07526468940102457,0.027749532310103492,171.84421443529155,209.20165235600717,324.4988754352883,188.70242383660204,250.63371605362534,147.3038330408474,328.8438139983159,2.6658182904341863,2.598939970970638
13,8.57,9.06,0.5,3.143103352895205,0.07766048012435095,0.026763703838860384,180.14246237623274,219.30386724063106,349.78618106922227,193.6426265695483,248.77358421676556,154.19833978849383,335.8093140975552,2.5745707556168274,2.5122471603069414
14,9.07,9.99,0.9299999999999997,2.799203309305287,0.07902261967700083,0.0318283596189002,179.84537453823822,218.942195090029,337.30780523415984,191.3161660707443,252.16198298377344,155.1829636505364,342.9591343236054,2.673039812643478,2.6112127949077797
15,10.0,10.56,0.5700000000000003,3.584873976617055,0.08515969269065886,0.03865361740105559,192.1140989355208,233.87803348672062,373.5172372917136,199.66335400581187,254.1386966900113,165.26851075495773,353.68242299504317,2.5552768119136484,2.4995522913308337
16,10.57,11.06,0.5,2.4489799398823924,0.08562002005304035,0.05119970701196507,182.23824649906234,221.85525660755403,324.966504732698,190.08037836990937,262.1988184999021,158.73915772669014,357.49664117968996,2.8206376291915523,2.7620651639592215
17,11.07,11.56,0.5,3.8165564889745065,0.09953616481602764,0.11521818350811006,201.3496128132543,245.1212677726575,386.8375823629684,206.494593869848,270.5385692680498,173.5070430946312,369.9706811417552,2.5796110674796147,2.527628259207024
18,11.57,12.06,0.5,2.388697641023293,0.08176208453893569,0.08860404016344778,184.6247223249277,224.760531525999,324.9948349363477,187.2857113565111,254.05710215278694,161.48880255772704,363.3351695796697,2.8548862587169834,2.7983408139433688
19,12.07,12.56,0.5,3.6029821407331024,0.09469232256722808,0.09246231267074642,202.43594930853837,246.44376437561223,381.47286369369095,202.64253809724198,262.92029428298616,175.44612072257976,375.381043729918,2.63099865204102,2.5797845686469296
20,12.57,13.06,0.5,2.7302771687858685,0.0736005367761664,0.0829503930818273,190.5832643300749,232.01440874965627,344.60140698028135,186.8901709258823,237.24598163075459,166.9247876788942,366.2081909678998,2.760788254683248,2.7078286473403907
21,13.07,13.97,0.9100000000000001,2.542733271127799,0.07017164585551831,0.10335218693822888,190.19020149094226,231.53589746723415,337.4004313784356,183.07303850648734,231.48497358679873,167.03261571398838,368.7027317145338,2.8177225038053297,2.765072507065259
22,13.98,15.08,1.1099999999999994,2.247693070364216,0.06769220808906289,0.13939090846360414,188.93956817081968,230.01338733838907,324.7445177500936,178.54376848680525,228.36930563240372,166.91029870657647,373.38692871454873,2.9163556138812474,2.867130539057513
23,15.09,16.97,1.8899999999999988,3.048536953274475,0.07752313589017298,0.15164395026278635,206.14800593633402,250.96278983553714,368.0202213858059,189.5976045203206,234.89746967588044,181.2388553915551,390.4384490639058,2.7780587358855335,2.732081890481331
24,16.98,17.64,0.6699999999999999,3.6129181703467395,0.08966154044778785,0.1488490338992869,218.96477042181726,266.5658074700385,395.43095547637705,198.04221221208596,245.7758700278646,192.0678860576824,406.2646276518189,2.7308250400291065,2.6872528747986815
25,17.65,18.21,0.5700000000000021,3.1302887275694595,0.08642422202421933,0.15435938339750166,215.11722426319,261.881838233449,375.9069187120028,192.3743936554939,242.77203037893173,189.4143851653551,407.5124483120616,2.8341446959797874,2.7922360164470525
26,18.22,18.71,0.5000000000000018,4.363496694198684,0.08668997203016593,0.15050175389383455,228.2677411754503,277.89116317011354,427.51206583251684,202.51374129858456,238.36633271876462,200.3765292382457,411.7309404046267,2.6123499621531137,2.5714030787011493
