Layer,Start Depth,End Depth,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
1,0.11,0.6,0.4999999999999998,3.278686117383144,0.13210439266253343,0.00027589241763811194,118.42290076791203,144.16700963050175,255.91305494906518,102.06155079713007,167.94996884203513,64.58306059449299,155.7467029343024,2.505649227638439,2.505649227638439
2,0.61,1.1,0.4999999999999999,1.613465357447947,0.12939012913449283,0.007293400543214219,116.94282628119183,142.36517982058126,214.86513403649974,121.66908114520496,227.2303180298031,76.09286514184082,197.1627578724066,2.945053964610013,2.945053964610013
3,1.11,1.68,0.5799999999999996,1.166831701558102,0.09656763427073337,0.0010809639710421775,113.28207835422772,137.9086171268861,199.25219431863496,125.04197289137093,225.7111243473256,81.38020966746775,214.71350286442092,3.061798983513817,3.061798983513817
4,1.69,2.34,0.6599999999999997,0.7782872676459104,0.057111886044551655,,104.33106895830633,127.01173612315569,176.8981339798949,117.86426479745751,194.73734263694166,81.46944549019098,219.5913187870403,3.173644048288399,3.173644048288399
5,2.35,2.84,0.49999999999999956,2.54931481718675,0.025706005388245162,0.0013127914633234308,123.70876189078746,150.60197099748044,285.85598968016023,125.24318589613644,126.52986020957519,97.12223191068752,213.04834628727423,2.2066600053779757,2.2066600053779752
6,2.85,3.83,0.9899999999999998,1.1929243420505302,0.026259712918773305,0.006208477150225696,113.57445575516046,138.2645548323693,219.39855526288423,121.26431259772811,144.64928435209194,93.49917884296285,226.32752812865502,2.696161201614514,2.696161201614514
7,3.84,4.57,0.7400000000000002,1.5095285020695193,0.03025066504608387,0.07849585270182557,123.88201185880241,150.81288400202024,246.48715719603237,133.98255945809345,157.53567229391695,104.40535915306704,244.93420132213623,2.5845864380036265,2.584586438003626
8,4.58,5.07,0.5,2.1331179984802473,0.04639615747385557,0.2093710217688879,139.4887557733631,169.81239833278977,286.1964352880678,155.32160471659734,193.75980754943077,118.16046305172998,268.8516868439624,2.4769597032258375,2.476959703225838
9,5.08,5.73,0.6600000000000001,1.1932689584648994,0.021892538599781606,0.34620827076520566,120.76129703463766,147.01375291173298,235.10798620707897,131.74529805587923,147.2999122144014,105.3791887607396,249.85906039803507,2.6358583466084027,2.6358583466084027
10,5.74,6.51,0.7799999999999994,0.6686780610033126,0.02647171093363739,0.023632359884842066,111.70249068969761,135.9856408396319,187.26351566630134,128.33264764833234,175.30694580397324,101.97032758842421,263.20342783414503,3.122756294634136,3.1229141018164497
11,6.52,7.01,0.5,0.318988474849937,0.010475320952681982,0.008350863111431045,94.09444359839513,114.54975742413315,142.4534762461039,100.52765366069305,129.41885703462634,87.26142061070048,237.9809471273567,3.5196221972798307,3.5318978388641447
12,7.02,7.62,0.6100000000000003,0.6042713034502245,0.01851352840990821,0.013759632290502389,110.35149580621716,134.3409514162644,183.26750043033974,122.66662343852478,157.4567257442549,102.52173971900235,262.66606629244257,3.1443061928659946,3.1765271867156604
13,7.63,8.21,0.5900000000000007,1.3004397585961562,0.02887042104112511,0.03901579461681284,132.0445298753096,160.74986245689868,247.498027732934,147.8976715630386,178.58009084015487,121.41772908534463,285.50583563477664,2.7178750343250786,2.763803484267194
14,8.22,10.66,2.4499999999999993,0.4931107214982099,0.006736684248438817,0.1936424663381921,106.8627745300937,130.09381247141846,178.84544897689528,105.38758416606858,106.9141731488234,98.18937659592822,245.10011879207227,3.102129368090328,3.1544905990998493
15,10.67,11.16,0.5,1.1235581236965466,0.01627504048308054,0.3235967156830468,135.53046588945963,164.99361064803787,247.5513994438037,134.56443203884385,143.60234026808797,123.94241664719384,287.1061094416306,2.774766201412566,2.8162585385957177
16,11.17,11.66,0.5,0.5440654550058613,0.005797627245651133,0.177710380534453,113.56563812353043,138.25382032429798,189.08235905880966,104.63639003412726,101.44736332698747,103.7695702540356,252.55660837118586,3.099110400701832,3.145363832515669
17,11.67,12.4,0.7400000000000002,0.6576876747300389,0.005502023268744169,0.40038633052969924,118.29739492668033,144.01421991074133,207.235959176513,107.42582699376692,96.30341404828222,107.75092687769394,254.57547785724643,2.9173625851015736,2.9622222336362514
18,12.41,13.31,0.9100000000000001,0.9021565894212437,0.007021593153014116,0.5983644314931527,128.62486411242892,156.58679109339167,236.31681744432947,116.56168253674417,102.66289079786797,117.21315978151085,267.84313074789617,2.7510895687803365,2.791368681813803
19,13.32,13.81,0.5,4.307151637952734,0.0986596950392992,0.1460200618112579,204.71759384616124,249.2214185953268,416.0170295002629,210.53763143711686,278.0353693744812,185.5498802264956,387.2459846513978,2.408668112303935,2.4362491397923476
20,13.82,14.31,0.5,1.7141534939313117,0.03478263057773811,0.48205672725755816,162.56785037911786,197.90868741805656,297.181141260005,158.28616474493873,183.4025613131609,150.5325967683132,338.9552834319192,2.7369095011387086,2.770398897559014
