File Name,Layer,Start Depth,End Depth,Depth,Measured Vs,Thickness,Qc (Geometric Mean),Fs (Geometric Mean),u (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean),Ic_calculated (Geometric Mean)
SCPT_124801.csv,1,0.03,0.52,0.275,,0.4999999999999998,6.610638581247645,0.013586700367805297,0.000824727695698515,93.61349063650707,113.96424947053048,322.95010800906357,83.70344290785374,61.36397652459006,53.56345403945588,106.41890979129016,1.4999849953824438,1.4999849338117273
SCPT_124801.csv,2,0.53,2.85,1.69,152.6,2.33,2.745270700268402,0.004250784253524818,0.0004898979485566356,102.04224461007513,124.22534126443911,279.24017123098344,106.50376671677766,73.93514448937225,73.13579704177995,147.8507781741718,1.8575784011193297,1.8561280460373717
SCPT_124801.csv,3,2.86,4.67,3.7649999999999997,230.5,1.8199999999999998,4.340984045212976,0.014881826903488054,0.005305935021524507,136.8529363017225,166.60357462818382,363.1248100578279,151.09779177912188,119.62737557576018,110.87330059532803,218.42517693461534,1.8632062931454223,1.7808221175739367
SCPT_124801.csv,4,4.68,5.67,5.175,180.2,1.0,1.867306419450443,0.07443552833488574,0.09426641442783697,149.67974204880952,182.21881640724644,273.30370638195285,182.8820404232645,262.94493266497574,122.88796598071902,290.633780424566,2.8150437299994584,2.700612828536608
SCPT_124801.csv,5,5.68,6.28,5.98,235.1,0.6100000000000003,3.687253823980044,0.013563906512562925,0.0018220867158288603,149.64523522830564,182.1768081040243,357.500815452868,154.40578649901337,122.368957522735,122.5410379969021,242.8964221556152,2.068411367498203,1.903955167641051
SCPT_124801.csv,6,6.29,7.35,6.82,220.4,1.0699999999999994,2.857095933802242,0.03018992319832588,0.007421222697707715,159.76734109879473,194.4993717724455,328.2655248157126,166.98808559831258,167.82548762801898,130.9084119917947,278.0674897969921,2.440431038035465,2.248000329491797
SCPT_124801.csv,7,7.36,7.87,7.615,218.9,0.5199999999999996,2.575264272791058,0.005425250682537669,,142.88195684240904,173.94325180815036,318.7148202127604,136.98785959331178,99.28790262401787,115.34898677035062,228.62070044334604,2.226740227260963,2.0339559462662247
SCPT_124801.csv,8,7.88,9.33,8.605,225.3,1.46,2.9413886656244976,0.06889196210208866,0.609819226401829,182.03711501364796,221.6104008861802,347.40699370431895,190.62307909772653,234.65798955190715,150.16647254630078,328.3589458104387,2.626075398482018,2.4445432340913427
SCPT_124801.csv,9,9.34,9.83,9.585,246.8,0.5,4.804930457823289,0.24997041283466773,0.6632489549271919,228.5583362560682,278.24493109434377,417.8492101066515,250.97127905994952,419.23068532664263,184.87340620702577,400.5531108973589,2.7267747824333863,2.572101377889053
SCPT_124801.csv,10,9.84,10.74,10.29,219.1,0.9100000000000001,2.4260024352829856,0.07627094961984517,0.6156820677471144,184.99861023274266,225.21569941377376,329.0884550214172,188.39719326320508,246.6789054361275,154.84246730129257,347.7121837077122,2.8301843465530823,2.6564100609973145
