Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.01633970884815371,128636,0.014695029289606542
1.0,0.022430653663230677,128773,0.021956166206529466
1.5,0.024258856286434854,126255,0.02554405353136736
2.0,0.025817167366489847,123761,0.027316907507682082
2.5,0.027000652935229713,121224,0.02819291361845841
3.0,0.025940875233562463,118755,0.028625767489318464
3.5,0.026682914029161633,116259,0.028839650099512233
4.0,0.024443992113942093,113749,0.028945334197594586
4.5,0.02351799901199575,111173,0.028997555033020903
5.0,0.027243684460371443,108743,0.029023358495434873
5.5,0.027261592400334916,106272,0.02903610855328274
6.0,0.02950329357356828,103793,0.029042408637066683
6.5,0.027186844290131698,101297,0.029045521646917954
7.0,0.02873255415484261,98797,0.02904705985349845
7.5,0.028360995897166598,96297,0.02904781991517423
8.0,0.032091588277309936,93787,0.029048195478351708
8.5,0.035108468063820925,91132,0.029048381052371255
9.0,0.037446377927642056,88781,0.029048472748572574
9.5,0.04138463896660406,86281,0.029048518057680803
10.0,0.04035936484178461,83781,0.029048540445906917
10.5,0.039950893513505094,81281,0.029048551508421453
11.0,0.03931586219258786,78781,0.029048556974653
11.5,0.04168372332804453,76269,0.029048559675638137
12.0,0.044311823637071104,73769,0.02904856101025425
12.5,0.04415026352865299,71273,0.029048561669717404
13.0,0.045575907882684064,68773,0.02904856199557264
