Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.009024845779793967,23688,0.009851985963632296
1.0,0.017086493223680888,24047,0.0169896044277853
1.5,0.024490702061794992,23411,0.022160703689180807
2.0,0.026831375119473425,22798,0.025907088804258318
2.5,0.028914758972979154,22145,0.028621289542050118
3.0,0.029847651227925535,21540,0.030587687928425596
3.5,0.027837654770918343,20917,0.032012314545057485
4.0,0.028799578220017975,20292,0.03304443550837711
4.5,0.03289157370875282,19613,0.03379219191731067
5.0,0.03600038598739337,19028,0.03433393040240339
5.5,0.03634344002257582,18403,0.034726411941477214
6.0,0.03618839605813729,17778,0.03501075902545333
6.5,0.036222714562527375,17155,0.035216764292239945
7.0,0.03595180784632652,16530,0.035366012068409815
7.5,0.0347949309895476,15905,0.03547413988008719
8.0,0.03505780395643629,15280,0.0355524768842167
8.5,0.03835182030935697,14567,0.03560923088784249
9.0,0.043030865442666155,14022,0.03565034832606148
