Lag (m),Semivariance,Count,Fitted_Semivariance
0.5,0.005446025821679859,23742,0.009732351623880586
1.0,0.013827172023172577,24118,0.015263591807232135
1.5,0.01875156254003488,23487,0.018407191540194087
2.0,0.02362978015060688,22862,0.02019381062623973
2.5,0.026636409339529595,22237,0.02120920954142382
3.0,0.02752327140918909,21612,0.02178629671406734
3.5,0.02935148801016374,20987,0.02211427579681957
4.0,0.026820251104010647,20362,0.022300677927766688
4.5,0.020790523347044676,19722,0.02240661686182936
5.0,0.01780551707857829,19109,0.022466825710801795
5.5,0.015510809732542504,18481,0.022501044532490536
6.0,0.014487151625163406,17856,0.0225204923010121
6.5,0.017345074277106926,17231,0.022531545156774014
7.0,0.018051981336237942,16606,0.0225378268862361
7.5,0.019133802763062136,15975,0.022541397015611243
8.0,0.01910115243448137,15350,0.02254342604660218
8.5,0.018692433723894286,14668,0.02254457921679003
9.0,0.017949292881230955,14097,0.02254523460425729
9.5,0.015982096591103896,13472,0.02254560708417116
10.0,0.0160903291949209,12847,0.022545818777700812
