TYPE,CODE,CODE_CPT,gwl,extracted_from_Report,a,extracted_from_Report_1,pre-drill_CPT,startdepth_CPT,resolution_CPT,Need_correction,Latitude,Longitude,ycoord_1,xcoord_1,Subset_Region,Subset_Geology,MAPSYMBOL,MAPNAME
SCPT,14526,x,12.53,o,0.8,x,0,0.02,0.02,x,-43.56483868,172.6552655,5176400,1572160,2,3,mQ.loszlt,Middle Pleistocene loess deposits
SCPT,14538,x,3.85,o,0.8,x,0,0.02,0.02,x,-43.57517125,172.6427437,5175248.2,1571153.7,2,1,Q1.fangvl,OIS1 (Holocene) fan deposits
SCPT,14539,x,8.49,o,0.8,x,0,0.02,0.02,x,-43.57544842,172.6426925,5175217.4,1571149.7,2,3,mQ.loszlt,Middle Pleistocene loess deposits
SCPT,14540,x,3.7,o,0.8,x,0,0.02,0.02,x,-43.57151323,172.7114139,5175676,1576697,2,3,mQ.loszlt,Middle Pleistocene loess deposits
SCPT,14541,x,8.95,o,0.8,x,0,0.02,0.02,x,-43.57146964,172.7116271,5175680.9,1576714.2,2,3,mQ.loszlt,Middle Pleistocene loess deposits
SCPT,14543,x,1,x,0.8,x,0.5,0.5,0.02,x,-43.56112659,172.6690925,5176816.8,1573275,2,3,mQ.loszlt,Middle Pleistocene loess deposits
SCPT,14548,x,10.9,o,0.8,x,0,0.02,0.02,x,-43.57030407,172.683223,5175802,1574420.1,2,3,mQ.loszlt,Middle Pleistocene loess deposits
SCPT,14550,x,18.32,o,0.8,x,0.3,0.3,0.02,x,-43.57034426,172.6827806,5175797.4,1574384.4,2,3,mQ.loszlt,Middle Pleistocene loess deposits
SCPT,14552,x,1.52,o,0.8,x,0,0.02,0.02,x,-43.56605203,172.6620617,5176267.5,1572709.4,2,3,mQ.loszlt,Middle Pleistocene loess deposits
SCPT,14556,x,1.61,o,0.8,x,0,0.02,0.02,x,-43.56522604,172.6622645,5176359.3,1572725.4,2,3,mQ.loszlt,Middle Pleistocene loess deposits
SCPT,14651,x,1.33,o,0.8,x,0,0.02,0.02,x,-43.56475088,172.6560089,5176410,1572220,2,3,mQ.loszlt,Middle Pleistocene loess deposits
SCPT,36413,x,1.8,o,0.81,o,0.2,0,0.01,x,-43.50112416,172.6860185,5183485.17,1574616.63,2,1,Q1.alvgvl,OIS1 (Holocene) river deposits
SCPT,57279,x,0.2,o,0.58,o,0,0,0.02,x,-43.51835204,172.6347834,5181555,1570483,2,1,Q1.swp,OIS1 (Holocene) swamp deposits
SCPT,57280,x,1,x,0.58,o,0,0,0.02,x,-43.51880899,172.6340754,5181504,1570426,2,1,Q1.swp,OIS1 (Holocene) swamp deposits
SCPT,57339,x,1.2,o,0.58,o,0,0,0.02,x,-43.49207629,172.6192522,5184467.51,1569214.43,2,1,Q1.swp,OIS1 (Holocene) swamp deposits
SCPT,57341,x,1,x,0.58,o,0,0,0.02,x,-43.5488182,172.6953762,5178191.17,1575392.5,2,1,Q1.est,OIS1 (Holocene) estuary deposits
SCPT,57342,x,1,x,0.58,o,0,0,0.02,x,-43.505482,172.690785,5183002.66,1575003.74,2,1,Q1.alvgvl,OIS1 (Holocene) river deposits
SCPT,57343,x,2.2,o,0.58,o,0,0,0.02,x,-43.50669469,172.7213946,5182876.72,1577478.59,2,1,Q1.dns,OIS1 (Holocene) stable dune deposits
SCPT,57345,x,1.2,o,0.58,o,0,0,0.02,x,-43.52987469,172.5921636,5180259.3,1567044.75,2,1,Q1.alvgvl,OIS1 (Holocene) river deposits
SCPT,57346,x,1.2,o,0.58,o,0,0,0.02,x,-43.50432885,172.6606394,5183121.23,1572566.33,2,1,Q1.alvgvl,OIS1 (Holocene) river deposits
SCPT,57347,x,1,x,0.58,o,0,0,0.02,x,-43.51079149,172.7099546,5182418.58,1576555.41,2,1,Q1.est,OIS1 (Holocene) estuary deposits
SCPT,57348,x,1,x,0.58,o,0,0,0.02,x,-43.51158915,172.7114306,5182330.41,1576675.02,2,1,Q1.est,OIS1 (Holocene) estuary deposits
SCPT,57349,x,2,o,0.58,o,0,0,0.02,x,-43.50927048,172.7064843,5182586.51,1576274.31,2,1,Q1.dns,OIS1 (Holocene) stable dune deposits
SCPT,57350,x,2.2,o,0.58,o,0,0,0.02,x,-43.4952059,172.7181249,5184151.75,1577209.96,2,1,Q1.dns,OIS1 (Holocene) stable dune deposits
SCPT,57351,x,1.1,o,0.58,o,0,0,0.02,x,-43.49449902,172.60157,5184191.75,1567786.02,2,1,Q1.alvgvl,OIS1 (Holocene) river deposits
SCPT,57353,x,1,x,0.58,o,0,0,0.02,x,-43.55675905,172.6521929,5177295.58,1571907.87,2,1,Q1.alvgvl,OIS1 (Holocene) river deposits
SCPT,57354,x,1,x,0.58,o,0,0,0.02,x,-43.508116,172.6871821,5182709.05,1574713.59,2,1,Q1.alvgvl,OIS1 (Holocene) river deposits
SCPT,57355,x,1,x,0.58,o,0,0,0.02,x,-43.54724542,172.6374966,5178347.09,1570716.27,2,1,Q1.alvgvl,OIS1 (Holocene) river deposits
SCPT,57356,x,1.1,o,0.58,o,0,0,0.02,x,-43.54319121,172.6576182,5178804.23,1572339.87,2,1,Q1.alvgvl,OIS1 (Holocene) river deposits
