Depth,Qc,Fs,u
3.51,0,0,0
3.52,0,0,0
3.53,0,0,0
3.54,0,0,0
3.55,0,0,0
3.56,0,0,0
3.57,0,0,0
3.58,0,0,0
3.59,0,0,0
3.6,0,0,0
3.61,0,0,0
3.62,0,0,0
3.63,0,0,0
3.64,0.01,0,0
3.65,0.01,0,0.001
3.66,0.01,0,0
3.67,0.01,0,0
3.68,0.02,0,0
3.69,0.08,0,0
3.7,0.08,0,0
3.71,0.07,0,0
3.72,0.07,0,0
3.73,0.06,0,0
3.74,0.06,0,0
3.75,0.05,0,0
3.76,0.05,0,0
3.77,0.05,0,0
3.78,0.05,0,0
3.79,0.04,0,-0.001
3.8,0.04,0,-0.001
3.81,0.04,0,0
3.82,0.04,0,-0.001
3.83,0.04,0,0
3.84,0.05,0,0
3.85,0.06,0.001,0
3.86,0.07,0.001,0
3.87,0.08,0.001,0
3.88,0.13,0.002,0
3.89,0.18,0.002,0
3.9,0.23,0.002,0
3.91,0.28,0.003,0
3.92,0.32,0.003,0
3.93,0.4,0.003,0
3.94,0.45,0.0025,0
3.95,0.54,0.002,0
3.96,0.62,0.002,0
3.97,0.71,0.003,0
3.98,0.87,0.003,0
3.99,0.95,0.003,0
4,1,0.003,0
4.01,1.04,0.003,0
4.02,1.09,0.003,0
4.03,1.12,0.003,0
4.04,0.985,0.003,0
4.05,0.85,0.003,0
4.06,0.98,0.003,0
4.07,1.04,0.003,0
4.08,1.06,0.003,0
4.09,1.09,0.003,0
4.1,1.16,0.003,-0.001
4.11,1.23,0.003,0
4.12,1.31,0.003,0
4.13,1.4,0.003,0
4.14,1.49,0.004,0
4.15,1.61,0.004,0
4.16,1.67,0.003,0
4.17,1.74,0.004,0
4.18,1.75,0.003,0
4.19,1.8,0.004,0
4.2,1.79,0.004,0
4.21,1.8,0.004,-0.001
4.22,1.8,0.004,-0.001
4.23,1.75,0.003,0
4.24,1.75,0.004,0
4.25,1.74,0.005,-0.001
4.26,1.74,0.005,-0.001
4.27,1.73,0.005,-0.001
4.28,1.73,0.005,0
4.29,1.77,0.005,-0.001
4.3,1.86,0.005,-0.001
4.31,1.86,0.005,0
4.32,1.87,0.006,-0.001
4.33,1.95,0.008,-0.001
4.34,1.97,0.007,0
4.35,2.07,0.008,-0.001
4.36,2.15,0.008,-0.001
4.37,2.21,0.009,-0.001
4.38,2.29,0.01,-0.001
4.39,2.4,0.01,-0.001
4.4,2.58,0.012,0
4.41,2.78,0.012,0
4.42,2.92,0.012,0
4.43,3.12,0.013,0.002
4.44,3.48,0.016,-0.001
4.45,3.78,0.02,0
4.46,4.08,0.029,0
4.47,4.33,0.03,0
4.48,4.63,0.028,0
4.49,5.01,0.027,-0.001
4.5,5.19,0.021,0
4.51,5.45,0.014,0
4.52,5.63,0.011,-0.001
4.53,5.68,0.007,-0.001
4.54,5.65,0.005,0
4.55,5.39,0.006,0
4.56,5.03,0.005,0.002
4.57,4.83,0.006,0.001
4.58,4.78,0.003,0
4.59,4.85,0.003,-0.002
4.6,4.88,0.002,-0.001
4.61,4.95,0.002,-0.001
4.62,5.02,0.003,-0.001
4.63,5.12,0.003,-0.001
4.64,5.4,0.003,-0.001
4.65,5.61,0.003,-0.001
4.66,5.77,0.004,-0.001
4.67,5.95,0.006,-0.001
4.68,6.28,0.011,0
4.69,6.41,0.015,-0.001
4.7,6.61,0.016,-0.001
4.71,6.77,0.019,0
4.72,6.92,0.022,-0.001
4.73,7.29,0.022,-0.001
4.74,7.53,0.026,-0.001
4.75,7.69,0.031,-0.001
4.76,7.97,0.035,-0.001
4.77,8.3,0.038,-0.001
4.78,8.81,0.038,-0.001
4.79,9.14,0.042,-0.001
4.8,9.52,0.045,0
4.81,9.96,0.061,-0.001
4.82,10.41,0.083,-0.001
4.83,10.5,0.074,-0.001
4.84,10.61,0.059,-0.001
4.85,10.72,0.045,0
4.86,10.62,0.039,-0.002
4.87,10.45,0.042,-0.001
4.88,10.45,0.042,-0.002
4.89,10.42,0.041,-0.001
4.9,10.11,0.044,-0.001
4.91,9.04,0.046,0.001
4.92,8.57,0.101,-0.002
4.93,8.68,0.207,-0.002
4.94,8.96,0.1975,-0.001
