Depth,Qc,Fs,u
1.3,0.1269,0,0.0004
1.31,0.2345,0,0.0004
1.32,0.246,0,0.0005
1.33,0.1884,0.0006,0.0005
1.34,0.1422,0.0012,0.0008
1.35,0.1321,0.0024,0.0007
1.36,0.1276,0.0048,0.0006
1.37,0.1464,0.005,0.0006
1.38,0.1653,0.005,0.0006
1.39,0.296,0.0046,0.0006
1.39999999,0.3037,0.0042,0.0006
1.41,0.3421,0.0043,0.0002
1.42,0.3921,0.0043,-0.0001
1.43,0.3883,0.0044,-0.0001
1.44,0.419,0.0053,0
1.45,0.5113,0.0058,0.0001
1.46,0.5267,0.0057,0.0004
1.47,0.5728,0.0061,0.0002
1.48,0.5574,0.0063,0.0002
1.49,0.6112,0.0083,0.0002
1.5,0.6189,0.0103,0.0002
1.51,0.6574,0.0103,0.0002
1.52,0.6689,0.0103,0.0003
1.53,0.6843,0.0103,0.0004
1.5400001,0.6151,0.0103,0.0004
1.5500001,0.6035,0.0102,0.0004
1.5600001,0.5459,0.0091,0.0004
1.57,0.5267,0.0096,0.0003
1.58,0.5305,0.0087,0.0003
1.59,0.4998,0.0086,0.0002
1.6,0.4536,0.0072,0.0004
1.61,0.4844,0.0084,0
1.62,0.4229,0.0066,-0.0004
1.63,0.419,0.0061,-0.0004
1.64,0.4113,0.0052,-0.0005
1.65,0.411,0.005,-0.0005
1.66,0.4112,0.0048,-0.0005
1.6699999,0.4113,0.0038,-0.0005
1.6799999,0.4652,0.0036,-0.0005
1.6899999,0.5267,0.0037,-0.0005
1.6999999,0.5151,0.0038,-0.0004
1.7099999,0.4921,0.004,-0.0004
1.7199999,0.419,0.0041,-0.0004
1.7299999,0.3844,0.0042,-0.0004
1.7399999,0.3921,0.0041,-0.0004
1.7499999,0.3729,0.0039,-0.0004
1.7599999,0.3652,0.0037,-0.0005
1.7699998,0.3383,0.0034,-0.0005
1.7799998,0.3191,0.0032,-0.0006
1.7899998,0.2816,0.0031,-0.0006
1.7999998,0.2657,0.0031,-0.0006
1.8099998,0.2499,0.003,-0.0006
1.8199998,0.2729,0.003,-0.0006
1.8299998,0.246,0.003,-0.0006
1.8399998,0.2403,0.003,-0.0006
1.8499998,0.2345,0.003,-0.0006
1.8599998,0.2383,0.003,-0.0006
1.8699998,0.2268,0.0032,-0.0006
1.8799997,0.2268,0.0033,-0.0006
1.8899997,0.2191,0.0035,-0.0006
1.8999997,0.2037,0.0038,-0.0006
1.9099997,0.1999,0.0041,-0.0006
1.9199997,0.1999,0.0044,-0.0006
1.9299997,0.1999,0.0048,-0.0006
1.9399997,0.1999,0.0054,-0.0006
1.9499997,0.2114,0.0061,-0.0006
1.9599997,0.223,0.0064,-0.0006
