Depth,Qc,Fs,u
1.5,0.0308,0,-0.0002
1.51,0.0999,0,-0.0002
1.52,0.1422,0,-0.0002
1.53,0.0923,0.0004,-0.0002
1.54,0.0898,0.0009,-0.0001
1.55,0.0886,0.0017,0
1.56,0.0943,0.0034,0.0006
1.57,0.0999,0.0041,0.001
1.58,0.2076,0.0045,0.0012
1.59,0.5843,0.0044,0
1.59999999,0.9418,0.0044,-0.0005
1.61,0.9495,0.0028,-0.0007
1.62,0.9995,0.0024,-0.0008
1.63,1.0764,0.0023,-0.0007
1.64,0.8419,0.0023,-0.0006
1.65,0.692,0.0023,-0.0006
1.66,0.5651,0.0023,-0.0006
1.67,0.5199,0.0022,-0.0005
1.68,0.5191,0.0022,-0.0005
1.69,0.5248,0.0021,-0.0004
1.7,0.5305,0.0019,-0.0004
1.71,0.5997,0.0018,-0.0004
1.72,0.5882,0.0017,-0.0004
1.73,0.6132,0.0017,-0.0004
1.7400001,0.6381,0.0017,-0.0004
1.7500001,0.6228,0.0016,-0.0004
1.7600001,0.6574,0.0016,-0.0004
1.77,0.6727,0.0015,-0.0004
1.78,0.6881,0.0015,-0.0004
1.79,0.6766,0.0015,-0.0004
1.8,0.6535,0.0015,-0.0004
1.81,0.6305,0.0015,-0.0004
1.82,0.6343,0.0015,-0.0004
1.83,0.5997,0.0016,-0.0006
1.84,0.542,0.0019,-0.0007
1.85,0.4844,0.0026,-0.0007
1.86,0.4767,0.0026,-0.0008
1.8699999,0.4921,0.0026,-0.0008
1.8799999,0.4344,0.0026,-0.0009
1.8899999,0.4306,0.0029,-0.0009
1.8999999,0.419,0.0032,-0.0009
1.9099999,0.4036,0.0038,-0.001
1.9199999,0.3902,0.0038,-0.001
1.9299999,0.3767,0.0039,-0.001
1.9399999,0.3883,0.0037,-0.001
1.9499999,0.3575,0.0035,-0.001
1.9599999,0.346,0.0036,-0.001
1.9699998,0.3575,0.0036,-0.001
1.9799998,0.3229,0.0037,-0.001
1.9899998,0.2883,0.0039,-0.001
1.9999998,0.2818,0.004,-0.001
2.0099998,0.282,0.004,-0.001
2.0199998,0.2821,0.0037,-0.001
2.0299998,0.2845,0.0034,-0.001
2.0399998,0.2922,0.0032,-0.001
2.0499998,0.2998,0.0032,-0.001
2.0599998,0.2768,0.0032,-0.001
2.0699998,0.2806,0.0032,-0.001
2.0799997,0.2691,0.0031,-0.001
2.0899997,0.2695,0.0031,-0.001
2.0999997,0.2698,0.003,-0.001
2.1099997,0.271,0.0023,-0.001
2.1199997,0.2806,0.0008,-0.001
2.1299997,0.3037,0.0004,-0.0011
2.1399997,0.2768,0.0003,-0.0011
2.1499997,0.2786,0.0002,-0.0011
2.1599997,0.2805,0.0001,-0.0011
2.1699997,0.2874,0.0001,-0.0011
2.1799996,0.3229,0,-0.001
2.1899996,0.3729,0,-0.0011
2.1999996,0.3921,-0.0001,-0.0011
2.2099996,0.3921,-0.0001,-0.0011
2.2199996,0.3806,-0.0001,-0.0011
2.2299996,0.379,-0.0001,-0.0012
2.2399996,0.3786,0,-0.0012
2.2499996,0.3796,0,-0.0012
2.2599996,0.3806,-0.0001,-0.0012
2.2699996,0.4267,-0.0002,-0.0012
2.2799996,0.4652,-0.0003,-0.0012
2.2899995,0.4844,-0.0003,-0.0012
2.2999995,0.5036,-0.0003,-0.0012
2.3099995,0.3998,-0.0003,-0.0012
2.3199995,0.3383,-0.0003,-0.0012
2.3299995,0.3382,-0.0003,-0.0012
2.3399995,0.3382,-0.0002,-0.0012
