Depth,Qc,Fs,u
0.2,0.1326,0,0
0.21,0.1816,0,0
0.22,0.2632,0,0
0.23,0.1734,0.0017,-0.0009
0.24,0.0673,0.0034,-0.001
0.25,0.0366,0.0068,-0.0009
0.26,0.0234,0.0137,-0.0008
0.27,0.0101,0.0185,-0.0009
0.28,0.0101,0.0184,-0.0008
0.29,0.0101,0.0183,-0.0008
0.3,0.0101,0.0178,-0.0008
0.31,0.0101,0.0176,-0.0007
0.32,0.0469,0.0174,-0.0006
0.33,0.055,0.0175,-0.0006
0.34,0.0795,0.0175,-0.0004
0.35,0.2673,0.0186,-0.0002
0.36,0.5776,0.0322,0.0002
0.37,1.0962,0.0395,0.0037
0.38,2.0638,0.0455,0.0071
0.39,2.2639,0.044,0.0088
0.4,2.3986,0.0507,0.0115
0.41,2.6844,0.0528,0.0015
0.42,2.9213,0.0548,-0.0302
0.43,2.6926,0.0553,-0.035
0.44,2.7034,0.0595,-0.0333
0.45,2.7141,0.0637,-0.0343
0.46,2.7416,0.0645,-0.0346
0.47,2.7334,0.0645,-0.0301
0.48,2.8947,0.0673,-0.0255
0.49,3.056,0.0677,-0.0019
0.5,2.909,0.0677,-0.0027
0.51,2.9066,0.0677,-0.0025
0.52,2.9057,0.0676,-0.0026
0.53,2.9049,0.0672,-0.0025
0.54,2.9049,0.0672,-0.0024
0.55,2.7743,0.0672,-0.0014
0.56,2.6804,0.0683,-0.0012
0.57,2.6401,0.0693,-0.0004
0.58,2.6483,0.0694,-0.001
0.59,2.6565,0.0695,-0.0008
0.6,2.6844,0.0699,-0.0006
0.61,2.8968,0.0714,-0.0007
0.62,2.9662,0.0714,-0.0006
0.63,2.6477,0.0721,-0.0006
0.64,2.3456,0.0793,-0.0004
0.65,2.268,0.0804,-0.0004
0.66,2.2557,0.0809,-0.0001
0.67,2.2027,0.0806,0.0001
0.68,2.2231,0.0803,0.0006
0.69,2.2435,0.0797,0.0006
0.7,2.3211,0.0797,0.0008
0.71,2.2663,0.0733,0.0017
0.72,2.2468,0.0669,0.0013
0.73,2.2737,0.066,0.0017
0.74,2.3006,0.063,0.0019
0.75,2.5579,0.0604,0.0013
0.76,2.8233,0.0605,0.0013
0.77,2.8233,0.0595,0.0013
0.78,3.399,0.0595,0.0013
0.79,3.6399,0.058,0.0015
0.8,3.9012,0.0469,0.0017
0.81,4.2605,0.0468,0.0019
0.82,4.4524,0.046,0.0021
0.83,4.6157,0.046,0.0023
0.84,4.8076,0.045,0.0023
0.85,4.8076,0.0448,0.0024
0.86,5.0975,0.0448,0.0024
0.87,5.1832,0.0452,0.0025
0.88,5.1261,0.0457,0.0025
0.89,4.9464,0.0469,0.0024
0.9,4.9464,0.0479,0.0024
0.91,4.2523,0.0479,0.0024
0.92,3.9747,0.0487,0.0024
0.93,3.7134,0.0512,0.0025
0.94,3.4357,0.055,0.0023
0.95,3.1703,0.0555,0.0022
0.96,2.9458,0.0561,0.0021
0.97,2.7416,0.056,0.0021
0.98,2.7416,0.0563,0.0021
0.99,2.4231,0.0565,0.0017
1,2.2639,0.0574,0.0016
1.01,2.1006,0.0571,0.0016
1.02,1.9903,0.0568,0.0016
1.03,1.9903,0.0561,0.0017
1.04,1.7944,0.0528,0.0019
1.05,1.7372,0.0507,0.0019
1.06,1.7137,0.0497,0.002
1.07,1.7149,0.0492,0.0023
1.08,1.716,0.0492,0.0025
1.09,1.725,0.0495,0.0024
1.1,1.7413,0.0499,0.0023
1.11,1.7086,0.0499,0.0022
1.12,1.6596,0.0492,0.0021
1.13,1.578,0.0485,0.0021
1.14,1.4555,0.047,0.0019
1.15,1.3452,0.0463,0.0019
1.16,1.2717,0.046,0.0019
1.17,1.2166,0.046,0.0019
1.18,1.1914,0.0486,0.0019
1.19,1.1885,0.0513,0.0023
1.2,1.1893,0.0543,0.0021
1.21,1.1901,0.0568,0.0029
1.22,1.2309,0.0568,0.0029
1.23,1.2268,0.0572,0.003
1.24,1.2268,0.0571,0.003
1.25,1.2227,0.0571,0.0031
1.26,1.137,0.0571,0.0031
1.27,1.0921,0.0569,0.0031
1.28,1.0594,0.0565,0.0032
1.29,1.0594,0.0561,0.0032
1.3,1.0104,0.0543,0.0033
1.31,1.0068,0.0528,0.0038
1.32,1.0102,0.0522,0.0038
1.33,1.0136,0.0522,0.0038
1.34,1.0207,0.0523,0.0038
1.35,1.0349,0.0526,0.0039
1.36,1.1003,0.0548,0.004
1.37,1.1778,0.0572,0.0044
1.38,1.3513,0.0592,0.0073
1.39,1.5249,0.0592,0.0077
1.4,1.631,0.0603,0.0081
1.41,1.8597,0.0608,0.0083
1.42,1.9944,0.0612,0.0085
1.43,2.121,0.061,0.0088
1.44,2.2067,0.0619,0.0083
1.45,2.2476,0.0619,0.0079
1.46,2.2476,0.0619,0.0079
1.47,2.1618,0.0619,0.0071
1.48,2.072,0.0618,0.0071
1.49,1.9454,0.061,0.006
1.5,1.827,0.0596,0.0054
1.51,1.827,0.0582,0.0054
1.52,1.6188,0.0572,0.0053
1.53,1.582,0.0572,0.0052
1.54,1.5759,0.0565,0.0052
1.55,1.5782,0.0555,0.0051
1.56,1.5805,0.0542,0.0051
1.57,1.5861,0.0527,0.005
1.58,1.6515,0.0527,0.005
1.59,1.7617,0.0467,0.005
1.6,1.7617,0.0437,0.005
1.61,2.1006,0.0405,0.0046
1.62,2.2557,0.0373,0.0044
1.63,2.3251,0.0349,0.0031
1.64,2.3333,0.0325,0.0006
1.65,2.3333,0.0305,0.0006
1.66,2.268,0.0305,-0.0027
1.67,2.2353,0.0289,-0.0033
1.68,2.1863,0.0265,-0.0044
1.69,2.1455,0.0255,-0.006
1.7,2.1006,0.0255,-0.0079
1.71,2.0516,0.0242,-0.0089
1.72,2.0108,0.0218,-0.0104
1.73,2.0108,0.0163,-0.0104
1.74,1.9781,0.0148,-0.0123
1.75,1.9046,0.0141,-0.0158
1.76,1.8679,0.0138,-0.0166
1.77,1.8679,0.0136,-0.0163
1.78,1.8352,0.0139,-0.016
1.79,1.7739,0.0142,-0.0146
1.8,1.6229,0.0153,-0.01
1.81,1.5024,0.0167,-0.0004
1.82,1.4524,0.0184,-0.0044
1.83,1.4503,0.0199,-0.0058
1.84,1.4514,0.0208,-0.0077
1.85,1.4525,0.0208,-0.0102
1.86,1.4636,0.0219,-0.0121
1.87,1.5004,0.0227,-0.0135
1.88,1.5331,0.0234,-0.0162
1.89,1.5698,0.0237,-0.0187
1.9,1.6106,0.0237,-0.0219
1.91,1.6474,0.0212,-0.0235
1.92,1.6474,0.0186,-0.0235
1.93,1.7576,0.0145,-0.0254
1.94,1.8434,0.0141,-0.0262
1.95,1.9618,0.0142,-0.0263
1.96,2.1087,0.0142,-0.0264
1.97,2.1087,0.0143,-0.0264
1.98,2.4068,0.0149,-0.0264
1.99,2.5334,0.0149,-0.0264
2,2.6028,0.0165,-0.0263
2.01,2.615,0.0174,-0.0262
2.02,2.615,0.0184,-0.0262
2.03,2.5375,0.0184,-0.0261
2.04,2.513,0.0194,-0.026
